verse,source_text,target_text
GEN 1:1,in the beginning god made of nought heaven and earth. in the beginning god made out of nothing the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha."
GEN 1:2,"forsooth the earth was idle and void, and darknesses were on the face of the depth; and the spirit of the lord was borne on the waters or and the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna."
GEN 1:3,"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka."
GEN 1:4,"and god saw the light, that it was good, and he parted the light from the darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na."
GEN 1:5,"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day or the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna."
GEN 1:6-7,"and god said, the firmament be made in the midst of the waters, and part the waters from the waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or from these that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua."
GEN 1:8,"and god called the firmament, the heavens. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna."
GEN 1:9,"forsooth god said, the waters, that be under the heavens, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango."
GEN 1:10,"and god called the dry place, the earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:11,"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so. and said, let the earth bring forth green herbs, which make seed after their kind, and trees making fruit after their kind, whose seed be in them, all over the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra."
GEN 1:12,"and the earth brought forth green herb and making seed by his kind, and a tree making fruit, and each having seed by his kind. and god saw that it was good. and the earth brought forth green herbs, which make seed after their kind, and trees making fruit, and each having seed after its kind. and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:13,"and the eventide and the morrowtide was made, the third day.","ne'e ne, lod'o ka tèlu kèna."
GEN 1:14-15,"forsooth god said, lights be made in the firmament of the heavens, and part they the day and the night; and be they into signs, and times, and days, and years; and shine those in the firmament of the heavens, and lighten they the earth; and it was done so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka."
GEN 1:16,"and god made two great lights, the greater light that it should be before to the day, and the lesser light that it should be before to the night; and god made the stars;","ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi."
GEN 1:17,"and setted them in the firmament of the heavens, so that they should shine on the earth,","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha."
GEN 1:18,"and that they should be before to the day and beforeto the night, and should part the light and the darkness. and god saw that it was good.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:19,"and the eventide and the morrowtide was made, the fourth day.","ne'e ne, lod'o ka èpa kèna."
GEN 1:20,"also god said or and god said, the waters bring forth a reptile, either a creeping beast, of living soul, and a volatile, either a bird flying above the earth, under the firmament of the heavens.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne."
GEN 1:21,"and god made of nought great whales, and each living soul and movable, which the waters have brought forth in their kinds; and god made of nought each volatile by his kind. and god saw that it was good; and god made out of nothing great whales, and each living soul that moveth, which the waters brought forth after their kind; and god made out of nothing each bird after its kind. and god saw that it was good;","ka na tao ka i'a aa'i-aa'i dènge badha kapai dhu mamuri ètu d'ara èi. na paj'aj'i kahèi manu-bhui aa'i-aa'i. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
