src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua paj'aj'i liru dènge rai-haha nèti abhu boe ngaa èci sa.",eng,nfa,English,Dhao,0.0404,6.7726,2.5287
"forsooth the earth was idle and void, and darknesses were on the face of depth; and the spirit of the lord was borne on the waters or the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Tare'a-re'a, rai-haha ne mèu bia dènge kosong, dènge d'ara maroga ètu madha marèma; dènge Roh Ama Lamatua lalèta ètu dedha èi.",eng,nfa,English,Dhao,9.9683,8.4699,9.2929
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Hudꞌi laa!""","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hud'i saraa j'aj'i!"" aa saraa ne j'aj'i le.",eng,nfa,English,Dhao,15.8151,13.5598,12.242
"and god saw the light, that it was good, and he parted the light from darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua palaha saraa nèti maroga.",eng,nfa,English,Dhao,7.0619,3.4864,4.0107
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Nèngu pangare saraa ne, lod'o, aa maroga ne, mèda. Aa lod'o cèna dènge lod'o rea j'aj'i ca lod'o.",eng,nfa,English,Dhao,19.5407,37.4407,35.729
"and god said, the firmament be made in the midst of waters, and part waters from waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka na, ""Beꞌa risi dedha-liru ètu dꞌara èi, sèna ka na pacèri èi nèti èi."" Hèia Ama Lamatua pajꞌajꞌi dedha-liru, hèia na pacèri èi dhu ètu baba dedha-liru, nèti èi dhu ètu dedha dedha-liru. Hèia jꞌajꞌi sèmi èèna.",eng,nfa,English,Dhao,0.831,0.4836,0.6913
"and god called the firmament, heaven. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Aa Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, jꞌajꞌi hari ka dua.","Ama Lamatua pangare dedha-liru ne, liru. Ka mèda dènge lod'o rea, j'aj'i hari ka dua.",eng,nfa,English,Dhao,6.5079,18.523,17.4495
"forsooth god said, the waters, that be under heaven, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""È'i aa'i-aa'i dhu ètu d'ara liru, pakaboko ètu era èci, sèna ka era dhu bhelu-katub'a pad'elo."" Hèia j'aj'i sèmi èèna.",eng,nfa,English,Dhao,6.5971,8.0839,6.6836
"and god called the dry place, earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha.""","Èle èèna ka, Ama Lamatua pangee rai mango ne, rai-haha. Aa na pangee pakaboko èi se, dhasi. Aa Ama Lamatua rèdhi na be'a.",eng,nfa,English,Dhao,3.4742,6.5129,7.1436
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Ètu rai-haha ne, abhu aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Na peka, ""Rai-haha, pua mai j'u'u dhu hèu, dhu hia hini, aa aj'u apel dhu hia hua madhutu rèhu na, dhu hini na ètu d'ara na mesa, ètu rai-haha."" Hèia j'aj'i sèmi èèna.",eng,nfa,English,Dhao,4.0528,3.3877,5.0047
"and the earth brought forth green herb and making seed by his kind, and a tree making fruit, and each having seed by his kind. and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Ètu rai-haha ne, abhu hèbꞌa aaꞌi-aaꞌi dhu jꞌajꞌi rupa-rupa. Aa ajꞌu aaꞌi-aaꞌi dhu jꞌajꞌi rupa-rupa. Ama Lamatua ladhe sèmi èèna.","Ètu rai-haha ne, papuru hèbꞌa dhu mèd'a dhu hua hini rupa-rupa. Aa aj'u dhu hua, dhu dènge hini rupa-rupa. Ama Lamatua ladhe na be'a.",eng,nfa,English,Dhao,3.0399,5.0905,5.4401
"and the eventide and the morrowtide was made, the third day.","ne'e ne, lod'o ka tèlu kèna.","Bèli-camèdꞌa, bèli-camèdꞌa dꞌai tèlu lodꞌo.","Aa lod'o cèna dènge lod'o rea j'aj'i, camèd'a.",eng,nfa,English,Dhao,3.6112,6.4414,3.9581
