verse,text
GEN 1:1,"Pada mulanya, Allah menciptakan langit dan bumi."
GEN 1:2,"Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air."
GEN 1:3,"Kemudian, Allah berfirman, “Jadilah terang.” Lalu, terang itu jadi."
GEN 1:4,"Allah melihat bahwa terang itu baik. Kemudian, Allah memisahkan terang itu dari gelap."
GEN 1:5,"Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama."
GEN 1:6,"Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!”"
GEN 1:7,"Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian."
GEN 1:8,"Allah menyebut cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua."
GEN 1:9,"Kemudian, Allah berfirman, “Biarlah air yang ada di bawah langit berkumpul ke satu tempat dan biarlah tanah yang kering itu tampak.” Lalu, jadilah demikian."
GEN 1:10,Allah menyebut tanah yang kering itu darat dan kumpulan air itu disebut-Nya laut. Allah melihat bahwa itu baik.
GEN 1:11,"Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian."
GEN 1:12,"Bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji menurut jenisnya, dan pohon yang berbuah dengan biji di dalamnya menurut jenisnya. Allah melihat bahwa itu baik."
GEN 1:13,"Jadilah petang dan jadilah pagi, itulah hari ketiga."
GEN 1:14,"Kemudian, Allah berfirman, “Biarlah ada penerang di cakrawala langit untuk memisahkan siang dari malam, dan biarlah itu ada untuk tanda-tanda dan untuk musim-musim, dan untuk hari-hari serta tahun-tahun,"
GEN 1:15,"dan biarlah itu menjadi penerang di cakrawala langit, untuk memberikan terang atas bumi.” Demikianlah itu terjadi."
GEN 1:16,"Allah membuat dua penerang yang besar. Penerang yang lebih besar untuk menguasai siang, sedangkan penerang yang lebih kecil untuk menguasai malam. Dia juga membuat bintang-bintang."
GEN 1:17,"Allah mengatur mereka di cakrawala langit untuk menerangi bumi,"
GEN 1:18,"untuk menguasai siang dan menguasai malam, dan untuk memisahkan terang dari gelap. Allah melihat bahwa itu baik."
GEN 1:19,"Jadilah petang dan jadilah pagi, itulah hari keempat."
GEN 1:20,"Kemudian, Allah berfirman, “Biarlah air dikerumuni oleh makhluk-makhluk hidup, dan biarlah burung-burung beterbangan di atas bumi, melintasi cakrawala langit.”"
GEN 1:21,"Lalu, Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak serta berkerumun di dalam air menurut jenisnya, dan segala burung bersayap menurut jenisnya. Allah melihat bahwa itu baik."
GEN 1:22,"Allah memberkatinya, firman-Nya, “Berkembangbiaklah, dan berlipatgandalah, dan penuhilah air di lautan, dan biarlah burung-burung berlipat ganda di bumi.”"
GEN 1:23,Jadilah petang dan jadilah pagi. Inilah hari kelima.
GEN 1:24,"Kemudian, Allah berfirman, “Biarlah bumi menghasilkan makhluk hidup menurut jenisnya, hewan ternak, binatang melata, dan binatang-binatang liar, masing-masing menurut jenisnya.” Lalu, jadilah demikian."
GEN 1:25,"Allah membuat binatang liar di darat itu menurut jenisnya, hewan ternak menurut jenisnya, dan segala binatang melata di atas tanah menurut jenisnya. Allah melihat bahwa itu baik."
GEN 1:26,"Kemudian, Allah berfirman, “Sekarang, mari Kita membuat manusia dalam rupa Kita, menurut keserupaan Kita. Biarlah mereka berkuasa atas ikan-ikan di laut, atas burung-burung di udara, atas ternak, atas seluruh bumi, dan atas segala yang melata yang merayap di bumi.”"
GEN 1:27,"Lalu, Allah menciptakan manusia menurut rupa-Nya. Menurut rupa Allah, Dia menciptakannya. Laki-laki dan perempuan, demikianlah Dia menciptakan mereka."
GEN 1:28,"Allah memberkati mereka dan Allah berfirman kepada mereka, “Beranakcuculah dan berlipatgandalah, dan penuhilah bumi, dan kuasailah itu. Berkuasalah atas ikan-ikan di laut, atas burung-burung di udara, dan atas segala yang hidup yang bergerak di bumi.”"
GEN 1:29,"Kemudian, Allah berfirman, “Lihat, Aku telah memberikan kepadamu segala tumbuhan yang menghasilkan biji yang ada di seluruh muka bumi, dan segala pohon yang buahnya berbiji, itulah yang akan menjadi makananmu."
GEN 1:30,"Untuk segala binatang di bumi, dan untuk segala burung di langit, dan untuk segala yang merayap di bumi, yaitu segala sesuatu yang ada napas hidup di dalamnya, Aku telah memberi segala tumbuhan hijau sebagai makanan.” Lalu, jadilah demikian."
GEN 1:31,"Allah mengamati segala sesuatu yang telah dibuat-Nya, dan lihatlah, itu sangat baik! Jadilah petang dan jadilah pagi. Inilah hari keenam."
GEN 2:1,Demikianlah langit dan bumi beserta segala isinya diselesaikan.
GEN 2:2,"Pada hari ketujuh, Allah menyelesaikan pekerjaan-Nya, yang telah dilakukan-Nya itu, dan Dia beristirahat pada hari ketujuh dari segala pekerjaan-Nya, yang telah dilakukan-Nya."
GEN 2:3,"Lalu, Allah memberkati hari ketujuh itu dan menguduskannya, sebab pada saat itu, Dia beristirahat dari segala pekerjaan-Nya, yang telah Dia lakukan dalam penciptaan."
GEN 2:4,"Inilah riwayat langit dan bumi ketika mereka diciptakan, pada waktu TUHAN Allah menjadikan bumi dan langit,"
GEN 2:5,"ketika di bumi belum ada segala semak belukar di ladang dan belum ada tanaman ladang yang tumbuh karena TUHAN Allah belum menurunkan hujan ke bumi, dan belum ada orang yang mengolah tanah itu."
GEN 2:6,"Namun, ada kabut yang keluar dari bumi dan membasahi seluruh permukaan bumi."
GEN 2:7,"Kemudian, TUHAN Allah membentuk manusia dari debu tanah dan mengembuskan napas kehidupan ke dalam lubang hidungnya sehingga manusia itu menjadi makhluk yang hidup."
GEN 2:8,"Lalu, TUHAN Allah membuat sebuah taman di sebelah timur, di Eden, dan di sana Dia menempatkan manusia yang telah dibentuk-Nya itu."
GEN 2:9,"Dari dalam tanah, TUHAN Allah menumbuhkan segala jenis pohon yang enak dilihat dan baik untuk makanan. Pohon kehidupan juga ada di tengah-tengah taman itu beserta pohon pengetahuan yang baik dan yang jahat."
GEN 2:10,"Ada suatu sungai yang mengalir dari Eden dan mengairi taman itu. Dari situ, sungai tersebut terbagi menjadi empat cabang."
