src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Dhu uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,4.9964,3.0896,4.8122
the earth was formless and empty. darkness was on the surface of the deep and god's spirit was hovering over the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.",Dhèu aaꞌi-aaꞌi ètu rai-haha ne dènge boe mèdha-panyau. Ètu rai-haha ne ètu dꞌara maroga. Aa Roh Ama Lamatua ètu dedha-liru.,Rai-haha ne dènge boe mèdha-panyau aa kosong. Maroga ètu dedha d'ara marèma. Aa Roh Ama Lamatua pa'oro-oro ètu dedha èi.,,eng,nfa,English,Dhao,2.0003,-0.3616,1.5301
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa."" Hèia Lamatua peka, ""Hudꞌi laa!""","Ama Lamatua peka, ""Hud'i laa saraa,"" aa abhu saraa.",,eng,nfa,English,Dhao,2.848,0.3332,1.537
"god saw the light, and saw that it was good. god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padhai lii dènge dhèu aaꞌi-aaꞌi sèra. Hèia Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga. Èle èèna ka, Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga.","Ama Lamatua nèdhi saraa, ka nèdhi na be'a. Ama Lamatua bagi saraa nèti maroga.",,eng,nfa,English,Dhao,9.2242,0.0429,5.7716
"god called the light day, and the darkness he called night. there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, sèna ka ra jꞌajꞌi mèu-mèu. Hèia Ama Lamatua pajꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa jꞌajꞌi mèu-mèu. Nèti èèna ka, nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu.","Ama Lamatua pangare saraa ne lod'o, aa maroga ne nèngu pangare nèbhu. J'aj'i lod'o oe cèna, aa j'aj'i mad'ae, nuka lod'o partama.",,eng,nfa,English,Dhao,10.9896,29.7871,27.6256
"god said, let there be an expanse in the middle of the waters, and let it divide the waters from the waters. god made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Ladhe abhu ledhe èci ètu dedha-liru, sèna ka paꞌèci èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka paꞌèci èci dènge leledhe èci, èci dènge leledhe èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, aku Nèngu na, ""Ladhe abhu ledhe èci ètu talora èi, sèna ka na paꞌèci èi nèti èi."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka na paꞌèci èi dhu ètu d'ara ledhe èèna nèti èi dhu ètu dedha ledhe èèna. Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,0.3633,-0.7066,0.1124
"god called the expanse sky. there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, bèli-camèdꞌa lèpa hari, aa bèli-camèdꞌa bèli-camèdꞌa, jꞌajꞌi hari ka dua.","Ama Lamatua pangare na liru. J'aj'i lod'o cèna, aa j'aj'i mad'ae, lod'o ka dua.",,eng,nfa,English,Dhao,13.6125,23.2057,20.5652
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, aku Nèngu na, ""Pe èi dhu ètu d'ara liru pakaboko ètu era èci, sèna ka rai mango pad'elo iisi na."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,3.9804,5.7721,5.9437
"god called the dry land earth, and the gathering together of the waters he called seas. god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi.","Ama Lamatua hag'e nare rai mango ne, rai-haha. Aa pakaboko èi ne, na hag'e nare dhasi. Ama Lamatua ne'a, na, èèna be'a.",,eng,nfa,English,Dhao,5.548,5.619,9.3861
"god said, let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne, nuka sèmi èèna."" Hèia jꞌajꞌi sèmi èèna, hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, peka na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌ","Ama Lamatua peka na, ""Hud'i laa rai-haha ne hia j'u'u, j'u'u dhu hua hini, aa aj'u hua dhu hua-hela madhutu rupa ra, dènge hini ra ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,13.8648,5.958,9.5507
