src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,wyc,English,Wycliffe,0.0,0.0,0.0
the earth was formless and empty. darkness was on the surface of the deep and god's spirit was hovering over the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.",Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu Roh Ama Lamatua.,"Rai-haha ne j'aj'i mola dènge boe rupa. Maroga ètu dedha marèma, aa Roh Ama Lamatua kako ètu dedha èi.",,eng,wyc,English,Wycliffe,12.4546,10.4863,13.1747
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Hèia Ama Lamatua peka na, ""Hudꞌi laa."" Hèia Lamatua peka na, ""Hudꞌi laa!""","Hèia Ama Lamatua peka na, ""Hud'i saraa."" Aa saraa j'aj'i.",,eng,wyc,English,Wycliffe,19.1126,10.5188,9.966
"god saw the light, and saw that it was good. god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padꞌelo jꞌara nèti dꞌara maroga dènge dꞌara maroga.","Ama Lamatua rèdhi saraa, aa rèdhi na be'a. Ama Lamatua ma'ète saraa nèti d'ara maroga.",,eng,wyc,English,Wycliffe,8.8267,7.3662,8.0531
"god called the light day, and the darkness he called night. there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ra, ka Na pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ra, ka Na pajꞌujꞌu aaꞌi-aaꞌi ra, ka Na pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ra, ka Na pajꞌujꞌu aaꞌi-aaꞌi ra.","Ama Lamatua paroa saraa ne, lod'o. Aa maroga ne, Na paroa mèda. Abhu nihia, aa abhu madae, nuka lod'o ka-èci.",,eng,wyc,English,Wycliffe,15.0801,28.74,27.5334
"god said, let there be an expanse in the middle of the waters, and let it divide the waters from the waters. god made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Bèli-camèdꞌa jꞌajꞌi jꞌajꞌi hèbꞌa èci ètu talora dhasi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi hèbꞌa jꞌajꞌi hèbꞌa èci, sèna ka jꞌajꞌi hèbꞌa èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Bèli-camèdꞌa jꞌajꞌi hèbꞌa èci ètu talora dhasi, sèna ka ma'ète dhasi nèti dhasi."" Hèia Ama Lamatua pajꞌajꞌi hèbꞌa èci, hèia na ma'ète dhasi dhu ètu haha hèbꞌa nèti dhasi dhu ètu dedha hèbꞌa. Ka jꞌajꞌi sèmi èèna.",,eng,wyc,English,Wycliffe,0.962,0.2979,0.5083
"god called the expanse sky. there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","ka dhèu aaꞌi-aaꞌi paroa rai-haha ètu dedha-liru. Èle èèna ka, bèli-camèdꞌa èèna ka, bèli-camèdꞌa hari ka dua.","Lamatua paroa dedha-liru, na, liru. Èle èèna ka, abhu nihia dènge abhu madae, ka dua lod'o.",,eng,wyc,English,Wycliffe,4.0791,7.623,7.7681
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka na, ""Pe èi dhu ètu haha liru kaboko ètu era èci, aa pe rai mango bhodho."" Hèia jꞌajꞌi sèmi èèna.",,eng,wyc,English,Wycliffe,-2.9877,-4.9201,-4.2731
"god called the dry land earth, and the gathering together of the waters he called seas. god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","ka Ama Lamatua hagꞌe nare rai ne, ngara na rai-haha. Aa èi dhu pakaboko èèna, ra hagꞌe nare dhasi. Ka Ama Lamatua ladhe-leru, na, jꞌara neꞌe beꞌa kahèi. Nèti èèna ka, dhèu aaꞌi-aaꞌi reꞌa, na, dhasi neꞌe ka dhu beꞌa. Nèti èèna ka, dhèu aaꞌi-aaꞌi reꞌa, na, dhasi neꞌe ka dhu beꞌa kahèi. Nèti èèna ka, dhèu aaꞌi-aaꞌi reꞌa, na, dhasi neꞌe ka dhu beꞌa.","Ka Ama Lamatua paroa rai mango ne, ngara na rai-haha. Aa èi dhu pakaboko èèna, nèngu paroa dhasi. Ka Ama Lamatua ladhe-leru, na, jꞌara neꞌe beꞌa.",,eng,wyc,English,Wycliffe,2.5495,-0.2236,2.2146
"god said, let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu-jꞌuꞌu ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu-jꞌuꞌu ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌuꞌu ètu rai-haha ne."" Hèia jꞌajꞌi sèmi èèna kahèi. Nèti èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌ","Ama Lamatua peka, ""Hud'i laa rai-haha ne pamuri j'u'u, dènge ana-aj'u dhu hua hini, aa aj'u dhu hua madhutu rupa ra, dènge hini ra ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,wyc,English,Wycliffe,12.5738,7.7799,10.5867
