src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Nèti uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.8659,2.6474,4.3731
the earth was formless and empty. darkness was on the surface of the deep and god's spirit was hovering over the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.",Dhèu aaꞌi-aaꞌi ètu rai-haha ne dènge boe mèdha-panyau. Ètu rai-haha ne ètu dꞌara maroga. Aa Roh Ama Lamatua ètu dedha-liru.,"Rai-haha ne dènge boe rupa, aa mola. Maroga ètu katanga marèma. Aa Roh Ama Lamatua ètu dedha katanga èi.",,eng,nfa,English,Dhao,-2.6389,-2.7753,-0.0561
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa."" Hèia Lamatua peka, ""Hudꞌi laa!""","Ama Lamatua peka, ""Hud'i saraa."" Hèia abhu saraa.",,eng,nfa,English,Dhao,2.9812,-0.0927,1.2678
"god saw the light, and saw that it was good. god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padhai lii dènge dhèu aaꞌi-aaꞌi sèra. Hèia Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga. Èle èèna ka, Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga.","Ama Lamatua rèdhi saraa, aa rèdhi na be'a. Ama Lamatua manyèla saraa nèti maroga.",,eng,nfa,English,Dhao,7.8911,-0.971,3.6755
"god called the light day, and the darkness he called night. there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, sèna ka ra jꞌajꞌi mèu-mèu. Hèia Ama Lamatua pajꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa jꞌajꞌi mèu-mèu. Nèti èèna ka, nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu.","Ama Lamatua paroa saraa ne lod'o, aa maroga ne nèngu paroa mèda. Abhu lod'o nihia dènge madae, lod'o ka-èci.",,eng,nfa,English,Dhao,13.6662,27.9985,26.8624
"god said, let there be an expanse in the middle of the waters, and let it divide the waters from the waters. god made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Ladhe abhu ledhe èci ètu dedha-liru, sèna ka paꞌèci èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka paꞌèci èci dènge leledhe èci, èci dènge leledhe èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, aku Nèngu na, ""J'aj'i la ca liru ètu talora èj'i, aa sèna ka pa'èci èj'i nèti èj'i."" Hèia Ama Lamatua paj'aj'i liru èèna, aa pa'èci èj'i dhu ètu haha liru èèna nèti èj'i dhu ètu dedha liru èèna. Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,-2.3055,-5.4778,-4.2778
"god called the expanse sky. there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, bèli-camèdꞌa lèpa hari, aa bèli-camèdꞌa bèli-camèdꞌa, jꞌajꞌi hari ka dua.","Èle èèna ka, Ama Lamatua paroa liru. Hèia abhu lod'o nihia, aa abhu madae, j'aj'i lod'o ka-dua.",,eng,nfa,English,Dhao,4.6197,9.5759,5.6884
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, aku na, ""Pua èi dhu ètu haha liru pakaboko ètu era èci, aa pua rai mango bhodho mai."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,4.2848,2.4154,2.6249
"god called the dry land earth, and the gathering together of the waters he called seas. god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi.","Ama Lamatua paroa rai mango ne, rai-haha. Aa nèngu paroa pakaboko èi ne, dhasi. Ama Lamatua ladhe na be'a.",,eng,nfa,English,Dhao,3.53,3.4638,5.9866
"god said, let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne, nuka sèmi èèna."" Hèia jꞌajꞌi sèmi èèna, hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, peka na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌ","Ama Lamatua peka, ""Hud'i rai-haha hia j'u'u, ana aj'u dhu hia hini, aa aj'u dhu hua-hela dhu hia hua madhutu rupa ra, dènge hini ra ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,10.9034,5.1568,8.9085
"the earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind; and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, dhèu aaꞌi-aaꞌi ètu rai-haha ne, rèngu aaꞌi-aaꞌi ètu rai-haha ne. Rèngu aaꞌi-aaꞌi ètu rai-haha ne, rèngu aaꞌi-aaꞌi ra. Rèngu aaꞌi-aaꞌi ra, rèngu aaꞌi-aaꞌi ra. Rèngu aaꞌi-aaꞌi ra, rèngu aaꞌi-aaꞌi ra. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi ra.","Rai tao j'u'u, ana-aj'u dhu hua hini madhutu rupa ra, aa aj'u dhu hua, dènge hini ra ètu d'ara ra, madhutu rupa ra; aa Ama Lamatua ladhe na be'a.",,eng,nfa,English,Dhao,9.8797,13.0354,13.3407
"there was evening and there was morning, a third day.","ne'e ne, lod'o ka tèlu kèna.","Èle èèna ka, bèli-camèdꞌa madꞌae, aa bèli-camèdꞌa hari.","Abhu lod'o nihia aa abhu mad'ae, camèd'a.",,eng,nfa,English,Dhao,7.1352,5.9951,4.8332
"god said, let there be lights in the expanse of the sky to divide the day from the night; and let them be for signs to mark seasons, days, and years; and let them be for lights in the expanse of the sky to give light on the earth; and it was so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, sèna ka jꞌajꞌi mèdha-panyau, sèna ka paꞌèci lodꞌo dènge lodꞌo. Beꞌa risi ètu dedha-liru, sèna ka jꞌajꞌi mèdha-panyau, sèna ka jꞌajꞌi mèdha-panyau, sèna ka jꞌajꞌi mèdha-panyau, sèna ka jꞌajꞌi mèdha-panyau, sèna ka jꞌajꞌi mèdha-panyau ètu dedha-liru, sèna ka jꞌajꞌi mèdha-panyau ètu rai-haha."" Ka sèmi èèna kahèi.","Ama Lamatua peka, ""Hud'i abhu saraa ètu dedha-liru, sèna ka pa'èci lod'o dènge mèda; aa hud'i rèngu j'aj'i tadha ho patadha hèru, lod'o, dènge tèu; aa hud'i rèngu j'aj'i saraa ètu dedha-liru sèna ka pasaraa ètu rai-haha."" Ka sèmi èèna kahèi.",,eng,nfa,English,Dhao,15.7868,7.1356,8.141
"god made the two great lights: the greater light to rule the day, and the lesser light to rule the night. he also made the stars.","ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi.","Èle èèna ka, Ama Lamatua pajꞌajꞌi sordadꞌu sèra. Na pajꞌajꞌi sordadꞌu sèra, sèna ka jꞌajꞌi sordadꞌu. Aa Na pajꞌajꞌi sordadꞌu sèra, sèna ka jꞌajꞌi sordadꞌu sèra, sèna ka jꞌajꞌi sordadꞌu. Aa Na pajꞌajꞌi sordadꞌu sèra, sèna ka jꞌajꞌi sordadꞌu sèra. Aa Na pajꞌajꞌi sordadꞌu sèra, sèna ka jꞌajꞌi sordadꞌu sèra.","Ama Lamatua paj'aj'i labhu aae dua: labhu dhu kapai risi ho paredha lod'o, aa labhu dhu iiki seli ho paredha mèda. Na paj'aj'i hua hètu-hua hètu kahèi.",,eng,nfa,English,Dhao,11.3368,14.5661,15.7223
"god set them in the expanse of the sky to give light to the earth,","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha.","Ama Lamatua pajꞌajꞌi mèdha-panyau ètu dedha-liru, sèna ka jꞌajꞌi mèdha-panyau ètu rai-haha.","Ama Lamatua patitu mèdha-panyau ètu dedha-liru, sèna ka pasaraa ètu rai-haha.",,eng,nfa,English,Dhao,12.127,4.9435,4.4419
"and to rule over the day and over the night, and to divide the light from the darkness. god saw that it was good.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","sèna ka paredha lodꞌo dènge mèda, sèna ka paꞌèci mèdha-panyau nèti dꞌara maroga. Èle èèna ka, Ama Lamatua ladhe sèmi èèna.","sèna ka paredha lodꞌo dènge mèda, sèna ka paꞌèci saraa nèti dꞌara maroga. Èle èèna ka, Ama Lamatua ladhe sèmi èèna.",,eng,nfa,English,Dhao,1.8613,0.8571,1.3924
"there was evening and there was morning, a fourth day.","ne'e ne, lod'o ka èpa kèna.","Èle èèna ka, lodꞌo ka èpa hari.","Abhu mèda dènge abhu madae, lod'o ka èpa.",,eng,nfa,English,Dhao,12.8507,18.07,16.6237
"god said, let the waters abound with living creatures, and let birds fly above the earth in the open expanse of the sky.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Beꞌa risi ètu dꞌara èi, abhu badha aaꞌi-aaꞌi dhu mamuri. Aa abhu manu-bhui dhu pakèdꞌi ètu dedha-liru ètu dedha-liru.""","Ama Lamatua peka na, ""Hud'i laa èi abhu badha mamuri ae-ae. Aa hud'i laa manu-bhui matana ètu dedha rai ètu d'ara liru dhu bhèla.""",,eng,nfa,English,Dhao,12.1051,2.9211,4.1805
