target_text,interlinear_gloss,source_text,page_number
mulai nèti Rika,began from Rika,Start from Rika,1
dènge Jote,with Jote,and Jote,1
Rika ne'e,Rika PROX.SG,Rika,1
nèngu ètu suu haa,3SG LOC tip west,She was at the west part,1
kabarai ne'e,public PROX.SG,in this area,1
Jote nèngu ètu dhimu suu rai ne'e,Jote 3SG LOC east tip territory PROX.SG,Jote was at the east part in the area,1
haa Pesa.Kèli nèngu ètu talora,west Pesa.Kèli 3SG LOC middle,Pesa Kèli was in the middle,1
waktu Pesa Kèli mai ti Sahu,time name name come from Sawu,when Pesa Kèli came from Sawu,2
sanabhu Rika ka nèngu madha'u ka nèngu la-'e lu'u ro'a loe,shadow Rika PART 3SG afraid PART 3SG go-3SG hide hole cave,"When seeing Rika, he was afraid so he left to hide in a cave",2
ka... nèngu bisa boe tenge nga-nga'a ka nèngu manèngi manea,PART 3SG can no look.for DUP-1PL.ex.eat PART 3SG ask hawk,"so he could not seek any food, so he asked for food from an eagle",2
tenge nga-nga'a hia nèngu untuk n-a'a dènge na inu,look.for DUP-1PL.ex.eat give 3SG for(IND) 3SG-eat with 3SG drink,seek food and drinks for him,2
mai asa,come to,come,2
Rika ne nèngu pa-ngee na nèngu di mesa na ètu kabarai ne'e,Rika PROX.SG 3SG PA-think PART 3SG only alone 3SG LOC public PROX.SG,Rika thought that perhaps he lived alone in this island,2
ha Jote pun pa-ngee na sèmi èèna ka te nèngu pun,PART Jote too tihnk PART like DIST.SG PART but 3SG also(IND),"and Jote also thought so, but he also",2
ètu suu dènge suu dhimu dènge haa,LOC tip with tip east with west,at the east and west part,2
hèia,then,then,3
ca lod'o hari ka Rika la-'e dhasi,a day again PART Rika go-3SG sea,one day Rika went to the beach,3
la-'e dhasi ka n-èdhi,go-3SG sea PART 3SG-see,at the beach she saw,3
Jote ne'e,Jote PROX.SG,Jote is,3
ètu suu dhasi dhimu,LOC tip sea east,at in the eastern part of the beach,3
aku na hea,according.to 3SG.CL ow,"she said, oh",3
dhèu èci ka nèi ja'a ngee na ja'a di mesa ètu kabarai ne'e,person one PART REM.SG 1SG think 3SG 1SG only alone LOC island PROX.SG,"a person is there, I think that I am alone on this island",3
ngaa dhèu èci ka nèi hèi,what person one PART REM.SG also,"in fact, there is a person there, too",3
hèia nèngu usaha ka pa-dètu,then 3SG try(IND) PART PA-approach,then he tried to approach,3
pa-dètu ka mai rare,PA-approach PART come until,"approach, then he came",3
pa-dètu hèia,PA-approach then,"approach, then",3
nèngu karèi aku nèngu angalai e èu,3SG ask accoding.to 3SG friend PART 2SG,"'she asked him, ""friend, you""'",4
èu m-ore ngaa,2SG 2SG-take what,"""what do you get?""",4
kore boe ngaa-ngaa hèia rèngu lèpa dhasi joro,1SG.take not DUP- what then 3PL return sea high.tide,"""I get nothing"". Then, they went back as it was low tide'",4
puru mai dae ka mai leru osa,descen come land PART come care for,'When (they) came to the beach and saw what they have got',4
mai ka rèngu dua ra,come PART 3PL two 3PL,'they both came',4
pa-leru ka osa ka rèngu dua ra pa-peka,RECP-care.for PART harvest PART 3PL two 3PL RECP-tell,'while watching their fish. they had a talk',4
angaa e ja'a neo la ja'a di mesa ku ètu kabarai,friend part 1SG shall PART 1SG only alone 1SG LOC island,"'Hi friend, I think I am alone on this island'",4
rai ne'e angalai e ngaa èu dhu kèna hèia,territory PROX.SG friend part what you that that then,"'in this land. In fact you, too, friend'",4
ha aku,PART say,"'and he said,'",4
ja'a di mesa ku kahèi,1SG just alone 1SG.CL also,"'as Rika said, I also think that I am alone, too'",5
ngaa èu dhu ka èèna kahèi,what 2SG REL PART DIST.SG also,"but in fact you are there, too",5
hèia,then,'then',5
aku nèngu kalau sèmi èèna èdhi pa-ngad'o èmu,according.to 3SG if like DIST.SG 1PL.in RECP-visit house,"'he said, ""if so, let us visit our house""'",5
pa-ngad'o èmu ho èmu cee èmu dhui,RECP-visit house so.that house who house old,'visit each other's house and see whose house is the oldest one',5
na nèngu dhèu dhu nèbhu,PART 3SG person REL long.time,'means that he is the one who stays longer',5
Rika e,Rika PART,'Rika',5
Jote la-'e èmu ka la-'e,Jote go-3SG house PART go-3SG,"'Jote came home, and went'",5
sanu èmu ka pa-mèdhi,fumigate house PART CAUS-black,'to fumigate his house to be black',5
Rika pun sèmi èèna kahèi la-'e èmu ka la-'e sanu pa-mèdhi èmu,Rika too like DIST.SG again go-3SG house PART go-3SG fumigate CAUS-black house,'Rika was also so. He went to fumigate his house to be black',5
lod'o dua ra,time two 3PL,when they both,6
èci pa-ngad'o èci,one RECP-visit one,visit each other,6
Rika la-'e uru ka la'e aku na ee tare'a angalai,Rika go-3SG formerly PART go-3SG say 3SG PART right friend,"Rika visited earlier and he said, ""it is right, friend""",6
nèbhu kahèi èmu dhu mèdhi guru-guru nga,long.time again house REL black pitch.black PART,"he is the earliest, because his house is black now",6
ha na bèli la-mu ngad'o ja'a angalai,EXCL PART tomorrow Go-2SG visit 1SG friend,"tomorrow, you may visit my house, friend",6
ka bèli na ka Jote mai ngad'o Rika,PART tomorrow 3SG PART Jote come visit Rika,"than, the next day Jote visited Rika",6
