src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"forsooth the earth was idle and void, and darknesses were on the face of depth; and the spirit of the lord was borne on the waters or the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Rai-haha ne jꞌajꞌi mèu-mèu, aa maroga ètu katanga madha marèma; aa Manadhu Lamatua mora iisi ètu wai.",,eng,nfa,English,Dhao,1.4973,2.6586,3.2256
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Hudꞌi laa!""","Aa Ama Lamatua peka, ""Hud'i laa!"" Aa laa èèna dènge.",,eng,nfa,English,Dhao,0.2313,-1.4578,-0.3912
"and god saw the light, that it was good, and he parted the light from darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Aa Ama Lamatua ladhe nèdhi saraa, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo saraa ngèti maroga.",,eng,nfa,English,Dhao,3.0033,2.3069,1.6002
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","aa samaa lod'o, aa maroga mèda. aa mèda aa lonètu j'aj'i mesa lod'o.",,eng,nfa,English,Dhao,7.2216,14.1811,14.137
"and god said, the firmament be made in the midst of waters, and part waters from waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna.","Hèia Ama Lamatua peka, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka pakula èi ngèti èi."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, hèia pakula èi ètu d'èpa dedha-liru ngèti èi ètu dedha dedha-liru. Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-1.5135,-3.6415,-3.5599
"and god called the firmament, heaven. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Aa Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, jꞌajꞌi hari ka dua.","Aa Ama Lamatua fe ngara liru ètu dedha-liru. Aa jꞌajꞌi mèu dhu'u, aa jꞌajꞌi mèu mèu, jꞌajꞌi hari ka dua.",,eng,nfa,English,Dhao,1.2799,0.2381,0.7634
"forsooth god said, the waters, that be under heaven, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Wai aaꞌi-aaꞌi dhu ètu dedha-liru kaboko ètu era èci, sèna ka era dhu mango bhodho."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,1.4619,4.812,4.1666
"and god called the dry place, earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha.""","Èle èèna ka, Ama Lamatua pangee, na, era mango ne, rai-haha. Èle èèna ka, Ii pangee, na, era wai-wai èèna, dhasi. Èle èèna ka, Ama Lamatua mèdha, na, èèna mèu.",,eng,nfa,English,Dhao,2.045,1.8193,3.6301
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Ètu rai-haha ne, abhu aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Nèia lii, ""Rai-haha, tèti mai mangèru hua-hela, dhu tao hini, aa aj'u hua dhu tao hua sèmi nèngu rupa, dhu hini nèngu ètu nèngu dara, ètu rai-haha;"" Nèia mami sèmi èèna.",,eng,nfa,English,Dhao,0.4027,3.506,4.8579
