src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god created the heaven and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,,,
"and the earth was without form, and void; and darkness was upon the face of the deep. and the spirit of god moved upon the face of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Ètu rai-haha ne, abhu boe ngaa-ngaa. Ètu rai-haha ne, ètu dꞌara maroga. Aa ètu dꞌara èi, ètu dedha-liru. Aa ètu dꞌara èi, ètu dꞌara èi, ètu dedha-liru. Aa ètu dꞌara èi, ètu dꞌara èi, ètu dedha-liru. Aa ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi, ètu dedha-liru. Ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi. Ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi, ètu dꞌara èi.","Rai-haha ne, abhu boe rupa, aa abhu boe ngaa-ngaa. Aa maroga ètu dedha marèma. Aa Roh Ama Lamatua pidha ètu dedha èi.",,eng,nfa,English,Dhao,8.6391,5.6964,9.3999
"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi!"" Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hud'i j'aj'i saraa!"" Èle èèna ka, saraa j'aj'i.",,eng,nfa,English,Dhao,16.2145,11.9196,12.4591
"and god saw the light, that it was good: and god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa ne.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua ma'ète saraa nèti maroga.",,eng,nfa,English,Dhao,7.2959,2.4951,3.3168
"and god called the light day, and the darkness he called night. and the evening and the morning were the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Ka Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Ka Na pajꞌujꞌu aaꞌi mèu-mèu, ka Na pajꞌujꞌu aaꞌi mèu-mèu. Ka Lamatua pajꞌujꞌu aaꞌi mèu-mèu, ka Na pajꞌujꞌu aaꞌi mèu-mèu. Ka Lamatua pajꞌujꞌu aaꞌi mèu-mèu, ka Na pajꞌujꞌu aaꞌi mèu-mèu.","Aa Ama Lamatua paroa saraa ne, lod'o, aa maroga ne, Na paroa mèda. Aa lod'o nihia dènge madae j'aj'i lod'o ka-èci.",,eng,nfa,English,Dhao,14.5273,31.2989,29.7639
"¶ and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters. and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, ka pabagi ètu dedha-liru, ètu dedha-liru, dènge ètu dedha-liru. Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""J'aj'i dedha-liru ètu talora aae èi, aa sèna ka nèngu pabagi èi nèti èi."" Hèia Ama Lamatua paj'aj'i ètu dedha-liru, ka pabagi èi dhu pea ètu haha dedha-liru nèti èi dhu pea ètu dedha dedha-liru. Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,1.3396,3.1621,3.5095
and god called the firmament heaven. and the evening and the morning were the second day.,"ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu, aa bèli-camèdꞌa jꞌajꞌi mèu-mèu. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu.","aa Ama Lamatua paroa dedha-liru ne, Liru. aa lod'o nihia dènge madae, nuka lod'o ka-dua.",,eng,nfa,English,Dhao,9.4147,12.1969,12.1363
"¶ and god said, let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Hudi èj'i dhu ètu haha liru pakaboko sabaj'a sama-sama ètu era èci, aa hudi rai mango bhodho."" Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,4.0277,9.6312,7.4686
and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi rai-haha. Hèia Ama Lamatua hagꞌe nare aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi rai-haha. Nèti èèna ka, Lamatua ladhe-leru aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi rai-haha ne.","Aa Ama Lamatua paroa rai mango ne, j'aj'i rai-haha; aa pakaboko èi ne, Ama Lamatua paroa ne, j'aj'i dhasi: aa Ama Lamatua ladhe na be'a.",,eng,nfa,English,Dhao,4.8395,6.5719,7.7534
"and god said, let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi ngiꞌu aaꞌi-aaꞌi ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi ngiꞌu aaꞌi-aaꞌi ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi ngiꞌu aaꞌi-aaꞌi ètu rai-haha ne, sèna ka jꞌajꞌi ngiꞌu aaꞌi-aaꞌi ètu rai-haha ne."" Nèti èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne.","Èle èèna ka, Ama Lamatua peka, ""Hud'i rai-haha ne j'aj'i j'u'u, ana-aj'u dhu hua hini, aa aj'u hua dhu hua madhutu rupa na, dhu hini na ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,10.8954,5.8467,7.8928
