src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
at the first god made the heaven and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",eng,nfa,English,Dhao,0.0,0.0,0.0
and the earth was waste and without form; and it was dark on the face of the deep: and the spirit of god was moving on the face of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa rai-haha ne jꞌajꞌi mèu-mèu ètu dedha-liru. Aa Roh Ama Lamatua ètu dedha-liru ètu dedha-liru.",Rai-haha ne j'aj'i mèu-mèu. Aa maroga ètu dedha-liru. Aa Roh Ama Lamatua nèd'u pèd'a ètu dedha-liru.,eng,nfa,English,Dhao,6.6873,1.218,1.6721
"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Hudꞌi laa!"" Èle èèna ka, heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hud'i abhu saraa!"" Èle èèna ka, abhu saraa.",eng,nfa,English,Dhao,5.5095,6.6969,10.6447
"and god, looking on the light, saw that it was good: and god made a division between the light and the dark,","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe-leru, ka ladhe-leru ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌajꞌèra èci dènge èci, èci dènge èci.","Èle èèna ka, Ama Lamatua ladhe leru, ka na ladhe dhu be'a. Hèia Ama Lamatua tao j'aj'èra ètu d'ara leru dènge maroga.",eng,nfa,English,Dhao,4.9624,4.5989,5.1562
"naming the light, day, and the dark, night. and there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Na hagꞌe nare lii padhai Na, ""Dhèu."" Hèia Na hagꞌe nare hari, aa Na hagꞌe nare hari.","Ama Lamatua hag'e nare ngara saraa, 'Lod'o', aa maroga, 'Mèda'. Hèia abhu sore, aa abhu lod'o cèna, nuka lod'o partama.",eng,nfa,English,Dhao,8.8271,18.8033,17.0354
"and god said, let there be a solid arch stretching over the waters, parting the waters from the waters. and god made the arch for a division between the waters which were under the arch and those which were over it: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Sèmi neꞌe, jaꞌa neo pajꞌujꞌu èèna, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi."" Èle èèna ka, Ama Lamatua pajꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi.","Èle èèna ka, Ama Lamatua peka, ""Pe na abhu cag'ag'a dhu paj'uj'u ètu dedha èi, ho pad'ètu èi nèti èi."" Èle èèna ka, Ama Lamatua tao cag'ag'a èèna, ho j'aj'i pad'ètu ètu d'ara èi dhu ètu haha cag'ag'a èèna dènge èi dhu ètu dedha na. Ka j'aj'i sèmi èèna.",eng,nfa,English,Dhao,4.2272,5.2615,6.1733
"and god gave the arch the name of heaven. and there was evening and there was morning, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aae rai-haha ne, ngara Na, 'Dhèu Aae'. Èle èèna ka, madꞌae. Èle èèna ka, bèli-camèdꞌa. Èle èèna ka, bèli-camèdꞌa.","Ama Lamatua pangare liru ne, 'Liru'. Èle èèna ka, madꞌae. Èle èèna ka, bèli-camèdꞌa, lod'o kadua.",eng,nfa,English,Dhao,6.8921,21.1763,18.6238
"and god said, let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka.""","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa bèli-camèdꞌa rai mango lèpa sa."" Ka j'aj'i sèmi èèna.",eng,nfa,English,Dhao,7.4216,2.2968,4.2597
and god gave the dry land the name of earth; and the waters together in their place were named seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua ladhe-leru.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Rai-haha'. Ka èi aa'i-aa'i dhu pa'èci ètu era rèngu, Ama Lamatua pangare ne, 'Loko-loko'. Ka Ama Lamatua ladhe-leru.",eng,nfa,English,Dhao,10.9017,7.0094,6.3052
"and god said, let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, ""Biar rumput j'aj'i ètu rai-haha, aa tumbuh-tumbuan dhu pua wini, aa aj'u hua dhu pua hua, dhu d'ara na abhu wini na, madhutu j'ara rèngu."" Hèia j'aj'i sèmi èèna kahèi.",eng,nfa,English,Dhao,7.06,8.0368,9.4021
