src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning god created the heavens and the earth,","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"and the earth was formless and void, and darkness was on the face of the deep, and the spirit of god was fluttering on the face of the waters,","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu-mèu.","Dènge rai dhae j'aj'i rupa dènge mola, dènge maroga ètu rohu marèma, dènge Manadhu Lamatua eebo-eebo ètu rohu èi.",,eng,nfa,English,Dhao,7.7718,0.3905,4.1833
"and god says, let light be; and light is.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa!"" Hèia heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka.","Èle èèna ka, Ama Lamatua peka, ""Hudi saraa!"" Hèia saraa j'aj'i.",,eng,nfa,English,Dhao,18.5088,13.2268,16.6527
"and god sees that the light is good, and god separates between the light and the darkness,","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua padꞌelo jꞌara èci dènge èci, èci dènge èci, èci dènge èci.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua ma'ète saraa dènge maroga.",,eng,nfa,English,Dhao,-0.1339,2.1056,2.7185
"and god calls the light day, and the darkness he has called night; and there is an evening, and there is a morning-day one.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu.""","Aa Ama Lamatua paroa samaa na Lod'o, aa maroga nèngu paroa na Mèda. Aa j'aj'i nihia, aa j'aj'i madae - lod'o ka-èci.",,eng,nfa,English,Dhao,7.5271,21.4855,20.9336
"and god says, let an expanse be in the midst of the waters, and let it be separating between waters and waters. and god makes the expanse, and it separates between the waters which are under the expanse, and the waters which are above the expanse: and it is so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka ètu dꞌara èmu èèna, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dꞌara èmu èèna, sèna ka jꞌajꞌi èci dènge èci, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi.","Hèia Ama Lamatua aku na, ""Sèna ka j'aj'i liru ètu d'ara èi, dènge sèna ka manyèla ètu talora èi dènge èi."" Hèia Ama Lamatua paj'aj'i liru, dènge manyèla ètu talora èi dhu ètu haha liru, dènge èi dhu ètu dedha liru. Ka j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,-0.3325,-0.1083,-0.1267
"and god calls the expanse heavens; and there is an evening, and there is a morning-the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu. Èle èèna ka, lodꞌo ka dua.","Èle èèna ka, Ama Lamatua paroa dedha-liru liru; dènge j'aj'i mèda, dènge j'aj'i madae - ka-dua lod'o.",,eng,nfa,English,Dhao,2.5992,1.3527,1.249
"and god says, let the waters under the heavens be collected to one place, and let the dry land be seen: and it is so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe, sèna ka èi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa jꞌajꞌi ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua aku, ""Sèmi neꞌe, sèna ka èi dhu ètu haha liru jꞌajꞌi ètu era èci, aa sèna ka rai mango bhodho."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-0.9301,-7.3681,-5.8135
"and god calls the dry land earth, and the collection of the waters he has called seas; and god sees that it is good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha'. Aa èi èi èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha.' Hèia Ama Lamatua ladhe-leru, na, èèna beꞌa.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Rai'. Aa èi èi èèna ka, Ama Lamatua pangare ne, 'Dhasi'. Hèia Ama Lamatua ladhe-leru, na, èèna beꞌa.",,eng,nfa,English,Dhao,0.169,0.4835,0.8356
"and god says, let the earth yield tender grass, herb sowing seed, fruit-tree whose seed is in itself making fruit after its kind, on the earth: and it is so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi, aa aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi.","Aa Ama Lamatua peka, ""Hudi rai ne j'aj'i j'u'u ngèru, ana-aj'u dhu cebe hini, aj'u hua dhu hini nèngu ètu dara nèngu, tao hua sèmi rupa nèngu, ètu rai ne: aa j'aj'i sèmi èèna.""",,eng,nfa,English,Dhao,7.2793,2.5903,2.0915
