src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"the earth was formless and empty, and darkness covered the surface of the deep. the spirit of god moved over the surface of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa rai-haha ne jꞌajꞌi mèu-mèu. Aa rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu.","Rai ne mola aa dènge boe rupa, aa maroga sarimu dedha èi marèma. Roh Ama Lamatua pidha ètu dedha èi ae-ae.",,eng,nfa,English,Dhao,7.4305,4.9562,8.2403
"god said, let there be light! and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Bèli-camèdꞌa, sèna ka jꞌajꞌi mèu-mèu!"" Hèia jꞌajꞌi mèu-mèu.","Ama Lamatua peka, aku Nèngu na, ""Hudi j'aj'i saraa!"" Hèia j'aj'i saraa.",,eng,nfa,English,Dhao,14.5335,9.3724,8.7129
"god saw that the light was good, and he separated the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua pamaꞌète aaꞌi-aaꞌi nèti dꞌara maroga.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua pamaꞌète saraa nèti dꞌara maroga.",,eng,nfa,English,Dhao,3.2975,3.7254,3.7216
"god called the light day, and he called the darkness night. so there was evening, and then the morning, making day one.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo.","Ama Lamatua paroa saraa ne, lod'o. Aa nèngu paroa maroga ne, mèda. De d'ai mèka lod'o nihia, aa hèia madae, j'aj'i lod'o ka-èci.",,eng,nfa,English,Dhao,11.7174,24.5439,24.9782
"god said, let there be an expanse in the middle of the waters to divide the waters. so god made an expanse to divide the waters that were above from the waters that were below. and that's what happened.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Beꞌa risi ètu talora aae èi, sèna ka babège eele èi."" Hèia Ama Lamatua tao ètu talora aae èi, sèna ka babège eele èi nèti èi. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, ""Be'a j'aj'i liru ètu talora èi ae, sèna ka babège èi ae."" Hèia Ama Lamatua tao liru, sèna ka babège èi dhu ètu dedha nèti èi dhu ètu haha. Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,-4.2069,-2.4873,-2.7496
"god called the expanse, sky. so there was evening, and then the morning, making day two.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra.","Ama Lamatua paroa dedha-liru na, liru. De j'aj'i mèda, aa hèia madae, tao lod'o ka-dua.",,eng,nfa,English,Dhao,9.4822,20.1269,18.8692
"god said, let the waters below the sky collect together in one place so that the land may appear. and so it was.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, aku Nèngu na, ""Hud'i èi dhu ètu haha liru oru ètu era èci, sèna ka rai-haha bhodho."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,10.0818,0.6147,1.7014
god called the land earth and the waters seas. god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha', dènge èi èi èèna, 'Dhèu rai-haha.' Hèia Ama Lamatua ladhe sèmi èèna, aa ladhe sèmi èèna, beꞌa kahèi.","Ama Lamatua pangare rai-haha ne, 'Rai-haha', dènge èi èèna, 'Dhasi.' Hèia Ama Lamatua ladhe na be'a.",,eng,nfa,English,Dhao,1.6212,-1.3948,-0.3608
"god said, let the earth produce vegetation-plants that produce seeds and trees that produce seeded fruit-each one according to its own kind. and that's what happened.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha."" Hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra.","Ama Lamatua peka, ""Hudi laa rai-haha hia ana-aj'u dhu hia hini, aa aj'u dhu hia hua dhu dènge hini, èci-èci madhutu j'ara na mesa na."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,5.9415,0.5812,2.8661
