src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Ètu uru ka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.2314,-3.2022,-2.3055
the earth was without form and empty. darkness was upon the surface of the deep. the spirit of god was moving above the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Dhèu aaꞌi-aaꞌi ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne, ètu rai-haha ne.",Rai ne dènge boe rupa aa mola. Maroga ètu dedha èi dhu marèma. Manadu Ama Lamatua eso dedha èi.,,eng,nfa,English,Dhao,6.3367,8.6531,12.4281
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa!"" Ka dhèu aaꞌi-aaꞌi reꞌa, na, ""Hudꞌi laa!"" Èle èèna ka, dhèu aaꞌi-aaꞌi reꞌa, na, ""Hudꞌi laa!""","Ama Lamatua peka, ""Hud'i abhu saraa!"" Ka abhu saraa.",,eng,nfa,English,Dhao,3.998,1.3078,3.6238
"god saw the light, that it was good. he divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne be'a. Hèia Ama Lamatua ma'ète saraa ngèti maroga.",,eng,nfa,English,Dhao,4.0328,2.836,3.0808
"god called the light day, and the darkness he called night. this was evening and morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, jꞌajꞌi mèu-mèu. Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, jꞌajꞌi mèu-mèu. Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, jꞌajꞌi mèu-mèu. Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, jꞌajꞌi mèu-mèu. Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, jꞌajꞌi mèu-mèu.","Ama Lamatua paroa saraa ne, lod'o, aa maroga ne, nèngu paroa mèda. Èèna ka lod'o cèna dènge madae, lod'o ka-èci.",,eng,nfa,English,Dhao,15.7955,33.3905,32.7207
"god said, let there be an expanse between the waters, and let it divide the waters from the waters. god made the expanse and divided the waters which were under the expanse from the waters which were above the expanse. it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu talora aae, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu talora aae, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, ""Hudi j'aj'i ca talora aae ètu talora èi, aa hudi na ma'ète èi ngèti èi."" Hèia Ama Lamatua tao talora aae èèna, aa na ma'ète èi dhu ètu haha talora aae èèna ngèti èi dhu ètu dedha talora aae èèna. J'aj'i sèmi èèna.",,eng,nfa,English,Dhao,-3.8869,-3.6667,-3.9526
"god called the expanse sky. this was evening and morning, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa bèli-camèdꞌa dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa bèli-camèdꞌa dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Lamatua paroa liru. Èèna ka, lod'o cèna dènge madae, lod'o ka-dua.",,eng,nfa,English,Dhao,14.412,15.5177,15.118
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear. it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, ""Pe èi dhu ètu haha liru kaboko ètu era èci, aa sèna ka rai mango j'aj'i."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,6.8576,-0.0902,0.5133
"god called the dry land earth, and the gathered waters he called seas. he saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, ""Dhu rai-haha ne, rai-haha ne."" Hèia Ama Lamatua pangare rai-haha ne, ""Dhu rai-haha ne, rai-haha ne, beꞌa."" Hèia Ama Lamatua pangare rai-haha ne, ""Dhu rai-haha ne, rai-haha ne.""","Ama Lamatua pangare rai mango ne, Rai-haha, aa èi dhu oru, nèngu pangare ne, dhasi. Nèngu rèdhi na be'a.",,eng,nfa,English,Dhao,4.1154,2.8864,7.1673
"god said, let the earth sprout vegetation: plants yielding seed and fruit trees bearing fruit whose seed is in the fruit, each according to its own kind. it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi sèra jꞌajꞌi rupa-rupa hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra jꞌajꞌi rupa-rupa hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra jꞌajꞌi rupa-rupa hua-hela ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, ""Pe rai-haha muri rupa-rupa ana-aj'u, nuka ana-aj'u dhu hua hini, aa aj'u hua dhu hua, hini na ètu d'ara hua na, èci-èci madhutu rupa na."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,9.8389,4.9644,6.888
