verse,source_text,target_text
RUT 1:1-2,"In the days when the judges judged, there was a famine in the land. A certain man of Bethlehem Judah went to live in the country of Moab with his wife and his two sons. The name of the man was Elimelech, and the name of his wife Naomi. The names of his two sons were Mahlon and Chilion, Ephrathites of Bethlehem Judah. They came into the country of Moab and lived there.","La' ululu ma'ta, la' ler maka maktorna deulu-tatra rodi plolli la Israel, de rehka-lar lawna la' hande. La' ler de de a'na muanke' id nanni Elimelek nor patke'eni nanni Naomi rwatiawua luwu-a'na Efrata. Ira nhiol genni Betlehem la'a riy Yehuda yapatni. Yoma la'a rehka-lar lawan de pede nora patke'eni Naomi rla'awa la Moab rora a'nani rora, Mahlon nora Kilion pa honona rden la hande."
RUT 1:3,"Elimelech, Naomi's husband, died, and she was left with her two sons.",Noma lera ida ne Na'omi muanke'eni Elimelek nmat wia. Pa enekneka Na'omi napatyat nohora a'nani muanke'a rora la hande.
RUT 1:4,"They took for themselves wives of the women of Moab. The name of the one was Orpah, and the name of the other was Ruth. They lived there about ten years.","A'nani re rmehlim pa rora pat harara makden la Moab de, ida nwawa Orpa, me ida nwawa Rut. La'pa edon nhal de, nalo'on nana anni termid wa la hande"
RUT 1:5,"Mahlon and Chilion both died, and the woman was bereaved of her two children and of her husband.",dewade Na'omi a'nani muanke'a rora rmat wial wia. Ne Na'omi napatyata inon muanmuanu.
RUT 1:6,"Then she arose with her daughters-in-law, that she might return from the country of Moab, for she had heard in the country of Moab how the LORD had visited his people in giving them bread.",Rden la hande pa lera ida ne Na'omi natlin nana ORGAHI-ORHA'A Ntera-ndem oleka riy Israel la'a riekni-wnio'orani. Dewade Na'omi nora yananni patke'a rora rwahi'a-rwayod pia rlergot la' Moab totpa rawal lia Israel.
RUT 1:7,"She went out of the place where she was, and her two daughters-in-law with her. They went on the way to return to the land of Judah.",Irlergot rewre'wa pa rawal lia' Yehuda yapatni. La' pa ralala' rer mia'ta
RUT 1:8,"Naomi said to her two daughters-in-law, Go, return each of you to her mother's house. May the LORD deal kindly with you, as you have dealt with the dead and with me.","noma Na'omi nakot la yananni patke'a rora niwra, Yananmi re! Samomuounu de mimrio' miwal lia miy inmi romni. Pena awuak la ORGAHI-ORHA'A pa Ntutga E ralam kalwiedni tiy miy, emeknekama mtiutg oleka la miy hapmi mak kmati oleka re me mimtiutg oleka la mai a'u."
RUT 1:9,"May the LORD grant you that you may find rest, each of you in the house of her husband. Then she kissed them, and they lifted up their voices, and wept.","Pena wuak la ORGAHI-ORHA'A totpa Nal miy pia mmiehlim owa'ana, totpena mimlier owa'an la mtierterannu. La'pa Na'omi nano'a rpa nhorwua dewade nkinnia re pa niwra nawliohorwa dewade rolindoinia kniakru"
RUT 1:10,"They said to her, No, but we will return with you to your people.","pa rakot la yananni Na'omi riwra, Yannie! Omliol meni-meni pa muwal wia nohomu de, amlernohorre'ru pa ita tden wut lia o lupmu-a'namu de."
RUT 1:11,"Naomi said, Go back, my daughters. Why do you want to go with me? Do I still have sons in my womb, that they may be your husbands?","Mere rora yananni Na'omi nhar lirni nakot la niwra, A'nami re! Samomuounu de mimrio' miwal lia rommi. Nihya' pede miwra mliernohora a'u? A'ukleha upa-a'na, pa hota mimiora mmiehlim owa'ana. Ne hota a'g edonna liernan owa'an a'na."
RUT 1:12,"Go back, my daughters, go your way, for I am too old to have a husband. If I should say, ‘I have hope, ' if I should even have a husband tonight, and should also bear sons,","Pede a'na miy re, mimrio'a miwal niek la inmi romni. A' di de ghape'ewa pa hota he' ed mak kor a pua mmehlim owa'ana totpena aliernan a'na? ! Ne la'pa emkade ho'mana aliernan talan pa agor muanke' id mmehlim la' mel di memna, totpa pleta-plet pa aliernan a'na muanke'a rora,"
RUT 1:13,"would you then wait until they were grown? Would you then refrain from having husbands? No, my daughters, for it grieves me seriously for your sakes, for the LORD's hand has gone out against me.","de plol toto'a de mimpiei niana keke'enku'a re rlawan totpena miora mmiehlima? ! Hota a'a'nu nanpena mimiora mmiehlima ne la' riy dom to'a de taken niana miora mmiehlima? ! Yan mimrio'a mpiaror emkare! A'na miy re, mimrio' miwal niek wa yoma ORGAHI-ORHA'A Ntutga hankeranni mai a' pua mernu-kapalli maka aliernan dena nareh dioin hya' maka mimliernana."
RUT 1:14,"They lifted up their voices and wept again, then Orpah kissed her mother-in-law, but Ruth stayed with her.","Noma rpolpuolu-kakakria, dewade Orpa nkinnia yananni na'nama nwak kalwieda pa nla'awa. Mere yananni handina Rut de nkorreri pitpit lia Na'omi pa nahmena nwadur nan oke'a."
RUT 1:15,"She said, Behold, your sister-in-law has gone back to her people and to her god. Follow your sister-in-law.","Na'omi nakot la niwra, Ruta! Mumkek to'ola raurmu nla' olekwa de pa hota nler wut lia lupwalli-a'na walli re pa rkola tieru-rawur nehla la uplerni-upmatni re wa nee! Mlia' pa mliernohora raurmu e nla' olek de!"
RUT 1:16,"Ruth said, Don't urge me to leave you, and to return from following you, for where you go, I will go, and where you stay, I will stay. Your people will be my people, and your God my God.","Mere Ruta nahmena ne niwra, Yanie, yana mhuopn alia'awa pa atio'or doinia o' la. Hota omliol meni to' de alier nohorre'ru! La'pa omdiella hanmeni de adiel wal lia pa la'pa amuat nioho'ru la hande. O lupmu-a'namu erla hanmeni de alier wut lia. Uplerlawna maka omkuola tieru-muawur nehla la de a' muana kola tieru-gawur nehla wal lia."
RUT 1:17,"Where you die, I will die, and there I will be buried. May the LORD do so to me, and more also, if anything but death parts you and me.","Ommuori-mmuat lia hanmeni, de amuori-muat nioho'ru pa rtamin wali a lia' hande. La'pa a'uwlar dioinia o la de pena Uplerlawna Nal a lia yatyatni-halalli yatlorni-yatra'ani. Ommuati onde amuat nianpena itro' idma oliet la ida!"
RUT 1:18,"When Naomi saw that she was determined to go with her, she stopped urging her.",La'pa Na'omi nat niohora hota Rut nahmen memna nlernohora e lirni dewade edon nakot owa'an pa rpahakar talla.
RUT 1:19,"So they both went until they came to Bethlehem. When they had come to Bethlehem, all the city was excited about them, and they asked, Is this Naomi?","Rrora rla'awa pa rodi liarni la Betlehem. La'pa rte'ewa la hande, de let de ralamni kokan nohora-po'on nohora la Na'omi. Hapepe'a-hararara let mniotni idma natian id la riwra, Mak ha riwra Na'omi inhati hadina?"
RUT 1:20,"She said to them, Don't call me Naomi. Call me Mara, for the Almighty has dealt very bitterly with me.","Noma Na'omi e nhar lirni pa nwalola re niwra, In-el miy ree! Yan mpiet a lia Na'omi nnia'eratni de nahepru. Mere mpiolga a na'nu la Mara nnia'eratni de mernu-kapalli yoma Uplerlawna-Mempulwatnu makodi plolli Nhur dioinia a lia pa alier la mernu-kapalli."
RUT 1:21,"I went out full, and the LORD has brought me home again empty. Why do you call me Naomi, since the LORD has testified against me, and the Almighty has afflicted me?",La' lerni aliergot la handi pa alia'awa la'a Moab de agod miemna-gal memna. Mere ORGAHI-ORHA'A Npolla-nwe'era alia la'a noh maka a ra'ru ntur lia di agodi hgalia a li'mu. La' hade pede yana mpiolga a lia Na'omi nahepru yoma ORGAHI-ORHA'A mak kodi plolli ktaryatlia la'a hanek-harahu wuawannu ed mak kto'on reri a' pua muori-diar lia kropanni-krieutnu!
RUT 1:22,"So Naomi returned, and Ruth the Moabitess, her daughter-in-law, with her, who returned out of the country of Moab. They came to Bethlehem in the beginning of barley harvest.","Emkadel la'a Na'omi tuini la' lera nwatiawua Moab pa nawal niohora yananni Ruta, riy Moab de. La' lera rte'ela la'a Betlehem de, de rlernana mdududga rieik lawna la noha wullu-we'elli."
RUT 2:1,"Naomi had a relative of her husband's, a mighty man of wealth, of the family of Elimelech, and his name was Boaz.","Na'omi hawni Elimelek mak kmati oleka de, rimormiorni ida nwawa Bo'as, maka nh'inde riy ra'unni-ramta'ata yoma la'a re'eni-tniarnu."
