verse,source_text,target_text
MAT 1:1-2,"this is the record of the ancestors of jesus the messiah, the descendant of king david and of abraham, from whom all we jews have descended. abraham was the father of isaac. isaac was the father of jacob. jacob was the father of judah and judah's older and younger brothers.","sasuri ne, lole j'ara mamuri nèti yesus kristus, nuka dhèu dhu ama lamatua padhadha mema ho neo pua mai. yesus ne, ana-èpu dhèu aae daud dènge abraham. karèi nèti abraham toke dhèu aae daud, abhu canguru èpa bèi-baki. kabhia na sèmi ne'e: abraham matana isak, isak matana yakob, yakob matana yahuda dènge a'ari na,"
MAT 1:3,"judah was the father of perez and zerah, and their mother was tamar. perez was the father of hezron. hezron was the father of ram.","yahuda matana peres dènge sera ina ra, ngara na tamar peres matana herson, herson matana ram,"
MAT 1:4,ram was the father of amminadab. amminadab was the father of nahshon. nahshon was the father of salmon.,"ram matana aminadab, aminadab matana nahason, nahason matana salmon,"
MAT 1:5,"salmon and his wife rahab, a non-jewish woman, were the parents of boaz. boaz was the father of obed. obed's mother was ruth, another non-jewish woman. obed was the father of jesse.","salmon matana boas ina na, ngara na rahab boas matana obet ina na, ngara na rut, obet matana isai,"
MAT 1:6,jesse was the father of king david. david was the father of solomon. solomon's mother was previously married to uriah.,isai matana daud.
MAT 1:7-11,solomon was the father of rehoboam. rehoboam was the father of abijah. abijah was the father of asaph. asaph was the father of jehoshaphat. jehoshaphat was the father of jehoram. jehoram was an ancestor of uzziah. uzziah was the father of jotham. jotham was the father of ahaz. ahaz was the father of hezekiah. hezekiah was the father of manasseh. manasseh was the father of amon. amon was the father of josiah. josiah was the grandfather of jeconiah and jeconiah's brothers. they lived at the time when the babylonian army took the israelites as captives to the country of babylon.,"nèti daud toke lod'o dhu ra babège suku isra'el asa babel, abhu hari canguru èpa bèi-baki, nuka: daud matana soleman ina na, uru èèna dhèu èmu uria. soleman matana rehabeam, rehabeam matana abia, abia matana asaf, asaf matana yosafat, yosafat matana yoram, yoram matana usia, usia matana yotam, yotam matana ahas, ahas matana heskia, heskia matana manase, manase matana amos, amos matana yosias, yosias matana yekonya dènge ari na, lod'o babège si asa babel."
MAT 1:12-16,"after the babylonians took the israelites to babylon, jeconiah became the father of shealtiel. shealtiel was the grandfather of zerubbabel. zerubbabel was the father of abiud. abiud was the father of eliakim. eliakim was the father of azor. azor was the father of zadok. zadok was the father of akim. akim was the father of eliud. eliud was the father of eleazar. eleazar was the father of matthan. matthan was the father of jacob. jacob was the father of joseph. joseph was mary's husband, and mary was jesus' mother. jesus is the one who is called {whom we call} the messiah.","lod'o babège si asa babel, toke d'ai rara iisi yesus, abhu canguru èpa bèi-baki, nuka: yekonya matana saltiel, saltiel matana serubabel, serubabel matana abihut, abihut matana elyakim, elyakim matana asor, asor matana sadok, sadok matana akim, akim matana eliut, eliut matana eliasar, eliasar matana matan, matan matana yakob, yakob matana yusuf, yusuf ne, dhèu èmu maria. maria ne ka dhu nara iisi yesus kristus."
MAT 1:17,"as you can calculate, i have grouped jesus' ancestors as follows: there was a succession of 14 of them from the time when abraham lived to the time when king david lived. there was a succession of 14 of them from the time when david lived to the time when the israelites were taken {the babylonian army took the israelites} away to babylon. there was a succession of 14 of them from the time when the israelites were taken {the babylonian army took the israelites} away to babylon until the time when the messiah was born.","de karèi nèti abraham toke daud, abhu canguru èpa bèi-baki; nèti daud toke lod'o ra babège si asa babel abhu canguru èpa bèi-baki; aa nèti lod'o ra babège si asa babel d'ai maria nara iisi yesus, abhu canguru èpa bèi-baki."
MAT 1:18,"this is the account of what happened just before jesus christ was born. mary, his mother, {had publicly promised joseph that she would marry him} had been publicly promised to marry joseph. before they began to sleep together, mary realized that she was pregnant. it was the power of the holy spirit that had caused her to become pregnant.","lii lolo maria nara iisi yesus sèmi ne'e ka: maria dhu tunanga le dènge yusuf. dua ra pa'èci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa te'a boe na, maria dhu dènge le babia nèti roh ama lamatua dhu mola-mèci."
MAT 1:19,"joseph, her future husband, was a man who obeyed god's commands. one of those commands was that men must divorce women who had acted immorally. so when joseph learned that mary was pregnant, he assumed that she was pregnant as a result of her acting immorally. so he decided to break the engagement. but because he did not want to shame her publicly, he decided to do it privately.","ropa yusuf ne'a, ka na neo pama'ète lii rèngu dua ra. te ngaa na d'èi boe pamakae maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu d'ara mola. nèti èèna ka, na neo pamau eele lii rèngu ne."
MAT 1:20,"while he was seriously considering this, much to his surprise, in a dream he saw an angel whom the lord had sent. the angel said, joseph, descendant of king david, do not be afraid that yousg would be doing wrong if yousg would marry mary. instead, begin to treat her as your wife, because the holy spirit, not a man, has caused her to be pregnant.","te ngaa lod'o dhu na pangee era, d'ara ca mèda sa, ka nèngu nii. ètu d'ara nii ne, ladhe nèdhi ana pajuu ama lamatua nèti sorga mai peka dènge ne, aku nèngu na, yusuf! èu ne, ana-èpu dhèu aae daud. èu mage makae leo dènge maria. te ana dhu na kad'o èèna, j'aj'i nèti roh ama lamatua."
MAT 1:21,"she will give birth to a son. since it is he who will cause that his people will be saved from the guilt of their having sinned, name the baby jesus, which means ‘the lord saves people'.","bèli-camèd'a maria nara iisi ana mone ca dhèu. aa èu hud'i pangare ne, yesus, te nèngu ka dhu patabuli dhèu unu ama lamatua nèti koasa sasala-sasigo ra."
MAT 1:22,all this happened as a result of what the lord told the prophet isaiah to write long ago about what was going to happen. this is what isaiah wrote:,"j'ara ne j'aj'i sèmi èèna, lula ama lamatua dhu peka mema nèti uru ka, re dhèu nèti lii padhai na, ngara na yesaya, dhu suri, peka na,"
MAT 1:23,"listen, a virgin will become pregnant and will give birth to a son. they will call him emmanuel. emmanuel means ‘god is with us'.","mi nanene! bèli-camèd'a abhu ana bhèni ca dhèu dhu kalora iisi, te'a boe na, nèngu dhu dènge babia le. èèna na nara iisi ana mone ca dhèu. ka ra pangare ne, imanuel. lii ibrani, ‘imanuel' sasoa na: ama lamatua bera-bera dènge èdhi."
MAT 1:24,"when joseph got up from sleep, he did what the angel whom the lord had sent commanded him to do. he took mary home to be his wife.","ropa nii èle, yusuf kèd'i nèti bhèj'i na. ka na madhutu ka lii padhai ama lamatua dhu na tadèngi ètu d'ara nii deo na. ka nare maria j'aj'i dhèu èmu na."
MAT 1:25,but he did not have sexual relations with her until she had given birth to a son. and joseph named him jesus.,"te ngaa na j'unu pa'èci boe dènge maria, toke maria nara iisi aa'i. nara iisi nare ka, yusuf pangare ana ne, yesus."
