english_version,target_language,perplexity_score
glw,dhao,37.4257
lxx2012,dhao,44.8704
englxxup,dhao,45.1587
engoke,dhao,45.6002
Brenton,dhao,46.5442
uk_lxx2012,dhao,46.794
engjps,dhao,47.4953
englee,dhao,48.1852
engbarkly,dhao,68.323
engourb,dhao,77.8146
engWycliffe,dhao,79.4303
engnna,dhao,80.6964
engBBE,dhao,97.3408
engwyc2017,dhao,100.769
engtcent,dhao,102.562
englsv,dhao,102.869
engaoi,dhao,102.896
engnoy,dhao,103.629
engemtv,dhao,104.164
engwebster,dhao,105.945
engbsb,dhao,106.09
engmsb,dhao,106.375
rv,dhao,107.347
engasvbt,dhao,107.922
asv,dhao,108.015
engwmb,dhao,108.292
webbe,dhao,108.472
engwebpb,dhao,108.52
web_c,dhao,108.523
engkjvcpb,dhao,108.545
web,dhao,108.564
engDRA,dhao,108.596
engwebu,dhao,108.624
engULB,dhao,108.645
engnet,dhao,108.652
engwmbb,dhao,109.056
engwebp,dhao,109.318
engDBY,dhao,109.485
kjv,dhao,109.515
engf35,dhao,109.916
kjv2006,dhao,109.953
engylt,dhao,113.458
engtnt,dhao,114.251
enggnv,dhao,117.849
engfbv,dhao,119.393
engoebcw,dhao,122.165
engoebus,dhao,122.604
engojb,dhao,140.657
engPEV,dhao,156.023
engwyc2018,dhao,189.311
t4t,dhao,194.914
