verse,source_text,target_text,pred_target_text
GEN 1:1,"Pada mulanya, Allah menciptakan langit dan bumi.","Uru-uru tèka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Lodꞌo Ama Lamatua pajꞌajꞌi liru dènge rai-haha, karèi nèti uru ka."
GEN 1:2,"Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air.","Lodꞌo rai-haha jꞌajꞌi mèka, aaꞌi-aaꞌi dhae mèci mèka. Dhu abhu, èi. Aa maroga aatu-aatu saguru nare ne. Ka Roh Lamatua lela ètu dedha èi èèna.","Rai-haha jꞌajꞌi mèka mèdha-panyau, aa maroga paꞌabhe dhasi. Aa Roh Ama Lamatua kako laꞌe-mai ètu dedha èi."
GEN 1:3,"Kemudian, Allah berfirman, “Jadilah terang.” Lalu, terang itu jadi.","Hèia Ama Lamatua peka, “Hudꞌi ku dènge saraa.” Ropa peka nare sèmi neꞌe, ka saraa jꞌajꞌi dènge ka.","Hèia Ama Lamatua peka, na, Hudꞌi dènge ku saraa. Ka saraa èèna jꞌajꞌi."
GEN 1:4,"Allah melihat bahwa terang itu baik. Kemudian, Allah memisahkan terang itu dari gelap.","Ropa nèdhi saraa ne, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa. Hèia Na hagꞌe eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Hèia Ama Lamatua ladhe, na, saraa ne beꞌa. Ka Na pacèri saraa ne nèti maroga."
GEN 1:5,"Allah menyebut terang itu siang dan gelap itu malam. Jadilah petang dan jadilah pagi, itulah hari pertama.","Ka pangare saraa ne ‘mèu’, aa maroga na ‘mèda’. Neꞌe ne, lodꞌo ka èci kèna.","Hèia Ama Lamatua pangare saraa èèna, mèu. Aa Na pangare saraa ne, mèda. Hèia madꞌae aae. Aa madꞌae aae kahèi. Neꞌe ne, lodꞌo partama."
GEN 1:6-7,"Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!” Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian.","Hèia Ama Lamatua lii hari, Na peka, “Hudꞌi dènge ku era talele, sèna ka hagꞌe eele èi. Nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha.” Ropa peka nare sèmi èèna, hèia èi bꞌagi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, na, Bèli-camèdꞌa abhu lei èci dhu taleo ètu talora èi, sèna ka pacèri èi nèti èi. Hèia Ama Lamatua tao lei èèna, ka pacèri èi nèti èi dhu ètu dedha nèti rai èèna. Ka rai èèna taleo."
GEN 1:8,"Allah menyebut cakrawala itu langit. Jadilah petang dan jadilah pagi, itulah hari kedua.","Ka Na pangare èi re dedha na, ‘liru’. Neꞌe ne, lodꞌo ka dua kèna.","Hèia Lamatua pangare liru dènge liru, rai. Ka lodꞌo cèna. Aa lodꞌo bèli èèna kahèi."
GEN 1:9,"Kemudian, Allah berfirman, “Biarlah air yang ada di bawah langit berkumpul ke satu tempat dan biarlah tanah yang kering itu tampak.” Lalu, jadilah demikian.","Hèia Ama Lamatua peka hari, aku Nèngu na, “Èi re haha hudꞌi pakaboko ku mi ca era, sèna ka abhu rai kamango.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka rai mango.","Hèia Ama Lamatua peka hari, aku Nèngu na, Hudꞌi laa èi dhu nèti dedha-liru pakaboko asa èci. Hudꞌi laa rai dhu mango-meto jꞌajꞌi. Hèia jꞌajꞌi ka sèmi èèna."
GEN 1:10,Allah menyebut tanah yang kering itu darat dan kumpulan air itu disebut-Nya laut. Allah melihat bahwa itu baik.,"Ka era rai mango, Na pangare na ‘rai-dedha’; aa era èi dhu kaboko èèna, Na pangare na ‘dhasi’. Ropa nèdhi aaꞌi-aaꞌi ne, dꞌara Na karejꞌe, lula ngaa dhu Na adꞌu, mema beꞌa.","Hèia Ama Lamatua paroa rai mango-meto ne, Rai-haha, aa pangare èi dhu pakaboko ètu dꞌara dhasi èèna, Dua Dhasi. Ka Lamatua ladhe, na, rai sèra beꞌa."
GEN 1:11,"Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian.","Ka Ama Lamatua lii hari, peka na, “Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu. Sèna ka abhu ajꞌu dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka ajꞌu-ajꞌu se, hua-hela madhutu rupa rèngu.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra.","Hèia Ama Lamatua peka, aku Nèngu na, Hudꞌi laa rai-haha hia jꞌuꞌu, ajꞌu-ajꞌu dhu muri, dènge hua-hela dhu muri ètu rai-haha. Jꞌuꞌu sèmi èèna ka."
