english_version,target_language,perplexity_score
asv,dhao,108.015
engBBE,dhao,97.3408
engDBY,dhao,109.485
engDRA,dhao,108.596
engULB,dhao,108.645
engasvbt,dhao,107.922
engbsb,dhao,106.09
engfbv,dhao,119.393
enggnv,dhao,117.849
engkjvcpb,dhao,108.545
englsv,dhao,102.869
engmsb,dhao,106.375
engnet,dhao,108.652
engojb,dhao,140.657
engwebp,dhao,109.318
engwebpb,dhao,108.52
engwebster,dhao,105.945
engwebu,dhao,108.624
engwmb,dhao,108.292
engwmbb,dhao,109.056
engwyc2017,dhao,100.769
engwyc2018,dhao,189.311
engylt,dhao,113.458
kjv,dhao,109.515
kjv2006,dhao,109.953
rv,dhao,107.347
t4t,dhao,194.914
web,dhao,108.564
web_c,dhao,108.523
webbe,dhao,108.472
