src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning elohim bara hashomayim the heavens and haaretz the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"and the earth was tohu vavohu without form, and void; and darkness was upon the face of the deep. and the ruach elohim was hovering upon the face of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Bèli-camèdꞌa, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi titu kèna. Bèli-camèdꞌa ètu rai-haha ne jꞌajꞌi mèu-mèu, aa rai-haha ne jꞌajꞌi mèu-mèu. Aa Roh Ama Lamatua ètu dedha-liru ètu dedha-liru.","Aa rai-haha ne dènge boe rupa, aa mèu-mèu; aa maroga ètu dedha marèma. Aa Roh Ama Lamatua liru-liru ètu dedha èi.",,eng,nfa,English,Dhao,6.6678,1.4895,4.6362
"and elohim said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae sèra, aku Nèngu na, ""Hudꞌi laa!"" Hèia Lamatua peka dènge dhèu aae sèra, ""Hudꞌi laa!"" Hèia Lamatua peka dènge dhèu aae sèra, aku Nèngu na, ""Hudꞌi laa!"" Hèia Lamatua peka dènge dhèu aae sèra, aku Nèngu na, ""Hudꞌi laa!""","Hèia Ama Lamatua peka, aku Nèngu na, ""Hud'i saraa laa!"" Hèia abhu saraa.",,eng,nfa,English,Dhao,5.1186,0.1924,5.474
"and elohim saw the light, that it was tov good; and elohim divided the ohr light from the choshech darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, dhèu aaꞌi-aaꞌi ladhe rèdhi, na, aaꞌi-aaꞌi ra karejꞌe-karae. Ka dhèu aaꞌi-aaꞌi ra padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi ètu dedha-liru.","Ama Lamatua ladhe rèdhi saraa, na, be'a; aa Ama Lamatua pab'ala saraa nèti maroga.",,eng,nfa,English,Dhao,8.3535,2.0166,3.9359
"and elohim called the light yom day, and the darkness he called lailah night. and the erev evening and the boker morning were yom echadday one, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Ka Lamatua hagꞌe nare aaꞌi mèu-mèu, peka na, ""Dhèu."" Ka Lamatua hagꞌe nare aaꞌi mèu-mèu, ka Na hagꞌe nare aaꞌi mèu-mèu, peka na, ""Dhèu."" Ka Lamatua hagꞌe nare aaꞌi mèu-mèu, ka Lamatua hagꞌe nare aaꞌi mèu-mèu.","Ka Ama Lamatua hag'e nare saraa, peka na, ""Lod'o."" Aa maroga Na hag'e nare, peka na, ""Mèda."" Ka lod'o cèna dènge mad'ae aae era, nuka lod'o uuru.",,eng,nfa,English,Dhao,3.2757,17.4903,13.6876
"and elohim said, let there be a raki'a expanse, dome, firmament in the midst of the mayim waters, and let it divide the mayim from the mayim. and elohim made the raki'a, and divided the waters under the raki'a from the waters which were above the raki'a; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge ana pajuu sèra, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka jꞌajꞌi dedha-liru ètu dedha-liru ètu dedha-liru. Jaꞌa manèngi sèna ka jꞌajꞌi dedha-liru ètu dedha-liru ètu dedha-liru."" Hèia Ama Lamatua pajꞌajꞌi dedha-liru ètu dedha-liru ètu dedha-liru, sèna ka jꞌajꞌi dedha-liru ètu dedha-liru ètu dedha-liru. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, ""Ja'a manèngi sèna ka j'aj'i dedha-liru ètu d'ara èi, sèna ka pacèri èi nèti èi."" Hèia Ama Lamatua paj'aj'i dedha-liru, aa pacèri èi dhu ètu haha dedha-liru nèti èi dhu ètu dedha dedha-liru; hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,3.5255,1.6745,3.7552
"and elohim called the raki'a shomayim heaven. and the erev and the boker were yom sheni day two, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, dhèu aaꞌi-aaꞌi ra pangee, na, ""Lamatua ètu dedha-liru"". Nèti èèna ka, dhèu aaꞌi-aaꞌi ra pangee, na, ""Lamatua ètu dedha-liru."" Nèti èèna ka, dhèu aaꞌi-aaꞌi ra pangee, na, ""Lamatua ètu dedha-liru."" Èle èèna ka, dhèu aaꞌi-aaꞌi ra pangee, na, ""Lamatua ètu dedha-liru"". Èle èèna ka, dhèu aaꞌi-aaꞌi ra pangee, na, ""Lamatua ètu dedha-liru."" Ka dhèu aaꞌi-aaꞌi ra pangee, peka na, ""Lamatua ètu dedha-liru.""","Lamatua pangee dedha-liru ne, 'dedha-liru'. Aa lod'o cèna dènge mad'ae aae j'aj'i lod'o ka dua.",,eng,nfa,English,Dhao,12.778,20.5475,21.6217
"and elohim said, let the waters under the heaven be gathered together unto one place, and let the yabashah dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae sèra, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa ngiꞌu aae ètu dedha-liru jꞌajꞌi ètu dꞌara èci, sèna ka rai-haha ne jꞌajꞌi ètu dꞌara èci."" Hèia jꞌajꞌi sèmi èèna kahèi. Nèti èèna ka, Ama Lamatua peka dènge dhèu aae sèra, aku Nèngu na, ""Bèli-camèdꞌa nèti dedha-liru jꞌajꞌi ètu dꞌara èci, sèna ka rai-haha ne jꞌajꞌi ètu dꞌara èci, sèna ka rai-haha ne jꞌajꞌi ètu dꞌara èci.""","Èle èèna ka, Ama Lamatua peka, ""Bèli-camèdꞌa ngiꞌu aae ètu dedha-liru pakaboko jꞌajꞌi ètu dꞌara èci, aa bèli-camèdꞌa rai-haha dhu maroo ne jꞌajꞌi."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-0.8928,-4.0889,-2.0512
and elohim called the yabashah eretz earth; and the mikveh gathering together of the waters called he seas; and elohim saw that it was tov.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, dhèu aaꞌi-aaꞌi ra paroa rai èèna, 'Dhèu Aae'. Aa èèna ka, dhèu aaꞌi-aaꞌi ra paroa aaꞌi-aaꞌi ra, 'Dhèu Aae'. Hèia dhèu aaꞌi-aaꞌi ladhe rèdhi, na, rai ne jꞌajꞌi le.","Hèia Ama Lamatua paroa rai dhu mamoa èèna, 'Rai'. Aa pakaboko èi èèna, na paroa ne, 'Naha'. Hèia Ama Lamatua rèdhi, na, èèna be'a.",,eng,nfa,English,Dhao,5.1239,2.7728,4.8126
"and elohim said, let the earth bring forth vegetation, the herb yielding zera seed, and the fruit tree yielding pri fruit after its kind, whose seed is in itself, upon the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi hudꞌi jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne. Aa jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne. Aa jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne. Aa jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne, sèna ka jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha ne."" Nèti èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi aaꞌi-aaꞌi.","Ama Lamatua peka na, ""Pe rai-haha ne pua aa'i-aa'i dhu muri, nuka sèmi tumbuh-tumbuhan dhu hua hini, dènge aj'u dhu hua hua madhutu j'ara na, dhu hini na ètu d'ara na mesa, ètu rai-haha ne."" Ka j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,13.7849,8.1699,8.6757
"and the earth brought forth vegetation, and herb yielding zera seed after its kind, and the tree yielding fruit, whose seed was in itself, after its kind; and elohim saw that it was tov good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi.","Èle èèna ka, rai-haha ne hia hua-hela, aa bubhu-lara dhu hia hini madhutu rupa na, aa aj'u dhu hia hua, hini na ètu d'ara na, madhutu rupa na; aa Ama Lamatua ladhe-leru na be'a.",,eng,nfa,English,Dhao,9.699,14.8895,15.8404
"and the erev and the boker were yom shlishi day three, the third day.","ne'e ne, lod'o ka tèlu kèna.","Èle èèna ka, dhèu aaꞌi-aaꞌi ra tèke eele aaꞌi-aaꞌi ra. Èle èèna ka, dhèu aaꞌi-aaꞌi ra tèke eele aaꞌi-aaꞌi ra.",Aa lod'o oe dènge mad'ae nuka camèd'a èèna.,,eng,nfa,English,Dhao,8.1985,12.3012,9.9348
