verse,source_text,target_text
MAT 1:1-2,"the book of the generation of jesus christ, the son of david, the son of abraham. abraham begat isaac; and isaac begat jacob; and jacob begat judah and his brethren;","sasuri ne, lole j'ara mamuri nèti yesus kristus, nuka dhèu dhu ama lamatua padhadha mema ho neo pua mai. yesus ne, ana-èpu dhèu aae daud dènge abraham. karèi nèti abraham toke dhèu aae daud, abhu canguru èpa bèi-baki. kabhia na sèmi ne'e: abraham matana isak, isak matana yakob, yakob matana yahuda dènge a'ari na,"
MAT 1:3,and judah begat phares and zara of thamar; and phares begat esrom; and esrom begat aram;,"yahuda matana peres dènge sera ina ra, ngara na tamar peres matana herson, herson matana ram,"
MAT 1:4,and aram begat aminadab; and aminadab begat naasson; and naasson begat salmon;,"ram matana aminadab, aminadab matana nahason, nahason matana salmon,"
MAT 1:5,and salmon begat booz of rachab; and booz begat obed of ruth; and obed begat jesse;,"salmon matana boas ina na, ngara na rahab boas matana obet ina na, ngara na rut, obet matana isai,"
MAT 1:6,and jesse begat david the king; and david the king begat solomon of her that had been the wife of uriah;,isai matana daud.
MAT 1:7-11,"and solomon begat roboam; and roboam begat abia; and abia begat asa; and asa begat josaphat; and josaphat begat joram; and joram begat ozias; and ozias begat joatham; and joatham begat achaz; and achaz begat ezekias; and ezekias begat manasses; and manasses begat amon; and amon begat josias; and josias begat jechonias and his brethren, about the time they were carried away to babylon:","nèti daud toke lod'o dhu ra babège suku isra'el asa babel, abhu hari canguru èpa bèi-baki, nuka: daud matana soleman ina na, uru èèna dhèu èmu uria. soleman matana rehabeam, rehabeam matana abia, abia matana asaf, asaf matana yosafat, yosafat matana yoram, yoram matana usia, usia matana yotam, yotam matana ahas, ahas matana heskia, heskia matana manase, manase matana amos, amos matana yosias, yosias matana yekonya dènge ari na, lod'o babège si asa babel."
MAT 1:12-16,"and after they were brought to babylon, jechonias begat salathiel; and salathiel begat zorobabel; and zorobabel begat abiud; and abiud begat eliakim; and eliakim begat azor; and azor begat sadoc; and sadoc begat achim; and achim begat eliud; and eliud begat eleazar; and eleazar begat matthan; and matthan begat jacob; and jacob begat joseph the husband of mary, of whom was born jesus, who is called christ.","lod'o babège si asa babel, toke d'ai rara iisi yesus, abhu canguru èpa bèi-baki, nuka: yekonya matana saltiel, saltiel matana serubabel, serubabel matana abihut, abihut matana elyakim, elyakim matana asor, asor matana sadok, sadok matana akim, akim matana eliut, eliut matana eliasar, eliasar matana matan, matan matana yakob, yakob matana yusuf, yusuf ne, dhèu èmu maria. maria ne ka dhu nara iisi yesus kristus."
MAT 1:17,so all the generations from abraham to david are fourteen generations; and from david until the carrying away into babylon are fourteen generations; and from the carrying away into babylon to christ are fourteen generations.,"de karèi nèti abraham toke daud, abhu canguru èpa bèi-baki; nèti daud toke lod'o ra babège si asa babel abhu canguru èpa bèi-baki; aa nèti lod'o ra babège si asa babel d'ai maria nara iisi yesus, abhu canguru èpa bèi-baki."
MAT 1:18,"now the birth of jesus christ was in this manner: when his mother mary was espoused to joseph, before they came together, she was found with child by the holy spirit.","lii lolo maria nara iisi yesus sèmi ne'e ka: maria dhu tunanga le dènge yusuf. dua ra pa'èci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa te'a boe na, maria dhu dènge le babia nèti roh ama lamatua dhu mola-mèci."
MAT 1:19,"then joseph her husband, being a just man, and not willing to make her a public example, purposed to put her away privately.","ropa yusuf ne'a, ka na neo pama'ète lii rèngu dua ra. te ngaa na d'èi boe pamakae maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu d'ara mola. nèti èèna ka, na neo pamau eele lii rèngu ne."
MAT 1:20,"but while he thought on these things, the angel of the lord appeared to him in a dream, saying, joseph, thou son of david, fear not to take to thee mary thy wife: for that which is conceived in her is by the holy spirit.","te ngaa lod'o dhu na pangee era, d'ara ca mèda sa, ka nèngu nii. ètu d'ara nii ne, ladhe nèdhi ana pajuu ama lamatua nèti sorga mai peka dènge ne, aku nèngu na, yusuf! èu ne, ana-èpu dhèu aae daud. èu mage makae leo dènge maria. te ana dhu na kad'o èèna, j'aj'i nèti roh ama lamatua."
MAT 1:21,"and she shall bring forth a son, and thou shalt call his name jesus: for he shall save his people from their sins.","bèli-camèd'a maria nara iisi ana mone ca dhèu. aa èu hud'i pangare ne, yesus, te nèngu ka dhu patabuli dhèu unu ama lamatua nèti koasa sasala-sasigo ra."
MAT 1:22,"now all this was done, that it might be fulfilled which was spoken from the lord by the prophet, saying,","j'ara ne j'aj'i sèmi èèna, lula ama lamatua dhu peka mema nèti uru ka, re dhèu nèti lii padhai na, ngara na yesaya, dhu suri, peka na,"
MAT 1:23,"behold, a virgin shall be with child, and shall bring forth a son, and they shall call his name emmanuel, which being interpreted is, god with us.","mi nanene! bèli-camèd'a abhu ana bhèni ca dhèu dhu kalora iisi, te'a boe na, nèngu dhu dènge babia le. èèna na nara iisi ana mone ca dhèu. ka ra pangare ne, imanuel. lii ibrani, ‘imanuel' sasoa na: ama lamatua bera-bera dènge èdhi."
MAT 1:24,"then joseph, being raised from sleep, did as the angel of the lord had bidden him, and took to him his wife:","ropa nii èle, yusuf kèd'i nèti bhèj'i na. ka na madhutu ka lii padhai ama lamatua dhu na tadèngi ètu d'ara nii deo na. ka nare maria j'aj'i dhèu èmu na."
MAT 1:25,and knew her not till she had brought forth her first-born son: and he called his name jesus.,"te ngaa na j'unu pa'èci boe dènge maria, toke maria nara iisi aa'i. nara iisi nare ka, yusuf pangare ana ne, yesus."
MAT 2:1,"now, after jesus was born in bethlehem of judea in the days of herod the king, behold, there came wise men from the east to jerusalem,","lod'o rara iisi yesus ètu rae betlehem, ètu propensi yudea, dhèu aae herodes dhu nèd'u paredha ètu èèna. lod'o èèna, dhèu pèri-pèri nèti era kaj'èu, mai nèti bèka dhimu asa kota yerusalem. rèngu se, dhu re'a mèu ladhe hua-hètu."
MAT 2:2,"saying, where is he that is born king of the jews? for we have seen his star in the east, and have come to worship him.","ropa ra d'ai yerusalem dhèu se pakarèi, aku rèngu na, dhèu aae nèti dhèu yahudi, dhu heka rara iisi hiu èèna, era na buli mia, ee? ji'i ngèdhi hua-hètu cue ètu bèka dhimu, dhu j'aj'i mi tadha dhu peka na, rara iisi le nèngu. nèti èèna ka, ji'i mai neo pahaha iisi mi nèngu."
MAT 2:3,"when herod the king had heard these things, he was troubled, and all jerusalem with him.","ropa dhèu aae herodes tadèngi lii ne'e, hèia d'ara na susa. nèti èèna ka, dhèu aa'i-aa'i ètu yerusalem sèra, d'ara ra susa kahèi."
MAT 2:4,"and when he had assembled all the chief priests and scribes of the people, he inquired of them where christ should be born.","èle èèna ka, dhèu aae herodes paroa nare kètu agama yahudi dènge mese agama aa'i-aa'i sèra, ka na karèi si, peka na, miu peka sèku dènge ja'a la! kristus, dhu ama lamatua padhadha tèke èèna, rara iisi ne ètu mia?"
MAT 2:5,"and they said to him, in bethlehem of judea: for thus it is written by the prophet,","hèia ra dhaa, aku rèngu na, ètu rae betlehem, propensi yudea. te ca dhèu nèti lii padhai ama lamatua, ngara na mika, dhu suri tèke le karèi nèti uru ka, na:"
MAT 2:6,"and thou bethlehem, in the land of judah, art not the least among the princes of judah: for out of thee shall come a governor, that shall rule my people israel.","‘wee! miu dhèu betlehem ètu propensi yudea sèra. baku pangee na, rae miu ne, ca rae iiki dhu dhèu ige boe. te bèli-camèd'a dhèu kapai ca dhèu cèu mai nèti rae ne'e. èèna na nèngu j'aj'i dhèu madhenga mi dhèu ja'a, dhèu isra'el. '"
MAT 2:7,"then herod, when he had privately called the wise men, inquired of them diligently what time the star appeared.","ropa tadèngi nare sèmi èèna, hèia dhèu aae herodes paroa mau-mau dhèu dhu d'èlu-mèu ladhe hua-hètu sèra. ka na karèi, na, lod'o mia miu ladhe mèdhi hua-hètu ne cèu ètu dedha-liru? hèia ra peka dènge ne."
MAT 2:8,"and he sent them to bethlehem, and said, go, and search diligently for the young child; and when ye have found him, bring me word again, that i may come and worship him also.","èle ka, na hia si lasi asa betlehem. na moa dènge ra, peka na, lami ho tenge palème era, ètu mia ana ne. ladhe miu rage, na, lèpa hari mai sèna ka peka dènge ja'a. te ja'a neo laku pahaha iisi mi nèngu kahèi."
MAT 2:9,"when they had heard the king, they departed; and lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.","ropa tadèngi rare lii padhai dhèu aae, hèia lasi dènge ka. kaca'a laa, rèngu rèdhi hari hua-hètu dhu uru èèna rèdhi ètu bèka dhimu. hua-hètu ne cèu ètu madha rèngu, na kako uru nèti rèngu, hèia tèja ètu dedha era ana ne pea."
MAT 2:10,"when they saw the star, they rejoiced with exceeding great joy.","ropa rèdhi, hèia ra karej'e titu kèna."
MAT 2:11,"and when they had come into the house, they saw the young child with mary his mother, and fell down, and worshiped him: and when they had opened their treasures, they presented to him gifts; gold, and frankincense, and myrrh.","èle ka lasi asa d'ara èmu, hèia ladhe rèdhi ana ne dènge ina na maria. hèia ra patitu kètu urutuu ho pahaha iisi mi ana ne. ka dhèu se bhoke mèdha dhu kab'ua rèti hia ana ne. ra hia hualaa, kemenyan dènge raa aj'u hèu mèngi."
MAT 2:12,"and being warned by god in a dream that they should not return to herod, they departed into their own country another way.","nèbhu boe, ka dhèu se abhu nii nèti ama lamatua, peka na, lami ia ka asa dhèu aae herodes. nèti èèna ka, ra lèpa hari asa rai rèngu re j'ara leo."
