Pada mulanya , Allah menciptakan langit dan bumi . ||| Uru-uru tèka , Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha .
Bumi tidak berbentuk dan kosong , kegelapan menutupi permukaan samudra , dan Roh Allah melayang-layang di atas permukaan air . ||| Lodꞌo rai-haha jꞌajꞌi mèka , aaꞌi-aaꞌi dhae mèci mèka . Dhu abhu , èi . Aa maroga aatu-aatu saguru nare ne . Ka Roh Lamatua lela ètu dedha èi èèna .
Kemudian , Allah berfirman , “ Jadilah terang. ” Lalu , terang itu jadi . ||| Hèia Ama Lamatua peka , “ Hudꞌi ku dènge saraa. ” Ropa peka nare sèmi neꞌe , ka saraa jꞌajꞌi dènge ka .
Allah melihat bahwa terang itu baik . Kemudian , Allah memisahkan terang itu dari gelap . ||| Ropa nèdhi saraa ne , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa . Hèia Na hagꞌe eele saraa nèti maroga , sèna ka èci-èci ka dènge taa na .
Allah menyebut terang itu siang dan gelap itu malam . Jadilah petang dan jadilah pagi , itulah hari pertama . ||| Ka pangare saraa ne ‘ mèu ’ , aa maroga na ‘ mèda ’ . Neꞌe ne , lodꞌo ka èci kèna .
Kemudian , Allah berfirman , “ Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air ! ” Lalu , Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu . Lalu , jadilah demikian . ||| Hèia Ama Lamatua lii hari , Na peka , “ Hudꞌi dènge ku era talele , sèna ka hagꞌe eele èi . Nèti èèna ka , èi re dedha , aa abhu kahèi èi re haha. ” Ropa peka nare sèmi èèna , hèia èi bꞌagi dènge mi dua .
Allah menyebut cakrawala itu langit . Jadilah petang dan jadilah pagi , itulah hari kedua . ||| Ka Na pangare èi re dedha na , ‘ liru ’ . Neꞌe ne , lodꞌo ka dua kèna .
Kemudian , Allah berfirman , “ Biarlah air yang ada di bawah langit berkumpul ke satu tempat dan biarlah tanah yang kering itu tampak. ” Lalu , jadilah demikian . ||| Hèia Ama Lamatua peka hari , aku Nèngu na , “ Èi re haha hudꞌi pakaboko ku mi ca era , sèna ka abhu rai kamango. ” Ropa padhai lii nare sèmi neꞌe , jꞌajꞌi dènge ka rai mango .
Allah menyebut tanah yang kering itu darat dan kumpulan air itu disebut-Nya laut . Allah melihat bahwa itu baik . ||| Ka era rai mango , Na pangare na ‘ rai-dedha ’ ; aa era èi dhu kaboko èèna , Na pangare na ‘ dhasi ’ . Ropa nèdhi aaꞌi-aaꞌi ne , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa .
Allah berfirman , “ Biarlah bumi menumbuhkan rerumputan , tumbuh-tumbuhan berbiji , dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya , di atas bumi. ” Lalu , jadilah demikian . ||| Ka Ama Lamatua lii hari , peka na , “ Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu . Sèna ka abhu ajꞌu dhu hua , dhu dènge lamusi , aa dhu dènge rèu mangèru . Sèna ka ajꞌu-ajꞌu se , hua-hela madhutu rupa rèngu. ” Ropa padhai lii nare sèmi neꞌe , jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra .
Bumi menumbuhkan rerumputan , tumbuh-tumbuhan berbiji menurut jenisnya , dan pohon yang berbuah dengan biji di dalamnya menurut jenisnya . Allah melihat bahwa itu baik . ||| Ètu dedha-rai , ana aajꞌu se hua-hela ka madhutu rupa rèngu . Ropa nèdhi aaꞌi-aaꞌi se , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa .
Jadilah petang dan jadilah pagi , itulah hari ketiga . ||| Neꞌe ne , lodꞌo ka tèlu kèna .
Kemudian , Allah berfirman , “ Biarlah ada penerang di cakrawala langit untuk memisahkan siang dari malam , dan biarlah itu ada untuk tanda-tanda dan untuk musim-musim , dan untuk hari-hari serta tahun-tahun , dan biarlah itu menjadi penerang di cakrawala langit , untuk memberikan terang atas bumi. ” Demikianlah itu terjadi . ||| Hèia Ama Lamatua lii hari , aku Nèngu na , “ Re bèka dedha , hudꞌi abhu ku mèdha dhu saraa , ho pasaraa rai-haha ne . Hudꞌi abhu mèdha dhu pasaraa re mèu , aa abhu kahèi dhu pasaraa re mèda . Rèngu aaꞌi-aaꞌi se , jꞌajꞌi tadha , ho sèna ka bisa ige lodꞌo , hèru , dènge tèu. ” Ropa padhai lii nare sèmi neꞌe , mèdha dhu heo aaꞌi-aaꞌi ra jꞌajꞌi dènge ka .
Allah membuat dua penerang yang besar . Penerang yang lebih besar untuk menguasai siang , sedangkan penerang yang lebih kecil untuk menguasai malam . Dia juga membuat bintang-bintang . ||| Ka Na tao ka mèdha kapai dua dhu pasaraa rai-haha . Dhu kapai risi , pasaraa re mèu ; aa dhu ako ana iiki , pasaraa re mèda . Aa Na tao hua-hètu kahèi .
Allah mengatur mereka di cakrawala langit untuk menerangi bumi , ||| Na tèke mèdha dhu saraa sèra ètu dedha-liru , sèna ka loti mai asa rai-haha .
untuk menguasai siang dan menguasai malam , dan untuk memisahkan terang dari gelap . Allah melihat bahwa itu baik . ||| Ka mèdha se , pasaraa ka re mèu , aa pasaraa re mèda . Dènge jꞌara neꞌe , Na hagꞌe eele saraa nèti maroga . Ropa nèdhi aaꞌi-aaꞌi se , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa .
Jadilah petang dan jadilah pagi , itulah hari keempat . ||| Neꞌe ne , lodꞌo ka èpa kèna .
Kemudian , Allah berfirman , “ Biarlah air dikerumuni oleh makhluk-makhluk hidup , dan biarlah burung-burung beterbangan di atas bumi , melintasi cakrawala langit . ” ||| Hèia Ama Lamatua padhai lii hari , peka na , “ Hudꞌi abhu ku ae-ae dhu mamuri ètu dꞌara èi . Dènge hudꞌi abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne . ”
Lalu , Allah menciptakan binatang-binatang laut yang besar dan segala jenis makhluk hidup yang bergerak serta berkerumun di dalam air menurut jenisnya , dan segala burung bersayap menurut jenisnya . Allah melihat bahwa itu baik . ||| Ka Na tao ka iꞌa aaꞌi-aaꞌi dènge badha kapai dhu mamuri ètu dꞌara èi . Na pajꞌajꞌi kahèi manu-bhui aaꞌi-aaꞌi . Ropa nèdhi aaꞌi-aaꞌi se , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa .
Allah memberkatinya , firman-Nya , “ Berkembangbiaklah , dan berlipatgandalah , dan penuhilah air di lautan , dan biarlah burung-burung berlipat ganda di bumi . ” ||| Ka Na padhai lii ho sèna ka hia berkat mi aaꞌi-aaꞌi dhu mamuri , peka na , “ Iꞌa se , hudꞌi laa bèba-kacanga sèna ka papènu èi ètu mia-mia . Aa manu-bhui , asa tabha kahèi . ”
Jadilah petang dan jadilah pagi . Inilah hari kelima . ||| Neꞌe ne , lodꞌo ka lèmi kèna .
Kemudian , Allah berfirman , “ Biarlah bumi menghasilkan makhluk hidup menurut jenisnya , hewan ternak , binatang melata , dan binatang-binatang liar , masing-masing menurut jenisnya. ” Lalu , jadilah demikian . Allah membuat binatang liar di darat itu menurut jenisnya , hewan ternak menurut jenisnya , dan segala binatang melata di atas tanah menurut jenisnya . Allah melihat bahwa itu baik . ||| Ka Ama Lamatua peka hari , na , “ Hudꞌi abhu ku rupa-rupa badha dhu mamuri ètu rai-dedha . Sèmi : badha-manu dhu ani , badha hui , dènge badha dhu rodꞌo , èci-èci ka dènge rupa na. ” Ropa padhai lii nare sèmi neꞌe , badha aaꞌi-aaꞌi ra jꞌajꞌi dènge ka . Ropa nèdhi aaꞌi-aaꞌi se , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa .
Kemudian , Allah berfirman , “ Sekarang , mari Kita membuat manusia dalam rupa Kita , menurut keserupaan Kita . Biarlah mereka berkuasa atas ikan-ikan di laut , atas burung-burung di udara , atas ternak , atas seluruh bumi , dan atas segala yang melata yang merayap di bumi . ” ||| Ka Ama Lamatua peka hari , aku Nèngu na , “ Hua iia , mai Ta pajꞌajꞌi dhèu , madhutu rupa Èdhi . Hudꞌi laa ra leru dènge ator iꞌa aaꞌi-aaꞌi ètu dꞌara dhasi , manu-bhui aaꞌi-aaꞌi ètu dedha-liru , badha-manu dhu ani , dènge badha leo aaꞌi-aaꞌi ra dhu mamuri ètu rai-haha ne . ”
Lalu , Allah menciptakan manusia menurut rupa-Nya . Menurut rupa Allah , Dia menciptakannya . Laki-laki dan perempuan , demikianlah Dia menciptakan mereka . ||| Hèia Na pajꞌajꞌi dhèu rai-haha ne madhutu rupa Na . Na pajꞌajꞌi si , dhèu mone dènge dhèu bhèni .
Allah memberkati mereka dan Allah berfirman kepada mereka , “ Beranakcuculah dan berlipatgandalah , dan penuhilah bumi , dan kuasailah itu . Berkuasalah atas ikan-ikan di laut , atas burung-burung di udara , dan atas segala yang hidup yang bergerak di bumi . ” ||| Ka Na padhai lii ho sèna ka hia berkat mi rèngu , aku Nèngu na , “ Miu hudꞌi bèba-kacanga ku , sèna ka pea papènu rai-haha ne , ho mi ator ne . Jaꞌa hia miu koasa , sèna ka mi ator iꞌa , manu-bhui , dènge badha-manu aaꞌi-aaꞌi ra ètu rai-haha ne .
Kemudian , Allah berfirman , “ Lihat , Aku telah memberikan kepadamu segala tumbuhan yang menghasilkan biji yang ada di seluruh muka bumi , dan segala pohon yang buahnya berbiji , itulah yang akan menjadi makananmu . ||| Mi nanene paie-iie ! Jaꞌa hia miu rupa-rupa ngangaꞌa ètu rai-haha neꞌe . Sèmi : ana aajꞌu dhu dènge hua , dhu dènge lamusi , aa dhu dènge rèu mangèru .
Untuk segala binatang di bumi , dan untuk segala burung di langit , dan untuk segala yang merayap di bumi , yaitu segala sesuatu yang ada napas hidup di dalamnya , Aku telah memberi segala tumbuhan hijau sebagai makanan. ” Lalu , jadilah demikian . ||| Jaꞌa hia rupa-rupa ana aajꞌu kahèi sèna ka jꞌajꞌi ngangaꞌa badha . Ngangaꞌa hia badha-manu dhu ani , badha hui , badha dhu rodꞌo , dènge manu-bhui. ” Ropa padhai lii nare sèmi neꞌe , ngangaꞌa badha sèra aaꞌi-aaꞌi ra jꞌajꞌi dènge ka .
Allah mengamati segala sesuatu yang telah dibuat-Nya , dan lihatlah , itu sangat baik ! Jadilah petang dan jadilah pagi . Inilah hari keenam . ||| Ropa nèdhi aaꞌi-aaꞌi se , dꞌara Na karejꞌe , lula ngaa dhu Na adꞌu , mema beꞌa . Neꞌe ne , lodꞌo ka èna kèna .
Demikianlah langit dan bumi beserta segala isinya diselesaikan . ||| Dènge jꞌara sèmi èèna ka , Ama Lamatua pajꞌajꞌi dedha-liru , rai-haha , dènge isi ra aaꞌi-aaꞌi .
Pada hari ketujuh , Allah menyelesaikan pekerjaan-Nya , yang telah dilakukan-Nya itu , dan Dia beristirahat pada hari ketujuh dari segala pekerjaan-Nya , yang telah dilakukan-Nya . ||| Ropa Na sabꞌa èle , asa bèli èèna , lèke dènge lodꞌo ka pidhu . Hèia Na ae nèti sasabꞌa-laꞌa Na .
