source_word,target_word,confidence_score
bad,hota,1.4766028706535786e-44
remained,hota,1.6417193745050065e-44
feed,nhyi'-tlunni,1.6715378847428091e-44
travel,hota,1.9035947869475027e-44
keeper,watu,2.047755042231083e-44
running,plollola,2.1484444996015474e-44
surely,Emkade,2.2116616077546718e-44
People,watu,2.304224302793298e-44
unworthy,Emkade,2.3320415641888565e-44
holiday,npolg,2.3791519287835535e-44
local,khi'inde,2.5136706412433806e-44
pillars,hota,2.5440163993386506e-44
arisen,hota,2.572155058626539e-44
elemental,Emkade,2.8341557339093945e-44
helped,hota,2.9088100840620427e-44
covet,hota,2.9088100840620427e-44
visited,mere,2.979466005687358e-44
preaches,hota,2.985430900605339e-44
dear,mere,3.1103774697561993e-44
exact,hota,3.1986987668189254e-44
countrymen,Emkade,3.3392428568941734e-44
steward,hota,3.389709049957995e-44
permission,nwak,3.4409379418585e-44
knit,aghi,3.4409379418585e-44
producing,hota,3.492941059312488e-44
noise,Emkade,3.492941059312488e-44
trodden,hota,3.545730103240778e-44
easily,hota,3.545730103240778e-44
calves,wutga,3.545730103240778e-44
pregnant,hota,3.6029180686108877e-44
hardening,watu,3.6029180686108877e-44
setting,hota,3.661028400683415e-44
terms,hota,3.661028400683415e-44
unmarried,la,3.6757018416034236e-44
Buy,mere,3.720075976020836e-44
discussion,tan,3.720075976020836e-44
pillar,hota,3.7812101040186165e-44
coin,hota,3.844502061605641e-44
baptizes,hota,3.844502061605641e-44
published,hota,3.844502061605641e-44
assault,hota,3.844502061605641e-44
continues,hota,3.909635283377342e-44
Two,hota,3.9770649270930247e-44
completely,hota,3.9770649270930247e-44
orgies,namkek,3.9770649270930247e-44
groaning,hota,4.046466745127211e-44
purify,hota,4.046466745127211e-44
performed,hota,4.046466745127211e-44
Letters,wotellu,4.046466745127211e-44
supplication,hota,4.118314969584026e-44
entangles,hota,4.118314969584026e-44
burdened,hota,4.1926965365245295e-44
nobles,wotellu,4.1926965365245295e-44
presented,hota,4.1926965365245295e-44
Worship,Nalharia,4.1926965365245295e-44
faultless,tor,4.2073966846551465e-44
foreknowledge,hota,4.2697022397865703e-44
transformed,hota,4.2697022397865703e-44
Christ-,hota,4.3489919896821604e-44
imitate,mliernohora,4.3865546085438825e-44
