verse,source_text,target_text
GEN 1:1,in the beginning elohim bara hashomayim the heavens and haaretz the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha."
GEN 1:2,"and the earth was tohu vavohu without form, and void; and darkness was upon the face of the deep. and the ruach elohim was hovering upon the face of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna."
GEN 1:3,"and elohim said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka."
GEN 1:4,"and elohim saw the light, that it was tov good; and elohim divided the ohr light from the choshech darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na."
GEN 1:5,"and elohim called the light yom day, and the darkness he called lailah night. and the erev evening and the boker morning were yom echadday one, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna."
GEN 1:6-7,"and elohim said, let there be a raki'a expanse, dome, firmament in the midst of the mayim waters, and let it divide the mayim from the mayim. and elohim made the raki'a, and divided the waters under the raki'a from the waters which were above the raki'a; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua."
GEN 1:8,"and elohim called the raki'a shomayim heaven. and the erev and the boker were yom sheni day two, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna."
GEN 1:9,"and elohim said, let the waters under the heaven be gathered together unto one place, and let the yabashah dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango."
GEN 1:10,and elohim called the yabashah eretz earth; and the mikveh gathering together of the waters called he seas; and elohim saw that it was tov.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:11,"and elohim said, let the earth bring forth vegetation, the herb yielding zera seed, and the fruit tree yielding pri fruit after its kind, whose seed is in itself, upon the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra."
