target_text,source_text,page_number
"Ululu plialiaini upa lerni-tgara lerni de patke'a ida nora muanke'a ida rmehlima; muanke'a nwawa Rettiau, patke'a nwawa Rarlay.","A long time ago, in the time of our ancestors, a man and a woman were married. The man's name was Rettiau and the woman's name was Rarlay.",1
Hare de maran Wetgai Ilia re.,They were of the nobility clan called Wetgai Ili.,1
"Noka rrora a'nani muanke'a woru; yanulu nwawa Rettiau Lay ma gari nwawa Rettiau Ru'ru, yoma rrora amni Rettiau pede riwra Rettiau Ru'ru Rettiau Lay, mere plollolli de yanulu nwawa Lay me gari nwawa Ru'ru.","In time they had two sons, the elder was named Rettiau Lay and the younger named Rettiau Ruru. They were called this after their father because his name was Rettiau. However, the elder was really named Lay and the younger was named Ruru.",1
Noma rtera-rlahga pa rla'awa tuwgeni-lawangen wia pa nhi'noka ror amni rwed yatru ida.,The years went by and they grew up under their parents care. One day when they were older they made a fish trap with their father.,1
Lla'pa lera ida na Rarlay e namehra.,Then one day their mother Rarlay became sick.,1
Namehra pa nahmena na'ana-nemnu.,She was so sick she did not want to eat.,1
"Nakotla hawni niwra: ""Au'una iwu ati nampa kalwieda pa mhuopantek it a'nani rrora rla rtollia yatru.""","So she said to her husband, ""I need to eat some shark's liver and then I'll feel better. Go tell our children to set the fish trap.""",1
"Noka a'nani rrora rla rtol yatru, pa rla de de yatru enni iwu ida.",So the two children went and set the trap and caught a shark.,1
"Noka rrora rwahi'pa rodia iwu pa rmaiwia,","They went to get it and bring it home,",1
Mere rror edon rod wehla.,but they had forgotten to bring a machete.,1
Noka yanulu natiakrer iwu na gari nma nal wehla.,The eldest stayed at the trap and guarded the fish while the youngest went to fetch the machete.,1
"Gari nma nala wehla de iwu nhari lirni pa nakotla yanulu: ""Ei mtulan pa msiaini a'u de muolindoinia a'u la.""","After he left, the shark opened its mouth and said to the elder brother, ""Have pity on me and help me and let me go.""",1
Ailia'awa a noh'u-a rai'yu.,I will go to my home.,1
"Pena lera ida mela id pa, ler lola mel lol pa mhuopla-mliar pa mlier la komlorni-pah'a metni demade de mpuolu-mpuak a'u pena ahgima rie o'a, aitulan ti o'a, hgimpai-muanatg o'a.""",If some day when you are sailing you run into trouble then call on me to come help you and I will.',1
Noka yanulu na nolindoini iwu la.,So the elder brother let the shark go.,1
Garni nod wehla pa nmai de de iwu nmolu olekwa.,"A little while later the younger brother arrived with the machete, but the shark was already gone.",1
Noka garni natiana niwra: “Kaka iwu etla meni?”,"So the younger brother asked, “Older brother, where is the shark?""",2
"Nakot niwra: “Iwu agolindoini oleka la.""","""I let the shark go,"" he answered.",2
Noka rrora rla'awa.,Then they went home.,2
"Rla'awa noka inni-amni ratiana riwra: “Enmi erla meni?""","Then they went home. When they got home their parents asked them, “Where is the fish you caught?""",2
"""Amakleh eni, yatru nakleh eni.”","""We did not catch anything.""",2
"Dewade inni nawenanwa niwra: “Kekeʼenkua ra rwaklili-rwakdiori, rputra-rpalka.""","Then the mother was angry and said, “You kids are lying.""",2
Agatga de yatru na’eni iwu na’nama mmiai miala wehla pa mial la mpiarowta-mpi’anna.,I know you caught a shark and then came home to get a machete to cut it up.,2
Ne miy miolindoinia iwu olek la pa mimpiutra-mpialka a'u pa o dodo’on di de musti rwenan miy.”,You let the shark go and then you lied to me. Now you must be killed.”,2
Noka nakotla hawni pa rwenna kekeʼenku’a rrora.,Then she told her husband to kill the two children.,2
"“Yana ramori-radaria yoma rwaklili-rwakdiori, rputra-rpalk olek it wa.""","Do not let them live because they have lied and deceived us.""",2
Noka amni nsainia a'nani rrora.,"The father felt sorry for his two children,",2
Mere llernohora hawni.,but he obeyed his wife.,2
"Mere amni nsainia rpa nhi'a gerni wareherni, nhi' gotgot la rrora.","However, he felt pity on them, so he packed them some food for the trip.",2
Nawew la rrora pa: “Kekwali die mro' miwlarwia.”,"Then he said to them, “In a little while you two run away.""",2
Lera nmellaw noka amni npona wehlani pa naploklokar na’nama lla nhi’a ud liola woru ma nkeni gera la rpu'pu woru pa nkenia la dudgenni wawannu pa nhiʼtarga.,When it became dark he filed his machete to make it real sharp. Then he got two banana trunks and two coconut shells and put them in the boys' beds.,2
"A'nani rrora ranina pa mela letgara dewade de namatdoinia a’nani rrora pa rrora rawlarwia, nhakar gotgota pa rima-rima naʼala gotgotni pa rawlarwia na’nama, na'ala wehla pa rrahyetia ud liola id wa demade de nhurdoinia ger rpuʼpu id la.",In the middle of the night he woke the two boys up so they could escape. He gave them each some food and told them to run off. Then the father took his machete and began to hack at one of the banana trunks and pour out the liquid from the coconut shell.,2
"Demade hawni niwra: “Hniakarmi hade, mmiati-mmiati, keke'en maka edon kaʼunna-kamtaʼata inni nor amni.""","While he was doing this his wife heard the noise and said, “That's what you get children -- death - when you do not obey and respect your parents.""",2
Demade de muankeʼeni na' owan la wehla pa ndawreti owaʼan udi lola id wa demade de nhurdioini gera lari id la wa.,Then the father took up the machete again to hack the other banana trunk and pour out the milk from the second coconut shell.,2
"Demade de hawni niwra: “Hniakarmi hade, miati-miati.""","Then the wife again, ""That's what you get, death.""",2
Noka keke'enku'a rrora rlergot pa rawlarwia ne muanke'a ntot pa na'ala gera pa nkuhi-nho'ordoinia lewu wawannu totpa riwra e nkuhi-nho'ora rara.,When he finished the father got some water to wash off the bed so people would think that he was washing away the blood.,3
"Keke'enku'a rawlarwia, rrora rla'awa, rodi gerni-wareherni pa rrora rala'awa, rala'awa, rala'la mel di pa nodi pa repar pa lera npahna pa rrora raplarwa.","In the meantime, the two boys ran and ran carrying their food. They kept going through the night until the heat of the next day when they got very hungry.",3
Raplarwa noka yanulu nhi'a gotgotni pa rrora ra'ana de gotgotawu.,"The elder opened his food up to eat, but it was ashes.",3
"Noka gari niwra: ""Kaka demade tsi'teka a gotgo'tu.""","Then the younger said, ""Brother, let us try mine.""",3
"Rhi' gotgotni de gari gotgotni de wetra'a, noka rrora ra'ana.","When they opened it, it was corn. Then they ate it.",3
Ra'an pa nhoru noka rrora rala'awa.,When they were done eating they continued on.,3
Rala'aw-rala'aw-rala'aw-rala'a nek pa nhi'iwa de rlernana ma'nu ida riwra ma'nu warta.,They continued on and on until they came upon a bird called the 'Bird of the West' (which gives power).,3
"Noka yanulu nwa'ala, nwa'ala-nwa'alneka mere ta'eni nwa'alnana nwa'ala sala-sala.","Once they saw it, the elder brother tried to hit it with a rock. He tried and tried, but he could not hit it.",3
Ma'nu mana edona nnem wali.,Even though the bird did not even fly away.,3
"Noka gari niwra: ""Kaka demada wua'alteka!""","Then the younger brother said, ""Let me have a try.""",3
Gari nteman watu dewade de nwa'alnana pa ma'nu ntuinierun noka na'ala pa nkopildoini matni olli pa llumga.,So he picked up a rock and threw it at the bird. He hit it straight away and the bird fell. Then he ran over and he plucked out the eye ball (where the power was) and swallowed it.,3
Rala' owa'an rala' owa'an rala' owa'an rala owa'ana lla' pa rler la talla hniakarni.,Then they continued on and on until they came to a branch in the road.,3
"Talla ida nnehna malwiru, ida nnehna malgana.",One branch went to the left and the other to the right.,3
"Noka yanulu lola talan malwiru, llala' noka lernana maka khur miaha-ktor leli.",The eldest decided that he would take the road that branched to the left. After going down the left road he soon came upon a man who was a goldsmith.,3
"Noka yanulu lla' pa nahaka kniari la noka rreinana ra'nana pa rre'ela nhuri maha-ntor leli, na gari nanpena llola malgana nalola-nala' nek pa lla'awa nu'nu ida hananni.","So the eldest asked the goldsmith for work. The man agreed and gave the elder brother a job, helping him make things out of gold. The younger brother decided to take the road that went to the right and he continued on until he came to a banyan tree (a place of authority and knowledge),",3
"Lla'awa nu'nu hananni, ne gera ida etla nu'nu nainni.",Under the tree was a well.,3
"Noka happe'a Mnietu nmai pa ntip gera, ntip ger noka keke'en di na'ala nu'nu wo'a pa nwa'ala la kewtu ralamni.",It was not long before an old woman from the nobility clan of Mnietu came to draw water. The younger (brother) took a banyan fruit and threw it into her dipper.,3
"Noka happe'a niwra: ""Ei onu-ma'nu ri rhi'a kdedeh neka ger di wa.""","The old woman said, ""The birds are making this water dirty.""",3
Noka na'ala pa ntowurdoinia la.,Then she poured the water out.,4
"Noka ntipu owa'ana, ntipu owa'an dewade keke'en di na'ala nu'nu wo'a pa naklu owa'ana la kewtu ralamni.","Then she drew water again, and then again the youth took a banyan fruit and threw it into her dipper again.",4
"Noka happe'a niwra: ""Onu-ma'nu ri a rhi'a kdedeh neka ger di wa.","Then the old woman said: ""This bird keep making this water dirty.""""",4
"Noka ntowurdoini owa'ana la.""",Then she poured out the water again,4
Emkade pa re'eni wotelu dewade happe'a namkek la heyanna.,This happened three times and then the old woman looked up into the tree.,4
"Namkeknana keke'en di noka niwra: ""Up ei, omdiella meni, muernu ukleha upa-a'ana pa tot la lla'pa tsoliwutu, atiera-liah'u.""","She saw the boy and said, ""Grandchild, where did you come from? Come down and stay with me for I do not have any children.""",4
Noka keke'en di nerun pa nora rla'awa.,So he came down from the tree and went with her.,4
La la'noka nwahaurnohora emkade-emkadi la inni-amni.,"As they walked they talked and talked. He told her about his parents,",4
