source_word,confidence_score,target_word,pos,page_number
semua,2.603206857502623e-44,mèu-mèu,adverb,30
semua,2.603206857502623e-44,aa'i,quantifier,30
semua,2.603206857502623e-44,aa'i-aa'i,quantifier,30
bangkit,2.63463352266455e-44,kèdi.,verb,3
liar,2.868370480620601e-44,hui,verb,18
kerja,3.067135584657135e-44,sasab'a,noun,16
kerja,3.067135584657135e-44,saba,verb,16
kerja,3.067135584657135e-44,sab'a,verb,16
kerja,3.067135584657135e-44,sab'e,verb,16
kesalahan,3.1103774697562e-44,sasala,noun,16
kesalahan,3.1103774697562e-44,sasala-sasigo,noun,16
kesalahan,3.1103774697562e-44,sigo,noun,16
budak,3.2895280075606894e-44,ènu,noun,5
itu,3.3392428568941734e-44,èèna,demonstrative,12
itu,3.3392428568941734e-44,na,demonstrative,12
itu,3.3392428568941734e-44,nèi,demonstrative,12
api,3.4409379418585e-44,ai,noun,2
cukup,3.720075976020836e-44,sange,verb,7
cukup,3.720075976020836e-44,nia,quantifier,7
hebat,3.977064927093025e-44,ele madha ngaa,idiom,11
panas,4.118314969584026e-44,pana,adjective,23
panas,4.118314969584026e-44,sagoro,adjective,23
panas,4.118314969584026e-44,sag'oro,adjective,23
sejak,4.19269653652453e-44,karèi,adverb,30
sejak,4.19269653652453e-44,krèi,adverb,30
bumi,4.26970223978657e-44,rai-haha,noun,6
tanda,4.26970223978657e-44,tadha,noun,33
bintang,4.386993285938256e-44,hua-hètu,noun,5
tinggalkan,4.4315264319453343e-44,tèke,verb,35
tinggalkan,4.4315264319453343e-44,bhera,verb,35
lagi,4.4537395506244904e-44,hari,particle,17
kantong,4.696624652801896e-44,kanoto,noun,14
rakyat,5.100018115271596e-44,kaba rai,noun,27
rakyat,5.100018115271596e-44,dhèu kaba rai,noun,27
dahulu,5.211376851316794e-44,uru,adverb,7
dahulu,5.211376851316794e-44,uuru,adverb,7
gembala,5.211376851316794e-44,ana madhutu.,noun,9
paksa,5.446886122594147e-44,seti,verb,23
paksa,5.446886122594147e-44,laka-seti,verb,23
paksa,5.446886122594147e-44,pakaseti,verb,23
paksa,5.446886122594147e-44,palaka,verb,23
barang,5.572501702176795e-44,mèdha.,noun,3
bukti,5.572501702176795e-44,bukti,noun,6
telinga,5.703295078364821e-44,rèu dhilu,noun,33
hendak,5.840077642719674e-44,dèi,verb,11
hendak,5.840077642719674e-44,no'o,verb,11
begini,5.983131491810999e-44,sèmi ne'e ka.,comparative,3
tiga,5.983131491810999e-44,tèlu,numeral,34
tongkat,6.132141839267185e-44,tatea,noun,35
barat,6.288635350306943e-44,haa.,noun,3
zaman,6.288635350306943e-44,taa,noun,37
zaman,6.288635350306943e-44,tebho,noun,37
agar,6.480152809104158e-44,ho,conjunction,1
agar,6.480152809104158e-44,sèna ka,conjunction,1
terdapat,6.623633535052521e-44,rage,verb,34
terdapat,6.623633535052521e-44,abhu,verb,34
atap,6.80354698574037e-44,rèu èmu,noun,2
sungai,6.80354698574037e-44,loko,noun,32
makanan,6.992541575039516e-44,nganga'a,noun,19
cincin,7.191099578907972e-44,kadeli,noun,7
tuan,7.191099578907972e-44,lamatua,noun,35
menyusahkan,7.400474292505228e-44,paj'èra,verb,21
asal,7.620516059414765e-44,sad'i,conjunction,2
perlu,7.620516059414765e-44,pusi,verb,25
perlu,7.620516059414765e-44,parluu,auxiliary,25
suka,7.853380623286302e-44,dale,verb,32
suka,7.853380623286302e-44,dèi,verb,32
suka,7.853380623286302e-44,neo,verb,32
gemetar,8.098218439434987e-44,karèbha;,verb,9
gemetar,8.098218439434987e-44,rèbha-rèbha.,verb,9
pindah,8.098218439434987e-44,pidha,verb,26
atau,8.358208348416103e-44,do,conjunction,2
tumbuh,8.358208348416103e-44,muri,verb,35
diam-diam,9.231708106982551e-44,mau-mau,adverb,8
diam-diam,9.231708106982551e-44,nee-nee,adverb,8
