oov_word,verse_reference,indonesian_text,dhao_text
abram,GEN 11:26,"Ketika Terah hidup selama 70 tahun, Abram, Nahor, dan Haran lahir baginya.","Lodꞌo umur Tera dꞌai pidhu nguru tèu risi, na abhu ana mone, dhèu tèlu: Abram, Nahor, dènge Haran."
laban,GEN 24:29-30,"Ribka mempunyai seorang saudara laki-laki bernama Laban, dan Laban berlari keluar untuk menemui hamba Abraham itu di dekat mata air. Hal itu dilakukannya segera setelah dia melihat anting-anting dan gelang yang dikenakan pada tangan adiknya, serta mendengar perkataan Ribka: “Begitulah yang dikatakan orang itu kepadaku.” Laban menemui hamba Abraham itu dan mendapatinya berdiri di sebelah unta-untanya di dekat mata air.","Ana mone Ribka, ngara na Laban. Ropa Laban ladhe nèdhi mèdha hualaa se, aa na tadèngi lii lolo ana hèni na, ka rai asa liꞌu laꞌe. Laꞌe soru dhèu sabꞌa Abraham dhu titu era dènge onta ra ètu madha èi."
lea,GEN 29:16,Laban mempunyai dua anak perempuan. Yang sulung bernama Lea dan yang lebih muda bernama Rahel.,"Laban ne, dhu dènge ana bhèni dhèu dua. Dhu uru, ngara na Lea. Aa ari na, ngara na Rahel."
abimelekh,GEN 20:2,"Abraham berkata tentang Sara, istrinya, “Dia adalah adikku,” sehingga Abimelekh, raja Gerar, menyuruh orang untuk mengambil Sara.","Hèia na peka dènge dhèu ètu sèra, aku nèngu na, “Sara ne, ana hèni jaꞌa.” Nèti èèna ka, Abimelek dhèu aae Gerar, pua dhèu lasi lii dꞌai Sara. Ka nèti ne mai asa dꞌara èmu dhèu aae."
het,GEN 10:15,"Kanaan adalah ayah Sidon, anak sulungnya, dan Het,","Ana uuru Kanaꞌan, nuka, Sidon. Kanaꞌan jꞌajꞌi bèi-baki nèti dhèu Het,"
ismael,GEN 16:11,"Lalu, Malaikat TUHAN itu berkata lagi kepadanya, “Dengar, kamu sedang mengandung dan akan melahirkan anak laki-laki. Kamu akan menamainya Ismael sebab TUHAN telah mendengar tentang penderitaanmu.","Èu dhu dènge babia. Nèbhu heka, èu mora iisi ana mone ca dhèu. Èèna na mu pangare ne Ismael (dhu sasoa na ‘Lamatua tadèngi’), lula LAMATUA tadèngi le lii roma iisi èu."
adik,GEN 24:59-60,"Jadi, mereka mengizinkan Ribka dan pengasuhnya pergi bersama hamba Abraham dan orang-orangnya. Mereka memberkati Ribka dan berkata kepadanya, “Adik perempuan kami, biarlah kamu menjadi berpuluh-puluh ribu; dan kiranya keturunanmu menduduki pintu gerbang negeri-negeri yang memusuhi mereka.”","Hèia ra hia Ribka dènge bhèni dhu leru ne karèi nèti ana iiki ka, ho lasi palere dènge dhèu sabꞌa Abraham sèra. Ka ra hia Ribka mèngi-nale, aku rèngu na, “Jiꞌi sanao-maena sèna ka Ama Lamatua hia èu mora iisi ana ae-ae, ho ana-èpu mu dꞌai riho-kehi. Aa jiꞌi sanao kahèi, sèna ka ana-èpu èu sèra segi aaꞌi musu rèngu sèra!”"
jenisnya,GEN 1:11,"Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian.","Ka Ama Lamatua lii hari, peka na, “Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu. Sèna ka abhu ajꞌu dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka ajꞌu-ajꞌu se, hua-hela madhutu rupa rèngu.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra."
aram,GEN 10:22,"Keturunan Sem adalah Elam, Asyur, Arpakhsad, Lud, dan Aram.","Ana-èpu Sem, ka: Elam, Asyur, Arpaksad, Lud dènge Aram."
sarai,GEN 11:29,"Abram dan Nahor mengambil istri. Istri Abram bernama Sarai dan istri Nahor bernama Milka, anak Haran, ayah Milka dan Yiska.","Abram madhèdi dènge Sarai. Nahor leo dènge ana bhèni Haran, ngara na Milka. Haran abhu ana mone èci kahèi, ngara na Yiska."
kakaknya,GEN 30:1,"Ketika Rahel melihat bahwa dia tidak melahirkan anak bagi Yakub, dia cemburu terhadap kakaknya dan berkata kepada Yakub, “Berikanlah anak untukku, kalau tidak, aku akan mati!”","Te ngaa Rahel dhu abhu mèka ana. Nèti èèna ka, nèngu tèke dꞌara dènge aꞌa na. Hèia na peka dènge dhèu èmu na, “Aꞌa! Hia ku jaꞌa ana laa, ma. Ladhe aadꞌo, beꞌa risi jaꞌa madhe ka laa.”"
tendanya,GEN 9:21,"Pada suatu hari, Nuh minum anggur dan mabuk, lalu dia telanjang di dalam tendanya.","Ca tèka, na ninu èi anggor, ka na mahu titu kèna. Hèia na puru eele mèdha-papake nèti ua na. Ka na jꞌunu lega-loli dènge boe mèdha-papake ètu dꞌara paleo na."
betel,GEN 12:8,"Dari tempat itu, dia pindah ke pegunungan di sebelah timur Betel dan membentangkan tendanya dengan Betel di sebelah barat dan Ai di sebelah timur. Di sana, dia mendirikan mazbah bagi TUHAN dan memanggil nama TUHAN.","Èle èèna ka, Abram si pidha hari asa ledhe re balèu. Ka ra pea taha ètu talora rae Betel dènge rae Ai. Ètu èèna, na patitu mei korban èci ho na mangajꞌi mi LAMATUA."
efron,GEN 23:8,"Dia berkata kepada mereka, “Jika kamu telah menyetujui agar aku dapat menguburkan orang matiku dari hadapanku ini, dengarkanlah aku dan temuilah Efron keturunan Zohar itu demi aku,","Ka na padhai lii, peka na, “Ladhe miu sèmi lii jaꞌa na, jaꞌa manèngi ho peka dènge ana mone Sohar, dhu ngara na Efron."
edom,GEN 25:30,"Lalu, Esau berkata kepada Yakub, “Aku mohon kepadamu, biarkanlah aku makan sedikit dari yang merah-merah itu sebab aku sangat lelah.” Oleh sebab itu, orang menamakannya Edom.","Ka na peka dènge Yakob, aku nèngu na, “Ari, ee! Hia ku jaꞌa bubur kabꞌui mea ciki ètu dꞌara èru èèna, ho jaꞌa kuꞌa! Te jaꞌa manganga bia.” (Nèti èèna ka, ra pangare na, Edom, dhu sasoa na ‘mea’.)"
kakak,GEN 34:25,"Tiga hari kemudian, sewaktu mereka masih kesakitan, dua orang dari anak laki-laki Yakub, yaitu Simeon dan Lewi, kakak-kakak Dina, mengambil pedangnya masing-masing, dan memasuki kota itu dengan berani, lalu mereka membunuh semua laki-laki itu.","Dꞌara lodꞌo ka tèlu, ropa rèngu dhu suna se, nuꞌa ra dhu pèdꞌa era, ka ana mone Dina, Simeon dènge Lewi, rare samala ra, kako mau-mau, lasi asa dꞌara kota. Ka dua ra pare pamadhe aaꞌi-aaꞌi dhèu mone sèra."
merayap,GEN 1:26,"Kemudian, Allah berfirman, “Sekarang, mari Kita membuat manusia dalam rupa Kita, menurut keserupaan Kita. Biarlah mereka berkuasa atas ikan-ikan di laut, atas burung-burung di udara, atas ternak, atas seluruh bumi, dan atas segala yang melata yang merayap di bumi.”","Ka Ama Lamatua peka hari, aku Nèngu na, “Hua iia, mai Ta pajꞌajꞌi dhèu, madhutu rupa Èdhi. Hudꞌi laa ra leru dènge ator iꞌa aaꞌi-aaꞌi ètu dꞌara dhasi, manu-bhui aaꞌi-aaꞌi ètu dedha-liru, badha-manu dhu ani, dènge badha leo aaꞌi-aaꞌi ra dhu mamuri ètu rai-haha ne.”"
bersyeba,GEN 21:14,"Kemudian, Abraham bangun pagi-pagi sekali, lalu mengambil roti serta kantong kulit yang berisi air, dan memberikannya kepada Hagar. Dia meletakkan makanan dan air itu di pundak Hagar dan menyerahkan anak itu kepadanya, lalu menyuruh mereka pergi. Lalu, perempuan itu pergi mengembara di padang belantara Bersyeba.","Bèli madꞌae aae èèna, Abraham tao gee jꞌara hia Hagar, aa na kadhoe èi dꞌara baboꞌi cue mi kabela-kao na. Hèia na patabuli ka bhèni ne dènge ana na Ismael, ho lasi. Ka ra kako palème dꞌara mamoo dhu dètu dènge Beer-Syeba."
padan,GEN 25:20,"Ishak berumur 40 tahun ketika dia mengambil Ribka; anak perempuan Betuel, orang Aram dari Padan-Aram, dan adik perempuan Laban, orang Aram itu menjadi istrinya.","Lodꞌo Isak madhèdi dènge Ribka, umur na 40 (èpa nguru) tèu le. Ama Ribka, ngara na Betuel. Ana mone Ribka, ngara na Laban. Rèngu se, dhèu Aram, nèti Padan Aram."
tugu,GEN 28:18,"Karena itu, Yakub bangun pagi-pagi benar dan mengambil batu yang diletakkannya di bawah kepalanya. Lalu, dia menyusunnya menjadi sebuah tugu dan mencurahkan minyak ke atasnya.","Dꞌara madꞌae aae era, Yakob kèdꞌi le èèna. Ka nare hadhu dhu na tao lalaka deo na. Hèia na patitu jꞌajꞌi mi tadha. Ka na bhori èi mènyi asa dedha hadhu èèna, hèia na mangajꞌi mi Lamatua."
gosyen,GEN 45:10,"Engkau akan tinggal di tanah Gosyen dan engkau akan dekat denganku, engkau, dan anak-anakmu, dan anak-anak dari anak-anakmu, dan kawanan kambing dombamu, dan ternakmu, dan segala yang engkau miliki.","Ho èèna na, ama pea ètu rai Gosen padètu dènge nèngu. Era na beꞌa aa taleo. Sèna ka ama bisa piara kahibꞌi-kalèbho, kahibꞌi-kaꞌia dènge sapi aaꞌi-aaꞌi ra. Aa na manèngi kahèi ho ama laꞌe dènge ana-èpu, dènge isi èmu, dènge mèdha-panyau, ho pea taruu mi nèi."
ham,GEN 5:32,"Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya.","Lodꞌo Noh mamuri dꞌai 500 (lèmi ngasu) tèu, na matana ana mone dhèu tèlu, Sem, Yafet dènge Ham."
mamre,GEN 13:18,"Setelah itu, Abram memindahkan tendanya dan tinggal di dekat pohon-pohon tarbantin Mamre, di Hebron. Di sana, dia membangun mazbah bagi TUHAN.","Hèia Abram si lèpa hari asa era pea ra, dhu dètu dènge ajꞌu-ajꞌu aae ètu Mamre, dhu padètu dènge Hebron. Èle èèna ka, na pudhi hadhu tao mei korban ho na mangajꞌi LAMATUA ètu èèna."
bermimpi,GEN 28:12,"Kemudian, dia bermimpi, dan lihatlah, sebuah tangga didirikan di atas bumi yang ujungnya sampai ke langit. Lihatlah, para malaikat Allah turun naik melaluinya.","Dꞌara mèda èèna, na nii. Na ladhe nèdhi langa èci dhu patitu ètu rai, suu na dꞌai dedha-liru. Ka ana pajuu Ama Lamatua nèti sorga, caꞌe-puru ètu dedha langa èèna."
permukaan,GEN 1:2,"Bumi tidak berbentuk dan kosong, kegelapan menutupi permukaan samudra, dan Roh Allah melayang-layang di atas permukaan air.","Lodꞌo rai-haha jꞌajꞌi mèka, aaꞌi-aaꞌi dhae mèci mèka. Dhu abhu, èi. Aa maroga aatu-aatu saguru nare ne. Ka Roh Lamatua lela ètu dedha èi èèna."
cakrawala,GEN 1:6-7,"Kemudian, Allah berfirman, “Jadilah cakrawala di tengah-tengah air untuk memisahkan air dari air!” Lalu, Allah membuat cakrawala dan memisahkan air yang ada di atas cakrawala itu dari air yang ada di bawah cakrawala itu. Lalu, jadilah demikian.","Hèia Ama Lamatua lii hari, Na peka, “Hudꞌi dènge ku era talele, sèna ka hagꞌe eele èi. Nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha.” Ropa peka nare sèmi èèna, hèia èi bꞌagi dènge mi dua."
adikku,GEN 4:9,"Lalu, TUHAN bertanya kepada Kain, “Di mana Habel, adikmu?” Kain menjawab, “Aku tidak tahu. Apakah aku penjaga adikku?”","Ka LAMATUA karèi Kaen, aku Nèngu na, “Kaen! Ari mu ka mia?” Hèia Kaen dhaa, aku nèngu na, “Jaꞌa keꞌa boe na ètu mia! Èu ngee na, jaꞌa dhèu kèpe haga na, do?”"
yafet,GEN 5:32,"Ketika Nuh hidup selama 500 tahun, Sem, Ham, dan Yafet lahir baginya.","Lodꞌo Noh mamuri dꞌai 500 (lèmi ngasu) tèu, na matana ana mone dhèu tèlu, Sem, Yafet dènge Ham."
seir,GEN 14:6,"dan orang Hori yang tinggal di pegunungan mereka, Seir, sampai ke El-Paran di pinggir padang belantara.","dènge dhèu Hori dhu ètu ledhe Seir, dꞌai sebhe mamoo El Paran."
betuel,GEN 22:22,"Kemudian, Kesed, Hazo, Pildash, Yidlaf, dan Betuel.”","Ka na abhu hari Kesed, Haso, Pildas, Yidlaf, dènge Betuel."
bilha,GEN 29:29,"Laban memberikan hamba perempuannya, Bilha, kepada anaknya, Rahel, untuk menjadi hamba bagi anaknya itu.","Ka Laban hia ènu na dhèu bhèni èci, ngara na Bilha, sèna ka jꞌajꞌi mi ènu Rahel."
berbintik,GEN 30:32,"Hari ini, izinkan aku berjalan di antara kawanan kambing dombamu untuk memisahkan dari situ setiap domba yang berbintik-bintik dan bertutul, dan setiap anak domba yang berwarna gelap, dan setiap kambing yang bertutul atau berbintik-bintik. Itulah yang akan menjadi upahku.","Ladhe moꞌo, deo neꞌe kahèi, jaꞌa laku asa badha-manu toꞌo sèi, ho hagꞌe si. Mia dhu dènge boe katèdꞌa aa dènge boe karata, sèra sa unu toꞌo ku taruu. Te ngaa mia dhu dènge katèdꞌa aa dhu karata, hia mi jaꞌa. Dènge kahibꞌi-kalèbho dhu mèdhi, jaꞌa kora aaꞌi si. Seꞌe se, hudꞌi laa jꞌajꞌi mi babꞌae rui-jꞌajꞌèra jaꞌa."
