verse,source_text,target_text,pred_text
GEN 1:1,"In the beginning, God created the heavens and the earth.","Ler ululu noha gergera-tatiah'i ma'ta mulaliaini Orgahi-Orha'a Uplerlawna-Mempulwatnu Nwahi' pa Na'ohi-na'ara lyanti me, nohkerna-rai miaran di.",La'a noha gergera-tatiah'i ma'ta de Uplerlawna Nakoki-nayapi nohkerna nora lyanti.
GEN 1:2,The earth was formless and empty. Darkness was on the surface of the deep and God's Spirit was hovering over the surface of the waters.,"Nohkeran di edon naplol ma'ta ne nahgali, melmela-kalkalma ntutuw nana-nkaduw nana hletan lawna-yoir lawna, ne Orgahi Nhiw Lululli mana Ndardarta la gergera-tatiah'i wawannu.","La' ler de de nohkeran di edon nayamkek ma'ta, ne nohkeran di mana melmelli-kalkalamni ed olek la hletan lawna. Ne Uplerlawna Nhiw Lululli Ndella lyanti wawannu."
GEN 1:3,"God said, Let there be light, and there was light.","Orgahi-Orha'a Nhar lirni, Mhita-mriepra. Noma hititni-repreparni nwo'ti wa.","Nhorwua dewade Uplerlawna Nakot la, Lelerni nhita-nreprepra."
GEN 1:4,"God saw the light, and saw that it was good. God divided the light from the darkness.","Orgahi Namkek de hititni-repreparni de samoga, noka Nnawera-nnapakia lelerni la'a melmelli.","Noma Uplerlawna Namkek la Lelerni de, de samoga. Dewade Uplerlawna Nwe'er doinia Lelerni de la melmelli-kalkalamni."
GEN 1:5,"God called the light day, and the darkness he called night. There was evening and there was morning, the first day.","Noma Orgahi Nala lelerni pa nwawa lera, ne melmelli pa nwawa mela. Noka mela nla nhelma me repra nma nwo'ti wa, de lera idni hade.","Noma Uplerlawna Nal walia lelerni de Niwra, Lera, me melmelli de Niwra, Lera. Dewade lera nmel wa, dewade yawyawar ma'ta."
GEN 1:6,"God said, Let there be an expanse in the middle of the waters, and let it divide the waters from the waters.","Orgahi Nhar lirni, Tertieri-tawtawa mpuo'ti-mpuanin la gergerni-taitiah'in di letgarni, totpa muwera-mupakia gera-tah'i la gera-tah'i.","Noma Uplerlawna Nakot la Niwra, Hegana ida nrehgorga gera re uhunu-ewatni-ewatni-lahwani pa nweyata-nwaniaga gera re korni."
GEN 1:7,"God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse, and it was so.","Noma Nhi'a tertieri-tawtaw di pa nala na Nnawera-nnapakia gera-tah'i mak kdella yawa, la'a gera-tah'i mak kdella heyanna. Noma nlola.",Noma Uplerlawna Na'ohi-na'ara lyanti na'nama Nhawi-nhawia ger maka kden la lyanti nor wutga ger maka kden la lyanti nayanni. Emkade wal lia gera lyanti nayanni.
GEN 1:8,"God called the expanse sky. There was evening and there was morning, a second day.","Noma Nala tertieri-tawtaw de pa nwawa lyanti. Mela nla nhelma me repra nma nwo'ti wa, de lera wornu wa.",Nhorwua noma Uplerlawna Npolga lyanti de lyanti. Nhorwua dewade lera nmel wa. Ne lera nmel wa.
GEN 1:9,"God said, Let the waters under the sky be gathered together to one place, and let the dry land appear, and it was so.","Orgahi Nhar lirni, Gera-tah'i mak kdella lyanti nayanni, miwok la geni id to'a totpena kerkeranni nharigota. Noka nlola.","Noma Uplerlawna Niwra, Hegana gerni mak kden la lyanti nayanni rawoka la geni ida, ne tani mana namkek nana. Emkade wal lia nohkerna wawannu."
GEN 1:10,"God called the dry land earth, and the gathering together of the waters he called seas. God saw that it was good.",Noma Nala kerkeranni de pa nwawa nohkerna ne ger mak kawoka re nwawa lora. Namkek de honona re samoga.,"Nhorwua noma Uplerlawna Nwet la nohkeran di de nohkerna, ne ger maka ha rawok taru re de Nwet la tah'i lawna. Noma Uplerlawna Namkek de hade samoga."
GEN 1:11,"God said, Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth, and it was so.","Orgahi Nhar lirni, Oruhwu-auguhwu, yawuli-yatniamin mak kodi o'olli, orwo'a-auwo'a maka wo'oni rodi o'olli mmiori-mdiaria totpa yawuli-yatniamni erla nohkerkeran di wawannu. Noma nlola.","Uplerlawna Niwra, Hyal miy re, nohkeran di de nawo'la wewna me yawuli-yatniamni mak kawo' nana winni-hgonni, me ora-au muaka kpoti-kadwu, me duratni-waitni mak ka'unu-kayeha. Wini-hgona re honona rlernohora wini-hgona mak kden la nohkeran di wawannu. Ne nohkeran di mana emkade."
GEN 1:12,"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind, and God saw that it was good.","Tani namoria oruhwu-auguhwu, yawuli-yatniamni re honona, me ora-au maka wo'oni kodi o'olli. Orgahi Namkek de honona re samoga.","Noma noha nawniatiehra wewna mak kmou-kwitna, me ora-au mak kmou-kwitna mak kmou-kwitna. Noma Uplerlawna Namkek de hade samoga."
GEN 1:13,"There was evening and there was morning, a third day.","Mela nla nhelma me repra nma nwo'ti, de lera wotellu wa.","Nhor nioma lera nheria, ne yawyawar ma'ta de lera wotellu."
GEN 1:14,"God said, Let there be lights in the expanse of the sky to divide the day from the night, and let them be for signs to mark seasons, days, and years,","Orgahi Nhar lirni, Mak kodia hititni-repreparni mua mhita-mriepar la'a lyanit maran di ralamni totpa mniawera-mniapakia lera la'a mela. La'pa miy mak kodia hititni-repreparni mhi'a kniau mak ktutga lerlalawna, me lera-mela, me me'eta-anni mak kodi liarni.","Noma Uplerlawna Nakot owa'ana, Lelerni nhita-nrepra la lyanti totpena ra rhima-rre'a lelera la'a melmela. Ne rnairia wa'du pa ra rtutga lera-mela, lera-mela, anni-anni."
GEN 1:15,"and let them be for lights in the expanse of the sky to give light on the earth, and it was so.","Ne emeka hititni-repreparni la lyanit marna, de mhitwah'a-mrieparwah'a nohkerna-rai miaran di wali. Noma nlola.",Ne rhopan doinia wa'du-wa'du la'a lyanti totpena nhita-nrepra la noha wawannu. Ne Uplerlawna Nhiw Lululli Nwe'er doin wa'du pa nhita-nrepra la'a noha wawannu.
GEN 1:16,"God made the two great lights, the greater light to rule the day, and the lesser light to rule the night. He also made the stars.","Noma Orgahi Nhi'a hititni-reprepar lawanni rora, totpa lalawanni de nodi plola-ntaryat lia lera, me kdadiahani de nodi plolli la mela, ne Nhi' wali wtiona re wali.","Noma Uplerlawna Na'ohi-na'ara wa'du wniatatgenni re woru. La' wa'du mak inponni de totpena nwehwa-nlakat la lera, ne la' wa'du mak inponni de totpena nwehwa-nlakat la mela. Ne la' wa'du mana Uplerlawna Na'ohi-na'ara wa'du wtiona."
GEN 1:17,"God set them in the expanse of the sky to give light to the earth,",Nken tiarga harella lyanit maran di totpa rhit wah'a-repar wah'a nohkerna-rai miaran di.,Uplerlawna Nakoki-nayap niana re la'a lyanti pa nhita-nrepra la nohkerna wawannu.
GEN 1:18,"and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.","Ne totpa nodi plola-ntaryat lia lera me mela, ne totpa nnawera-nnapakia lelerni la melmelli. Namkek de honona re samoga.","Ne totpena rodi plolli la lera-mel de, me totpena rhopliala lelerni la melmelli-kalkalamni. Dewade Uplerlawna Namkek de hade samoga."
GEN 1:19,"There was evening and there was morning, a fourth day.","Lera nla nhelma me repra nma nwo'ti, de lera wogatni wa.","Nhorwua dewade lera nmel wa, ne yawyawar ma'ta de lera wogatni."
