src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.",,eng,wyc,English,Wycliffe,0.0,0.0,0.0
"forsooth the earth was idle and void, and darknesses were on the face of depth; and the spirit of the lord was borne on the waters or the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Rai-haha ne j'aj'i mèu-mèu, aa maroga ètu katanga madha marèma; aa manadu Lamatua mora iisi ètu dedha èi.",,eng,wyc,English,Wycliffe,16.02,11.0474,12.2491
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Hudꞌi laa!""","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hud'i labhu j'aj'i!"" aa labhu j'aj'i.",,eng,wyc,English,Wycliffe,9.2654,3.8404,3.946
"and god saw the light, that it was good, and he parted the light from darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua ma'ète saraa nèti maroga.",,eng,wyc,English,Wycliffe,7.3304,3.3521,3.9072
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Aa nèngu paroa labhu ne, lod'o. Aa maroga ne, mèda. Aa lod'o nihia dènge bèli j'aj'i ca lod'o.",,eng,wyc,English,Wycliffe,10.3131,19.0284,17.8836
"and god said, the firmament be made in the midst of waters, and part waters from waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dedha-liru jꞌajꞌi ètu dꞌara èi, sèna ka pacèri èi nèti èi."" Hèia Ama Lamatua pajꞌajꞌi dedha-liru, hèia na pacèri èi dhu ètu haha dedha-liru, nèti èi dhu ètu dedha dedha-liru. Hèia jꞌajꞌi sèmi èèna.",,eng,wyc,English,Wycliffe,0.6191,1.1168,1.8142
"and god called the firmament, heaven. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Aa Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, jꞌajꞌi hari ka dua.","Aa Ama Lamatua paroa dedha-liru, liru. Aa lod'o cèna dènge mad'ae j'aj'i hari ka dua.",,eng,wyc,English,Wycliffe,5.2666,6.1838,5.7872
"forsooth god said, the waters, that be under heaven, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Èj'i aa'i-aa'i dhu ètu haha liru, kaboko asa era èci, aa era dhu mango bhodho."" Hèia j'aj'i sèmi èèna.",,eng,wyc,English,Wycliffe,4.6653,6.2999,4.667
"and god called the dry place, earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha.""","Dènge Ama Lamatua pangee era mango ne, rai-haha; aa nèngu pangee pakaboko èj'i sèra, dhasi. Aa Ama Lamatua rèdhi na be'a.",,eng,wyc,English,Wycliffe,3.2587,3.4601,3.8396
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Ètu rai-haha ne, abhu aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Ètu rai-haha ne, abhu j'u'u mangèru, dènge tao hini, aa aj'u apel dhu hia hua madhutu rupa na, dhu hini na ètu d'ara na ètu rai-haha; hèia Ama Lamatua tao sèmi èèna kahèi.",,eng,wyc,English,Wycliffe,2.5129,6.5848,7.4973
