source_word,target_word,confidence_score,pos,page_number
melawan,lab'a,2.5440163993386506e-44,verb,18
melawan,sisu,2.5440163993386506e-44,verb,18
memohon,aj'u,2.5440163993386506e-44,noun,26
semua,mèu-mèu,2.603206857502623e-44,adverb,30
semua,aa'i,2.603206857502623e-44,quantifier,30
semua,aa'i-aa'i,2.603206857502623e-44,quantifier,30
bangkit,kèdi.,2.63463352266455e-44,verb,3
liar,hui,2.868370480620601e-44,verb,18
kerja,sasab'a,3.067135584657135e-44,noun,16
kerja,saba,3.067135584657135e-44,verb,16
kerja,sab'a,3.067135584657135e-44,verb,16
kerja,sab'e,3.067135584657135e-44,verb,16
kesalahan,sigo,3.1103774697562e-44,noun,28
kesalahan,sala,3.1103774697562e-44,verb,28
kesalahan,sale,3.1103774697562e-44,verb,28
budak,ènu,3.2895280075606894e-44,noun,5
memakai,pake,3.2895280075606894e-44,verb,23
berlaku,laku,3.3392428568941734e-44,verb,17
itu,èèna,3.3392428568941734e-44,demonstrative,12
itu,na,3.3392428568941734e-44,demonstrative,12
itu,nèi,3.3392428568941734e-44,demonstrative,12
mengirimkan,pa'adhu,3.389709049957995e-44,verb,16
api,ai,3.4409379418585e-44,noun,2
termuda,ngèru,3.492941059312488e-44,adjective,21
menerima,dhaa,3.602918068610888e-44,verb,34
menerima,sèmi,3.602918068610888e-44,verb,34
cukup,sange,3.720075976020836e-44,verb,7
cukup,nia,3.720075976020836e-44,quantifier,7
berikanlah,i'a,3.781210104018617e-44,noun,11
hadapanku,tangara,3.781210104018617e-44,verb,10
hadapanku,tangare,3.781210104018617e-44,verb,10
hebat,ele madha ngaa,3.977064927093025e-44,idiom,11
panas,pana,4.118314969584026e-44,adjective,23
panas,sagoro,4.118314969584026e-44,adjective,23
panas,sag'oro,4.118314969584026e-44,adjective,23
sejak,karèi,4.19269653652453e-44,adverb,30
sejak,krèi,4.19269653652453e-44,adverb,30
bumi,rai-haha,4.26970223978657e-44,noun,6
menolak,jajuku,4.26970223978657e-44,verb,35
menolak,tule,4.26970223978657e-44,verb,35
menolak,tule,4.26970223978657e-44,verb,35
tanda,tadha,4.26970223978657e-44,noun,33
keturunannya,puru,4.3489919896821604e-44,verb,36
keturunannya,pa'abhe,4.3489919896821604e-44,verb,36
menyunat,bèka,4.3489919896821604e-44,verb,32
bintang,hua-hètu,4.386993285938256e-44,noun,5
asalkan,sad'i,4.4315264319453343e-44,conjunction,2
