src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning god created the heavens and the earth,","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Ètu uru ka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.2314,-3.2022,-2.3055
"and the earth was formless and void, and darkness was on the face of the deep, and the spirit of god was fluttering on the face of the waters,","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu-mèu.","aa rai ne mola dènge aad'o rupa, aa maroga ètu katanga madha d'ara marèma, aa Roh Ama Lamatua eebo-eebo ètu katanga madha èi ae.",,eng,nfa,English,Dhao,3.4887,2.6349,5.5907
"and god says, let light be; and light is.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa!"" Hèia heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka.","Èle èèna ka, Ama Lamatua peka, ""Hud'i saraa!"" Aa saraa abhu.",,eng,nfa,English,Dhao,3.4384,6.5387,10.3142
"and god sees that the light is good, and god separates between the light and the darkness,","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua padꞌelo jꞌara èci dènge èci, èci dènge èci, èci dènge èci.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua ma'ète talora aae saraa dènge maroga.",,eng,nfa,English,Dhao,0.1049,3.9655,3.9095
"and god calls the light day, and the darkness he has called night; and there is an evening, and there is a morning-day one.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Ka Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu."" Aa Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, aku Nèngu na, ""Dhèu.""","Aa Ama Lamatua pangare saraa ne, ""Lod'o."" Aa maroga ne, nèngu pangare ne, ""Mèda."" Aa abhu lod'o nihia, aa abhu madae - lod'o èci.",,eng,nfa,English,Dhao,11.1928,31.2724,30.0909
"and god says, let an expanse be in the midst of the waters, and let it be separating between waters and waters. and god makes the expanse, and it separates between the waters which are under the expanse, and the waters which are above the expanse: and it is so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka ètu dꞌara èmu èèna, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dꞌara èmu èèna, sèna ka jꞌajꞌi èci dènge èci, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi.","Hèia Ama Lamatua peka na, ""Hudi j'aj'i ca liru ètu d'ara èi se, aa hudi na cèri ètu talora aae èi dènge èi."" Hèia Ama Lamatua paj'aj'i liru èèna, aa na cèri ètu talora aae èi dhu ètu haha liru èèna, dènge èi dhu ètu dedha liru èèna. Ka j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,-1.0628,0.8406,0.4945
"and god calls the expanse heavens; and there is an evening, and there is a morning-the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu. Èle èèna ka, lodꞌo ka dua.","Aa Ama Lamatua paroa dedha-liru. Aa abhu lod'o nihia, aa abhu madae, nuka lod'o ka dua.",,eng,nfa,English,Dhao,11.5219,4.5688,6.8
"and god says, let the waters under the heavens be collected to one place, and let the dry land be seen: and it is so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe, sèna ka èi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa jꞌajꞌi ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, ""Sèna ka èi dhu ètu haha liru oru asa era èci, aa sèna ka rai mango bhodho."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,2.3992,-3.5922,-2.935
"and god calls the dry land earth, and the collection of the waters he has called seas; and god sees that it is good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha'. Aa èi èi èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha.' Hèia Ama Lamatua ladhe-leru, na, èèna beꞌa.","Aa Ama Lamatua pangare rai mango ne, 'Rai-haha'. Aa èi èi èèna ka, na pangare ne, 'Dhasi'. Hèia Ama Lamatua ladhe-leru, na, èèna beꞌa.",,eng,nfa,English,Dhao,3.9967,4.435,6.0922
"and god says, let the earth yield tender grass, herb sowing seed, fruit-tree whose seed is in itself making fruit after its kind, on the earth: and it is so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi, aa aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi, sèna ka jꞌajꞌi aaꞌi-aaꞌi.","Ama Lamatua peka, ""Rai-haha hud'i muri j'u'u karara, aa j'u'u ceb'e hini, aa aj'u dhu hua madhutu j'ara na, hini na ètu d'ara nèngu mesa, ètu rai-haha:"" aa j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,8.6532,5.3549,5.4324
