english_version,eng_content_dhao_missing,dhao_content_eng_missing,eng_content_dhao_range,dhao_content_eng_range,total_mismatches
Brenton,25286,7655,113,0,33054
asv,21479,18,417,0,21914
engBBE,21479,2,417,0,21898
engDBY,21479,5,417,0,21901
engDRA,24761,9,416,0,25186
engPEV,772,2472,226,359,3829
engULB,21469,16,417,0,21902
engWycliffe,4283,4015,251,0,8549
engaoi,46,6202,141,102,6491
engasvbt,28050,9,417,0,28476
engbarkly,0,7653,48,146,7847
engbsb,21479,18,417,0,21914
engemtv,0,1427,304,0,1731
engf35,0,1428,304,0,1732
engfbv,21479,17,417,0,21913
enggnv,21473,5,417,0,21895
engjps,21479,7653,113,0,29245
engkjvcpb,27106,2,417,0,27525
englee,21477,7653,113,0,29243
englsv,21479,0,417,0,21896
englxxup,24909,7654,113,0,32676
engmsb,21479,6,417,0,21902
engnet,21479,18,417,0,21914
engnna,49,7697,55,114,7915
engnoy,10215,1440,304,0,11959
engoebcw,3725,1438,304,0,5467
engoebus,3725,1438,304,0,5467
engojb,21671,0,417,0,22088
engoke,4315,7653,113,0,12081
engourb,9885,4012,251,0,14148
engtcent,0,1428,304,0,1732
engtnt,0,1424,304,0,1728
engwebp,21479,9,417,0,21905
engwebpb,21479,9,417,0,21905
engwebster,21479,2,417,0,21898
engwebu,27787,9,417,0,28213
engwmb,21479,9,417,0,21905
engwmbb,21479,9,417,0,21905
engwyc2017,26185,1,417,0,26603
engwyc2018,26185,1,417,0,26603
engylt,21479,2,417,0,21898
glw,0,8084,24,0,8108
kjv,27012,2,417,0,27431
kjv2006,21479,2,417,0,21898
lxx2012,25677,7657,113,1,33448
rv,27044,18,417,0,27479
t4t,21130,0,387,83,21600
uk_lxx2012,25677,7657,113,1,33448
web,27787,9,417,0,28213
web_c,25158,9,417,0,25584
webbe,27787,9,417,0,28213
