verse,source_text,target_text,pred_text
GEN 1:1,in the beginning god created the heauen and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha."
GEN 1:2,"and the earth was without forme and void, and darkenesse was vpon the deepe, and the spirit of god mooued vpon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu."
GEN 1:3,"then god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Bèli-camèdꞌa jꞌajꞌi mèu-mèu!"" Hèia jꞌajꞌi mèu-mèu."
GEN 1:4,"and god saw the light that it was good, and god separated the light from the darkenes.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua padꞌelo jꞌara, sèna ka jꞌajꞌi mèdha-panyau nèti dꞌara maroga."
GEN 1:5,"and god called the light, day, and the darkenes, he called night. so the euening and the morning were the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Ka Na hagꞌe nare aaꞌi mèu-mèu. Ka Na hagꞌe nare aaꞌi mèu-mèu. Aa Na hagꞌe nare aaꞌi mèu-mèu. Aa Na hagꞌe nare aaꞌi mèu-mèu. Aa Na hagꞌe nare aaꞌi mèu-mèu. Aa Na hagꞌe nare aaꞌi mèu-mèu. Aa Na hagꞌe nare aaꞌi mèu-mèu."
GEN 1:6-7,"againe god said, let there be a firmament in the mids of the waters: and let it separate the waters from the waters. then god made the firmament, and separated the waters, which were vnder the firmament, from the waters which were aboue the firmament: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi."
GEN 1:8,and god called the firmament heauen. so the euening and the morning were the second day.,"ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌajꞌi dedha-liru, ho jꞌajꞌi dedha-liru. Èle èèna ka, bèli-camèdꞌa dènge bèli-camèdꞌa, jꞌajꞌi hari ka dua."
GEN 1:9,"god said againe, let the waters vnder the heauen be gathered into one place, and let the dry land appeare. and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu èèna, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi."
GEN 1:10,"and god called the dry land, earth, and he called the gathering together of the waters, seas: and god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi rai-haha. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi rai-haha. Ka Na ladhe-leru aaꞌi-aaꞌi ètu rai-haha ne, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi-aaꞌi, jꞌajꞌi aaꞌi aaꞌi-aaꞌi."
GEN 1:11,"then god said, let the earth bud forth the bud of the herbe, that seedeth seed, the fruitfull tree, which beareth fruite according to his kinde, which hath his seede in it selfe vpon the earth: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi mèu-mèu. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi mèu-mèu. Aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi mèu-mèu."" Hèia jꞌajꞌi sèmi èèna kahèi."
