verse,source_text,target_text
MAT 1:1-2,"The book of the genealogy of Jesus Christ, the son of David, the son of Abraham. Abraham became the father of Isaac. Isaac became the father of Jacob. Jacob became the father of Judah and his brothers.","Sasuri ne, lole j'ara mamuri nèti Yesus Kristus, nuka Dhèu dhu Ama Lamatua padhadha mema ho neo pua mai. Yesus ne, ana-èpu dhèu aae Daud dènge Abraham. Karèi nèti Abraham toke dhèu aae Daud, abhu canguru èpa bèi-baki. Kabhia Na sèmi ne'e, Abraham matana Isak, Isak matana Yakob, Yakob matana Yahuda dènge a'ari na,"
MAT 1:3,Judah became the father of Perez and Zerah by Tamar. Perez became the father of Hezron. Hezron became the father of Ram.,"Yahuda matana Peres dènge Sera ina ra, ngara na Tamar Peres matana Herson, Herson matana Ram,"
MAT 1:4,Ram became the father of Amminadab. Amminadab became the father of Nahshon. Nahshon became the father of Salmon.,"Ram matana Aminadab, Aminadab matana Nahason, Nahason matana Salmon,"
MAT 1:5,Salmon became the father of Boaz by Rahab. Boaz became the father of Obed by Ruth. Obed became the father of Jesse.,"Salmon matana Boas ina na, ngara na Rahab Boas matana Obet ina na, ngara na Rut, Obet matana Isai,"
MAT 1:6,Jesse became the father of King David. David the king became the father of Solomon by her who had been Uriah's wife.,Isai matana Daud.
MAT 1:7-11,Solomon became the father of Rehoboam. Rehoboam became the father of Abijah. Abijah became the father of Asa. Asa became the father of Jehoshaphat. Jehoshaphat became the father of Joram. Joram became the father of Uzziah. Uzziah became the father of Jotham. Jotham became the father of Ahaz. Ahaz became the father of Hezekiah. Hezekiah became the father of Manasseh. Manasseh became the father of Amon. Amon became the father of Josiah. Josiah became the father of Jechoniah and his brothers at the time of the exile to Babylon.,"Nèti Daud toke lod'o dhu ra babège suku Isra'el asa Babel, abhu hari canguru èpa bèi-baki, nuka, Daud matana Soleman ina na, uru èèna dhèu èmu Uria. Soleman matana Rehabeam, Rehabeam matana Abia, Abia matana Asaf, Asaf matana Yosafat, Yosafat matana Yoram, Yoram matana Usia, Usia matana Yotam, Yotam matana Ahas, Ahas matana Heskia, Heskia matana Manase, Manase matana Amos, Amos matana Yosias, Yosias matana Yekonya dènge ari na, lod'o babège si asa Babel."
MAT 1:12-16,"After the exile to Babylon, Jechoniah became the father of Shealtiel. Shealtiel became the father of Zerubbabel. Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor. Azor became the father of Zadok. Zadok became the father of Achim. Achim became the father of Eliud. Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob. Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ.","Lod'o babège si asa Babel, toke d'ai rara iisi Yesus, abhu canguru èpa bèi-baki, nuka, Yekonya matana Saltiel, Saltiel matana Serubabel, Serubabel matana Abihut, Abihut matana Elyakim, Elyakim matana Asor, Asor matana Sadok, Sadok matana Akim, Akim matana Eliut, Eliut matana Eliasar, Eliasar matana Matan, Matan matana Yakob, Yakob matana Yusuf, Yusuf ne, dhèu èmu Maria. Maria ne ka dhu nara iisi Yesus Kristus."
MAT 1:17,"So all the generations from Abraham to David are fourteen generations, from David to the exile to Babylon fourteen generations, and from the carrying away to Babylon to the Christ, fourteen generations.","De karèi nèti Abraham toke Daud, abhu canguru èpa bèi-baki, nèti Daud toke lod'o ra babège si asa Babel abhu canguru èpa bèi-baki, aa nèti lod'o ra babège si asa Babel d'ai Maria nara iisi Yesus, abhu canguru èpa bèi-baki."
MAT 1:18,"Now the birth of Jesus Christ was like this, After his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit.","Lii lolo Maria nara iisi Yesus sèmi ne'e ka, Maria dhu tunanga le dènge Yusuf. Dua ra pa'èci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa te'a boe na, Maria dhu dènge le babia nèti Roh Ama Lamatua dhu Mola-Mèci."
MAT 1:19,"Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.","Ropa Yusuf ne'a, ka na neo pama'ète lii rèngu dua ra. Te ngaa na d'èi boe pamakae Maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu d'ara mola. Nèti èèna ka, na neo pamau eele lii rèngu ne."
