src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
and the earth was waste and void; and darkness was upon the face of the deep: and the spirit of god moved upon the face of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Aa ètu rai-haha ne jꞌajꞌi mèu-mèu, aa ètu rai-haha ne jꞌajꞌi mèu-mèu.",Aa rai-haha ne j'aj'i bhori eele dènge mola; aa d'ara maroga ètu dedha katanga madha d'ara marèma: aa roh ama lamatua eso ètu dedha katanga madha èi.,,eng,nfa,English,Dhao,12.2815,11.205,10.6321
"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Bèli-camèdꞌa jꞌajꞌi mèu-mèu!"" Hèia jꞌajꞌi mèu-mèu.","Aa Ama Lamatua peka, ""Hudi j'aj'i saraa!"" Aa j'aj'i saraa.",,eng,nfa,English,Dhao,13.3179,3.6949,5.1416
"and god saw the light, that it was good: and god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci nèti saraa ne.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua ma'ète saraa nèti maroga.",,eng,nfa,English,Dhao,7.2959,3.3693,3.9713
"and god called the light day, and the darkness he called night. and there was evening and there was morning, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare mèngi-nale mèngi-nale mèngi-nale. Ama Lamatua hagꞌe nare mèngi-nale mèngi-nale mèngi-nale mèngi-nale mèngi-nale.","Aa Ama Lamatua paroa labhu ne, lod'o. Aa maroga ne, nèngu paroa mèda. Aa abhu lod'o cèna, aa abhu madae, èci lod'o.",,eng,nfa,English,Dhao,9.5682,18.8008,18.9743
"and god said, let there be a firmament in the midst of the waters, and let it divide the waters from the waters. and god made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka jꞌajꞌi dedha-liru èci, èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi dedha-liru èci, sèna ka jꞌajꞌi èci dènge èci. Ka jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, ""Hud'i j'aj'i dedha-liru èci ètu talora aae èi, sèna ka na pakula èi nèti èi."" Hèia Ama Lamatua paj'aj'i dedha-liru èèna, ka na pakula èi dhu pea ètu haha dedha-liru nèti èi dhu pea ètu dedha dedha-liru. Ka j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,0.8684,2.7018,2.4854
"and god called the firmament heaven. and there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, bèli-camèdꞌa madꞌae. Èle èèna ka, bèli-camèdꞌa hari ka dua.","Ama Lamatua paroa dedha-liru liru. Aa abhu lod'o cèna, aa abhu lod'o madae, nuka lod'o ka-dua.",,eng,nfa,English,Dhao,6.6076,5.5988,3.0759
"and god said, let the waters under the heavens be gathered together unto one place, and let the dry land appear: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa jꞌajꞌi ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, aku na, ""Hud'i èi aa'i-aa'i dhu ètu haha dedha-liru kaboko asa era èci, aa hud'i rai mango bhodho."" Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,4.3838,5.5205,5.4132
and god called the dry land earth; and the gathering together of the waters called he seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare rai èèna, jꞌajꞌi rai-haha. Aa èi dhu pakaboko èèna, Na hagꞌe nare rai-haha ne, jꞌajꞌi dhasi. Hèia Ama Lamatua ladhe-leru, na, jꞌara neꞌe beꞌa.","Aa Ama Lamatua hag'e nare rai mango èèna, j'aj'i rai-haha. Aa èi dhu pakaboko èèna, Na hag'e nare ne, j'aj'i dhasi. Hèia Ama Lamatua ladhe-leru, na, j'ara ne'e be'a.",,eng,nfa,English,Dhao,4.534,4.5907,4.6705
"and god said, let the earth put forth grass, herbs yielding seed, and fruit-trees bearing fruit after their kind, wherein is the seed thereof, upon the earth: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi dhu hua-hela. Aa aaꞌi-aaꞌi dhu hua-hela ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi dhu hua-hela ètu rai-haha ne."" Hèia jꞌajꞌi sèmi èèna kahèi.","Aa Ama Lamatua peka, ""Hud'i rai-haha ne pamuri j'u'u, j'u'u dhu hua hini, aa aj'u dhu hua, dhu hua madhutu j'ara na, dhu dènge hini na ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,12.3084,5.7548,7.5072
"and the earth brought forth grass, herbs yielding seed after their kind, and trees bearing fruit, wherein is the seed thereof, after their kind: and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, dhèu aaꞌi-aaꞌi ètu rai-haha tèke eele aaꞌi-aaꞌi ètu rai-haha. Aa aaꞌi-aaꞌi ètu rai-haha tèke eele aaꞌi-aaꞌi ètu rai-haha. Aa aaꞌi-aaꞌi ètu rai-haha tèke eele aaꞌi-aaꞌi ètu rai-haha. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi.","Aa rai-haha pua muri j'u'u, aa j'u'u dhu hua hini madhutu rupa na, aa aj'u dhu hua, d'ara na abhu hini na, madhutu rupa na, aa Ama Lamatua ladhe, na be'a.",,eng,nfa,English,Dhao,13.6601,15.9287,16.7343
"and there was evening and there was morning, a third day.","ne'e ne, lod'o ka tèlu kèna.","Èle èèna ka, bèli-camèdꞌa madꞌae, aa bèli-camèdꞌa bèli-camèdꞌa.","Aa lod'o cèna, aa mad'ae, camèd'a lod'o.",,eng,nfa,English,Dhao,7.3303,7.9731,6.2684
"and god said, let there be lights in the firmament of heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years: and let them be for lights in the firmament of heaven to give light upon the earth: and it was so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe: ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci lodꞌo dènge mèda. Aa ladhe abhu saraa ètu dedha-liru, sèna ka padꞌelo lodꞌo-lodꞌo, lodꞌo-lodꞌo, aa lodꞌo-lodꞌo, aa lodꞌo-lodꞌo, aa lodꞌo-lodꞌo, aa lodꞌo-lodꞌo, aa lodꞌo-lodꞌo. Ladhe abhu saraa ètu dedha-liru, sèna ka jꞌajꞌi saraa ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka na, ""Sèmi neꞌe: ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci lodꞌo nèti mèda. Aa sèna ka rèngu j'aj'i tadha, dènge lod'o-lod'o, dènge lod'o dènge tèu. Aa sèna ka rèngu j'aj'i saraa ètu dedha-liru ho pasaraa ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,14.871,3.4163,3.9562
