verse,source_text,target_text
MAT 1:1-2,"the book of the genealogy of jesus christ, the son of david, the son of abraham. abraham became the father of isaac. isaac became the father of jacob. jacob became the father of judah and his brothers.","sasuri ne, lole j'ara mamuri nèti yesus kristus, nuka dhèu dhu ama lamatua padhadha mema ho neo pua mai. yesus ne, ana-èpu dhèu aae daud dènge abraham. karèi nèti abraham toke dhèu aae daud, abhu canguru èpa bèi-baki. kabhia na sèmi ne'e: abraham matana isak, isak matana yakob, yakob matana yahuda dènge a'ari na,"
MAT 1:3,judah became the father of perez and zerah by tamar. perez became the father of hezron. hezron became the father of ram.,"yahuda matana peres dènge sera ina ra, ngara na tamar peres matana herson, herson matana ram,"
MAT 1:4,ram became the father of amminadab. amminadab became the father of nahshon. nahshon became the father of salmon.,"ram matana aminadab, aminadab matana nahason, nahason matana salmon,"
MAT 1:5,salmon became the father of boaz by rahab. boaz became the father of obed by ruth. obed became the father of jesse.,"salmon matana boas ina na, ngara na rahab boas matana obet ina na, ngara na rut, obet matana isai,"
MAT 1:6,jesse became the father of king david. david the king became the father of solomon by her who had been uriah's wife.,isai matana daud.
MAT 1:7-11,solomon became the father of rehoboam. rehoboam became the father of abijah. abijah became the father of asa. asa became the father of jehoshaphat. jehoshaphat became the father of joram. joram became the father of uzziah. uzziah became the father of jotham. jotham became the father of ahaz. ahaz became the father of hezekiah. hezekiah became the father of manasseh. manasseh became the father of amon. amon became the father of josiah. josiah became the father of jechoniah and his brothers at the time of the exile to babylon.,"nèti daud toke lod'o dhu ra babège suku isra'el asa babel, abhu hari canguru èpa bèi-baki, nuka: daud matana soleman ina na, uru èèna dhèu èmu uria. soleman matana rehabeam, rehabeam matana abia, abia matana asaf, asaf matana yosafat, yosafat matana yoram, yoram matana usia, usia matana yotam, yotam matana ahas, ahas matana heskia, heskia matana manase, manase matana amos, amos matana yosias, yosias matana yekonya dènge ari na, lod'o babège si asa babel."
MAT 1:12-16,"after the exile to babylon, jechoniah became the father of shealtiel. shealtiel became the father of zerubbabel. zerubbabel became the father of abiud. abiud became the father of eliakim. eliakim became the father of azor. azor became the father of zadok. zadok became the father of achim. achim became the father of eliud. eliud became the father of eleazar. eleazar became the father of matthan. matthan became the father of jacob. jacob became the father of joseph, the husband of mary, from whom was born jesus, who is called christ.","lod'o babège si asa babel, toke d'ai rara iisi yesus, abhu canguru èpa bèi-baki, nuka: yekonya matana saltiel, saltiel matana serubabel, serubabel matana abihut, abihut matana elyakim, elyakim matana asor, asor matana sadok, sadok matana akim, akim matana eliut, eliut matana eliasar, eliasar matana matan, matan matana yakob, yakob matana yusuf, yusuf ne, dhèu èmu maria. maria ne ka dhu nara iisi yesus kristus."
MAT 1:17,"so all the generations from abraham to david are fourteen generations; from david to the exile to babylon fourteen generations; and from the carrying away to babylon to the christ, fourteen generations.","de karèi nèti abraham toke daud, abhu canguru èpa bèi-baki; nèti daud toke lod'o ra babège si asa babel abhu canguru èpa bèi-baki; aa nèti lod'o ra babège si asa babel d'ai maria nara iisi yesus, abhu canguru èpa bèi-baki."
MAT 1:18,"now the birth of jesus christ was like this: after his mother, mary, was engaged to joseph, before they came together, she was found pregnant by the holy spirit.","lii lolo maria nara iisi yesus sèmi ne'e ka: maria dhu tunanga le dènge yusuf. dua ra pa'èci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa te'a boe na, maria dhu dènge le babia nèti roh ama lamatua dhu mola-mèci."
MAT 1:19,"joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.","ropa yusuf ne'a, ka na neo pama'ète lii rèngu dua ra. te ngaa na d'èi boe pamakae maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu d'ara mola. nèti èèna ka, na neo pamau eele lii rèngu ne."
