verse,source_text,target_text,pred_target_text
MAT 1:1-2,"Kitab silsilah Yesus Kristus, anak Daud, anak Abraham. Abraham adalah ayah dari Ishak, Ishak adalah ayah dari Yakub. Yakub adalah ayah dari Yehuda dan saudara-saudaranya.","Sasuri ne, lole jꞌara mamuri nèti Yesus Kristus, nuka Dhèu dhu Ama Lamatua padhadha mema ho neo pua mai. Yesus ne, ana-èpu dhèu aae Daud dènge Abraham. Karèi nèti Abraham toke dhèu aae Daud, abhu 14 (canguru èpa) bèi-baki. Kabhia Na sèmi neꞌe: Abraham matana Isak, Isak matana Yakob, Yakob matana Yahuda dènge aꞌari na,","Sasuri ne, lole jꞌara mamuri nèti Yesus Kristus, ana-èpu dhèu aae Daud dènge baki Abraham. Rèngu se, nuka: Abraham matana Isak, Isak matana Yakob, Yakob matana Yahuda dènge aꞌari na,"
MAT 1:3,"Yehuda adalah ayah dari Peres dan Zerah, dari Tamar. Peres adalah ayah dari Hezron. Hezron adalah ayah dari Ram.","Yahuda matana Peres dènge Sera (ina ra, ngara na Tamar) Peres matana Herson, Herson matana Ram,","Yahuda matana Peres, Sara matana Tamar, Peres matana Hesron, Hesron matana Ram,"
MAT 1:4,Ram adalah ayah dari Aminadab. Aminadab adalah ayah dari Nahason. Nahason adalah ayah dari Salmon.,"Ram matana Aminadab, Aminadab matana Nahason, Nahason matana Salmon,","Ram matana Aminadab, Aminadab matana Nahason, Nahason matana Salmon,"
MAT 1:5,"Salmon adalah ayah dari Boas, dari Rahab. Boas adalah ayah dari Obed, dari Rut. Obed adalah ayah dari Isai.","Salmon matana Boas (ina na, ngara na Rahab) Boas matana Obet (ina na, ngara na Rut), Obet matana Isai,","Salmon matana Boas, matana Rahab. Boas matana Obet, matana Rut. Obet matana Isai."
MAT 1:6,"Isai adalah ayah dari Raja Daud. Daud adalah ayah dari Salomo, dari bekas istri Uria.",Isai matana Daud.,"Isai matana dhèu aae Daud. Dhèu aae Daud matana dhèu aae Soleman, dhu uru èèna dhèu èmu Uria."
MAT 1:7-11,"Salomo adalah ayah dari Rehabeam. Rehabeam adalah ayah dari Abia. Abia adalah ayah dari Asa. Asa adalah ayah dari Yosafat. Yosafat adalah ayah dari Yoram. Yoram adalah ayah dari Uzia. Uzia adalah ayah dari Yotam. Yotam adalah ayah dari Ahas. Ahas adalah ayah dari Hizkia. Hizkia adalah ayah dari Manasye. Manasye adalah ayah dari Amon. Amon adalah ayah dari Yosia. Yosia adalah ayah dari Yekhonya dan saudara-saudaranya, pada masa pembuangan ke Babel.","Nèti Daud toke lodꞌo dhu ra babège suku Israꞌel asa Babel, abhu hari 14 (canguru èpa) bèi-baki, nuka: Daud matana Soleman (ina na, uru èèna dhèu èmu Uria). Soleman matana Rehabeam, Rehabeam matana Abia, Abia matana Asaf, Asaf matana Yosafat, Yosafat matana Yoram, Yoram matana Usia, Usia matana Yotam, Yotam matana Ahas, Ahas matana Heskia, Heskia matana Manase, Manase matana Amos, Amos matana Yosias, Yosias matana Yekonya dènge ari na, lodꞌo babège si asa Babel.","Soleman matana Rehabeam, Rehabeam matana Abia, Abia matana Asaf, Asaf matana Yosafat, Yosafat matana Yoram, Yoram matana Usia, Usia matana Yotam, Yotam matana Ahas, Ahas matana Heskia, Heskia matana Manase, Manase matana Amos, Amos matana Yosias, Yosias matana Yekonya dènge ari na, lodꞌo babège si asa Babel."
MAT 1:12-16,"Setelah pembuangan ke Babel, Yekhonya adalah ayah dari Sealtiel. Sealtiel adalah ayah dari Zerubabel. Zerubabel adalah ayah dari Abihud. Abihud adalah ayah dari Elyakim. Elyakim adalah ayah dari Azor. Azor adalah ayah dari Zadok. Zadok adalah ayah dari Akhim. Akhim adalah ayah dari Eliud. Eliud adalah ayah dari Eleazar. Eleazar adalah ayah dari Matan. Matan adalah ayah dari Yakub. Yakub adalah ayah dari Yusuf, suami Maria. Maria melahirkan Yesus, yang disebut Kristus.","Lodꞌo babège si asa Babel, toke dꞌai rara iisi Yesus, abhu 14 (canguru èpa) bèi-baki, nuka: Yekonya matana Saltiel, Saltiel matana Serubabel, Serubabel matana Abihut, Abihut matana Elyakim, Elyakim matana Asor, Asor matana Sadok, Sadok matana Akim, Akim matana Eliut, Eliut matana Eliasar, Eliasar matana Matan, Matan matana Yakob, Yakob matana Yusuf, Yusuf ne, dhèu èmu Maria. Maria ne ka dhu nara iisi Yesus Kristus.","Lodꞌo babège si asa Babel, abhu 14 (canguru èpa) bèi-baki, nuka: Yekonya matana Saltiel, Saltiel matana Serubabel, Serubabel matana Abihut, Abihut matana Elyakim, Elyakim matana Asor, Asor matana Sadok, Sadok matana Akim, Akim matana Eliut, Eliut matana Eliasar, Eliasar matana Matan, Matan matana Yakob, Yakob matana Yusuf, dhèu èmu Maria. Maria ne ka dhu nara iisi Yesus Kristus."
MAT 1:17,"Jadi, semua keturunan dari Abraham sampai Daud ada empat belas keturunan, dan dari Daud sampai pembuangan ke Babel ada empat belas keturunan, dan dari pembuangan ke Babel sampai Kristus ada empat belas keturunan.","De karèi nèti Abraham toke Daud, abhu 14 (canguru èpa) bèi-baki; nèti Daud toke lodꞌo ra babège si asa Babel abhu 14 (canguru èpa) bèi-baki; aa nèti lodꞌo ra babège si asa Babel dꞌai Maria nara iisi Yesus, abhu 14 (canguru èpa) bèi-baki.","Sasoa na, bèi-baki èdhi dhu jꞌajꞌi ana-èpu na, canguru èpa suku. Karèi nèti Abraham toke dhèu aae Daud, dhèu aae Daud toke dhèu parcaya rèti si asa Babel, canguru èpa suku. Aa karèi nèti dhèu parcaya rèti si asa Babel, toke dhèu pajꞌujꞌu ngiꞌu aae Kristus, canguru èpa suku."
MAT 1:18,"Sekarang, kelahiran Kristus Yesus adalah seperti berikut. Ketika Maria, ibu-Nya sudah bertunangan dengan Yusuf, sebelum mereka hidup bersama, dia ternyata mengandung dari Roh Kudus.","Lii lolo Maria nara iisi Yesus sèmi neꞌe ka: Maria dhu tunanga le dènge Yusuf. Dua ra paꞌèci rèdhi mèka sama sèmi dhèu èmu-kamali, te ngaa teꞌa boe na, Maria dhu dènge le babia nèti Roh Ama Lamatua dhu Mola-Mèci.","Lii lolo Maria nara iisi Yesus sèmi neꞌe ka: Maria dhu tunanga le dènge Yusuf. Dua ra paꞌèci rèdhi mèka, te ngaa teꞌa boe na, Maria dhu dènge le babia nèti Roh Lamatua dhu Mola-Mèci."
MAT 1:19,"Namun, Yusuf, suaminya, adalah orang yang benar dan tidak mau mempermalukan Maria di muka umum, sehingga dia bermaksud untuk membebaskan Maria secara diam-diam.","Ropa Yusuf neꞌa, ka na neo pamaꞌète lii rèngu dua ra. Te ngaa na dꞌèi boe pamakae Maria ètu madha dhèu ae, lula nèngu ne ca dhèu dhu dꞌara mola. Nèti èèna ka, na neo pamau eele lii rèngu ne.","Yusuf ne, dhèu dꞌara mola. Na dꞌèi boe pamakae Maria ètu madha dhèu ae. Nèti èèna ka, na neo pamaꞌète neo patabuli eele ne."
