src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
at the first god made the heaven and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,2.1238,-0.425,0.2908
and the earth was waste and without form; and it was dark on the face of the deep: and the spirit of god was moving on the face of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa rai-haha ne jꞌajꞌi mèu-mèu ètu dedha-liru. Aa Roh Ama Lamatua ètu dedha-liru ètu dedha-liru.","Aa Rai-haha ne j'aj'i mola, aa aad'o rupa; aa maroga ètu rohu marèma: aa Roh Ama Lamatua eso ètu rohu èi.",,eng,nfa,English,Dhao,3.6857,0.1479,2.0066
"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Hudꞌi laa!"" Èle èèna ka, heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka.","Dènge Ama Lamatua peka, ""Hud'i saraa!"" Dènge saraa j'aj'i.",,eng,nfa,English,Dhao,20.3341,14.1486,16.4981
"and god, looking on the light, saw that it was good: and god made a division between the light and the dark,","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe-leru, ka ladhe-leru ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌajꞌèra èci dènge èci, èci dènge èci.","Èle èèna ka, Ama Lamatua ladhe-leru samaa, ka ladhe-leru ne beꞌa. Hèia Ama Lamatua ma'ète samaa dènge maroga.",,eng,nfa,English,Dhao,-0.3251,1.5683,1.4468
"naming the light, day, and the dark, night. and there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Na hagꞌe nare lii padhai Na, ""Dhèu."" Hèia Na hagꞌe nare hari, aa Na hagꞌe nare hari.","Na paroa samaa, lod'o, dènge maroga, mèda. Hèia ètu nihia dènge ètu madae, ka-èci lod'o.",,eng,nfa,English,Dhao,8.0577,10.8632,10.5952
"and god said, let there be a solid arch stretching over the waters, parting the waters from the waters. and god made the arch for a division between the waters which were under the arch and those which were over it: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Sèmi neꞌe, jaꞌa neo pajꞌujꞌu èèna, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi."" Èle èèna ka, Ama Lamatua pajꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi.","Èle èèna ka, Ama Lamatua peka, ""Sèmi ne'e, ja'a neo j'aj'i hahusu adhu sèna ka manyèba ètu dedha èi, sèna ka ma'ète èi ngèti èi."" Èle èèna ka, Ama Lamatua tao hahusu nèi sèna ka ma'ète ètu talora èi dhu ètu haha hahusu nèi dènge dhu ètu dedha nèi. Dènge j'aj'i sèmi nèi.",,eng,nfa,English,Dhao,4.0385,4.5141,4.5991
"and god gave the arch the name of heaven. and there was evening and there was morning, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aae rai-haha ne, ngara Na, 'Dhèu Aae'. Èle èèna ka, madꞌae. Èle èèna ka, bèli-camèdꞌa. Èle èèna ka, bèli-camèdꞌa.","Dènge Ama Lamatua hia hahusu ne ngara liru. Èle èèna ka, èle nihia dènge èle madae, ka-dua lod'o.",,eng,nfa,English,Dhao,3.5578,3.9757,3.8155
"and god said, let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka.""","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa èi dhu ètu haha liru jꞌajꞌi ètu era èci, dènge rai mango j'aj'i bhodho."" Dènge j'aj'i sèmi nèi.",,eng,nfa,English,Dhao,8.2948,5.5126,7.0741
and god gave the dry land the name of earth; and the waters together in their place were named seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua ladhe-leru.","Dènge Ama Lamatua pangare rai mango ne, 'Rai'. Dènge èi aa'i ètu era rèngu pangare ne, 'Dhasi'. Dènge Ama Lamatua ladhe te iia.",,eng,nfa,English,Dhao,1.2063,1.7344,1.9537
"and god said, let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""J'aj'i j'u'u muri ètu rai, aa ana-aj'u hua hini, aa aj'u hua hia hua, ètu nèngu hini, sèmi nèngu rupa."" Hèia j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,7.7062,3.6574,5.1072
