source_text,interlinear_gloss,target_text
Start from Rika,began from Rika,mulai nèti Rika
and Jote,with Jote,dènge Jote
Rika,Rika PROX.SG,Rika ne'e
She was at the west part,3SG LOC tip west,nèngu ètu suu haa
in this area,public PROX.SG,kabarai ne'e
Jote was at the east part in the area,Jote 3SG LOC east tip territory PROX.SG,Jote nèngu ètu dhimu suu rai ne'e
Pesa Kèli was in the middle,west Pesa.Kèli 3SG LOC middle,haa Pesa.Kèli nèngu ètu talora
when Pesa Kèli came from Sawu,time name name come from Sawu,waktu Pesa Kèli mai ti Sahu
"When seeing Rika, he was afraid so he left to hide in a cave",shadow Rika PART 3SG afraid PART 3SG go-3SG hide hole cave,sanabhu Rika ka nèngu madha'u ka nèngu la-'e lu'u ro'a loe
"so he could not seek any food, so he asked for food from an eagle",PART 3SG can no look.for DUP-1PL.ex.eat PART 3SG ask hawk,ka nèngu bisa boe tenge nga-nga'a ka nèngu manèngi manea
seek food and drinks for him,look.for DUP-1PL.ex.eat give 3SG for(IND) 3SG-eat with 3SG drink,tenge nga-nga'a hia nèngu untuk n-a'a dènge na inu
Rika thought that perhaps he lived alone in this island,Rika PROX.SG 3SG PA-think PART 3SG only alone 3SG LOC public PROX.SG,Rika ne nèngu pa-ngee na nèngu di mesa na ètu kabarai ne'e
"and Jote also thought so, but he also",PART Jote too tihnk PART like DIST.SG PART but 3SG also(IND),ha Jote pun pa-ngee na sèmi èèna ka te nèngu pun
at the east and west part,LOC tip with tip east with west,ètu suu dènge suu dhimu dènge haa
one day Rika went to the beach,a day again PART Rika go-3SG sea,ca lod'o hari ka Rika la-'e dhasi
at the beach she saw,go-3SG sea PART 3SG-see,la-'e dhasi ka n-èdhi
Jote is,Jote PROX.SG,Jote ne'e
at in the eastern part of the beach,LOC tip sea east,ètu suu dhasi dhimu
"she said, oh",according.to 3SG.CL ow,aku na hea
"a person is there, I think that I am alone on this island",person one PART REM.SG 1SG think 3SG 1SG only alone LOC island PROX.SG,dhèu èci ka nèi ja'a ngee na ja'a di mesa ètu kabarai ne'e
"in fact, there is a person there, too",what person one PART REM.SG also,ngaa dhèu èci ka nèi hèi
then he tried to approach,then 3SG try(IND) PART PA-approach,hèia nèngu usaha ka pa-dètu
"approach, then he came",PA-approach PART come until,pa-dètu ka mai rare
"approach, then",PA-approach then,pa-dètu hèia
"she asked him, ""friend, you""",3SG ask accoding.to 3SG friend PART 2SG,nèngu karèi aku nèngu angalai e èu
what do you get?,2SG 2SG-take what,èu m-ore ngaa
"""I get nothing"". Then, they went back as it was low tide'",1SG.take not DUP- what then 3PL return sea high.tide,kore boe ngaa-ngaa hèia rèngu lèpa dhasi joro
When they came to the beach and saw what they have got,descen come land PART come care for,puru mai dae ka mai leru osa
they both came,come PART 3PL two 3PL,mai ka rèngu dua ra
while watching their fish. they had a talk,RECP-care.for PART harvest PART 3PL two 3PL RECP-tell,pa-leru ka osa ka rèngu dua ra pa-peka
"Hi friend, I think I am alone on this island",friend part 1SG shall PART 1SG only alone 1SG LOC island,angaa e ja'a neo la ja'a di mesa ku ètu kabarai
"in this land. In fact you, too, friend",territory PROX.SG friend part what you that that then,rai ne'e angalai e ngaa èu dhu kèna hèia
"and he said,",PART say,ha aku
"as Rika said, I also think that I am alone, too",1SG just alone 1SG.CL also,ja'a di mesa ku kahèi
"but in fact you are there, too",what 2SG REL PART DIST.SG also,ngaa èu dhu ka èèna kahèi
"he said, ""if so, let us visit our house""",according.to 3SG if like DIST.SG 1PL.in RECP-visit house,aku nèngu kalau sèmi èèna èdhi pa-ngad'o èmu
visit each other's house and see whose house is the oldest one,RECP-visit house so.that house who house old,pa-ngad'o èmu ho èmu cee èmu dhui
means that he is the one who stays longer,PART 3SG person REL long.time,na nèngu dhèu dhu nèbhu
Rika,Rika PART,Rika e
"Jote came home, and went",Jote go-3SG house PART go-3SG,Jote la-'e èmu ka la-'e
to fumigate his house to be black,fumigate house PART CAUS-black,sanu èmu ka pa-mèdhi
Rika was also so. He went to fumigate his house to be black,Rika too like DIST.SG again go-3SG house PART go-3SG fumigate CAUS-black house,Rika pun sèmi èèna kahèi la-'e èmu ka la-'e sanu pa-mèdhi èmu
when they both,time two 3PL,lod'o dua ra
visit each other,one RECP-visit one,èci pa-ngad'o èci
"Rika visited earlier and he said, ""it is right, friend""",Rika go-3SG formerly PART go-3SG say 3SG PART right friend,Rika la-'e uru ka la'e aku na ee tare'a angalai
"he is the earliest, because his house is black now",long.time again house REL black pitch.black PART,nèbhu kahèi èmu dhu mèdhi guru-guru nga
"tomorrow, you may visit my house, friend",EXCL PART tomorrow Go-2SG visit 1SG friend,ha na bèli la-mu ngad'o ja'a angalai
"than, the next day Jote visited Rika",PART tomorrow 3SG PART Jote come visit Rika,ka bèli na ka Jote mai ngad'o Rika
