source_word,target_word,pos
a,ca,num
a bunch,sagèri,n
a galaxy of,maho,vi
a moment,diki,adv
a part of,hag'e,n
a piece,lai,n
about,ele.boe,adv
maybe,ele.boe,adv
above,dedha,adv
absolutely right,tare'a-re'a,vi
abundant result,sobhu-sobhu,adv
add,tabha,v
add,taba,vi
adhere,kaj'èpe,v
adhere,tai,v
adhere,tapa,vt
adhere,tape,vt
patch on,tape,vt
ador,hèu,n
advice,holonori,n
advise,holo,vt
afoot,pakeko,v
afoot,kalau,vi
afraid,madha'u,vi
after that,èle ka,cnj
after,tare,cnj
until,tare,cnj
afternoon,lod'o nihia,n
afternoon,nihia,n
afterwards,heka,cnj
afterwards,hèia,cnj
again,hari,adv
again,kahèi,adv
aging,ruku,vi
aglow,heo,v
aglow,karoo,v
agree,pare'a,vt
agree,pase,v
match,pase,v
agree,ngètu,vi
nod,ngètu,vi
aha,ha,PART
all,aa'i,adv
all,rarahai,adv
all,teme-teme,adv
all,hua,Qnt
all at once,kaca'a,adv
almost,ita,adv
almost,oe,TAM
alone,mesa,Qnt
already,èle,adv
also,hèi,adv
also,seka hèi,adv
although,masi,cnj
although,masi ka,cnj
amused,capag'ili,vi
anchor,tangad'a,n
anchor,panahu,vi
and,aa,cnj
angry,nasa,v
angry,kacèla,vi
angry,gagai,vt
angry,tao,vt
angry,tao,adv
animal,badha,n
ankle,gage,n
ant,kikidui,n
a pack,kètu,n
apparatus box,rog'a,n
appear,bhodho,vi
appearance,rupa,n
appropriate,lèke,vi
be right,lèke,vi
be touched,lèke,vi
April,Nyale Kole,n
arc,hahusu,n
areca nut,hènyi,n
around,rai reo,vi
arouse,parèi,vt.
arrive,tuu,v.
arrive,tu,vi.
arrogant,koaao,v.
arrow,kataki,vt.
shoot with arrow,kataki,vt.
as,sèmi,prep.
a section,madha,n.
ashamed,makae,vi.
ask,karèi,v.
ask,manèngi,v.
ask,mangao,v.
ask,bari,v.
inquire,bari,v.
aslant,pasoro,—
asphyxia,bèja,vi.
assist,batu,v.
assist,tulu,v.
at close guaters,pahèdhe,n.
at,ètu,prep.
on,ètu,prep.
in,ètu,prep.
at the moment,rapa,cnj.
August,Isi Nèta,n.
aunt,ti'i,n.
auntie,teto,n.
awake,rèmi,vi.
ax,kataka,n.
back,kabodho,n.
bad,aapa,adj.
bad,karehe,adj.
bad odor,hèu bhobho,n.
bail,uusu,v.
bail,dhui,vt.
bait,ani,v.
feed,ani,v.
bake,bhubhu,vt.
balance,bhare,vi.
bamboo,kalaiyèu,n.
ban,pasaseo,vt.
banana,mu'u,n.
bangle,rate,n.
banyan,kabunu,n.
baptize,sarani,vi.
bargain,tihe,v.
base,hui,n.
astern,hui,n.
basket,soe,n.
bat,lai balu mèdi,n.
bat,ni'i,n.
bathe,diu,v.
bayan,madhiri,n.
be able,nia,adv.
be able to,mèke,v.
be broken,masèka,vi.
be careful,paiie,adv.
be cold,maho,vi.
be mine,panyau,vt.
beach,cucu mata,n.
beach,namo,n.
beach,nebhe,n.
beach,tataa,n.
beak,panutu,n.
bear,tago,v.
beat,hake,vt.
beautiful,saraga,adj.
because,lula,cnj.
because,ngèti,cnj.
because,te,cnj.
become,j'aj'i,vi.
bed,koi,n.
bee,oni,n.
behind,kabodho,n.
believe,lèka,v.
belly,d'èlu,n.
belly,kabake,n.
below,haha,adj; n.
belt,dhari.hake,n.
bench,bagu,n.
bequeath,pahu'a,v.
bet,patèka,v.
betel,kanana,n.
bettel-nut container,kapepe,n
bettel-nut container,nana,n
bicycle,sapeda,n
big,dhèbo,adj
big,kapai,adj
big palm container,sabha dhau,n
big (wood),dèbho,adj
bind,iu,vt
bind,tanu,vt
bind,uj'u,vt
bird,manubhui,n
bird sound,kaoo-kaoo,v
bird cage,rèda,n
bite,kadhi,v
bite,tèpu,v
black,mèdi,adj
bleat,kabee,vi
blind,poke,n
blind,bèdhu,vi
blister,kahèu,vi
block,babaa,n
block,abhe,v
hinder,abhe,v
shelter,abhe,v
blood,raa,n
bloom,mare,n
bloom,mare,vi
blossom,hela,n
blow,tiu,vt
blow,tiu,vi
blow,tabhe,vt
hit,tabhe,vt
blowpipe,pupu,n
blunt,topo,adj
board,papa,n
board game,loko,n
boat,ana rajo,n
boat,balu₁,n
boat,koha,n
body,isi,n
body,ngi'u,n
body,ua,n
boil,nasu,v
boil,hare'a,vi
boil water,pai,vt
bold,bani,vi
bolster pillow,nanèlu tabolo,n
bone,rui,n
bop on head,deu,vt
bored,roca,vi
borne,mora iisi,vt
bother,laleko,vt
bottle,boto,n
bow,kaduru,n
bow down,cudu,vi
box,kotak,n
boy,lai ag'o,n
brace,kakai,n
bracelet,kanau,n
brain,kahadhu,n
pregnant,kahadhu,n
brain,kahadhu,v
pregnant,kahadhu,v
branch,dadana,n
branch,kajari,n
branch,kalai,n
branch,kamaki,n
branch,saga,n
brass,riti,n
brave,bani,vi
brazing,tabaga,n
break,lèku,v
breath,ae₂,v
breed,bèba,v
expand,bèba,v
bridewealth,kabua,n
bridge,kalete,n
bridge,kalete,v
bridle,rarapa,n
bring,tèti,vt
bring,todhe,vt
bring,kèti,vt
bring,mèti,vt
bring,nèti,vt
bring,ngèti,vt
bring,rèti,vt
broken,mae,v
broken,laho,vi
broken,padhe,vi
broken,ciu,vt
brother in law,kera,n
brush,seka,v
bullet,pelor,n
bullet,isi,n
volume,isi,n
hook,isi,n
burden,babia,n
burglar,mana'u,v
burn,tunu,v
burnt,kèpu,vi
burst out,uuku-uuku,adv
burst out,pake'e,adv
bury,dhènu,v
bury,padhane,vt
busy,rarepo,v
busy,repo,v
but,"tèngaa, te",conj
butchered,roro,vt
butt,tèbhu,vt
butterfly,kabeba,n
buy,hèli,v
cackle,koko oko,v
cackle,kokoredo,vi
cage,karogo,n
call,paroa,vt
call,lii,v
speak,lii,v
calm,marèngi,n
cambium,kahètu,n
can,balee,n
candle,lili₁,n
candlenut,kamia,n
capital,kapua,n
capital,poko,n
captain,kapatei,n
car,oto,n
care for,leru,vt
see,leru,vt
carry,hue,v
carry,jèru,v
carry,pasae,v
carry,dui,vt
