"languageCode","translationId","languageName","languageNameInEnglish","dialect","homeDomain","title","description","Redistributable","Copyright","UpdateDate","publicationURL","OTbooks","OTchapters","OTverses","NTbooks","NTchapters","NTverses","DCbooks","DCchapters","DCverses","FCBHID","Certified","inScript","swordName","rodCode","textDirection","downloadable","font","shortTitle","PODISBN","script","sourceDate"
"eng","engamp","English","English","American","eBible.org","The Amplified Bible (2015)","The Amplified Bible in English, 2015 edition","False","Copyright © 2015 The Lockman Foundation","2018-12-16","http://eBible.org/engamp/","39","929","23145","27","260","7958","0","0","0","ENGAMP","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","engampeb","00025","ltr","False","FreeSerif","Amplified Bible 2015","","Latin","2020-11-30"
"eng","engaoi","English","English","","ebible.org","Anindilyakwa English Bible","Portions of the Holy Bible in English easy for Anindilyakwa speakers in Australia to understand.","True","Copyright © 2021 Bible Society Australia","2021-11-23","http://ebible.org/engaoi/","2","54","1485","4","41","1472","0","0","0","ENGAOI","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engaoi2021eb","","ltr","True","DejaVu Serif","Anindilyakwa English Bible","","Latin","2021-11-24"
"eng","eng-asv","English","English","Archaic American","ebible.org","American Standard Version (1901)","The American Standard Version of the Holy Bible, first published in 1901.","True","public domain","2024-07-13","http://ebible.org/eng-asv/","39","929","23145","27","260","7957","0","0","0","ENGASV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engASV1901eb","00025","ltr","True","Gentium","American Standard Version (1901)","978-1-5313-0210-8","Latin","2024-07-13"
"eng","engasvbt","English","English","Archaic American","ebible.org","American Standard Version Byzantine Text","The Holy Bible with Apocrypha, American Standard Version conformed to the Byzantine Text New Testament","True","public domain","2024-07-13","http://ebible.org/engasvbt/","39","929","23145","27","260","7953","18","216","6744","ENGABT","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engasvbt2021eb","","ltr","True","DejaVu Serif","ASV Byzantine Text","","Latin","2024-07-13"
"eng","engBBE","English","English","simple British","ebible.org","Bible in Basic English","The Bible in Basic English","True","public domain","2020-04-17","http://ebible.org/engBBE/","39","929","23145","27","260","7957","0","0","0","ENGBBE","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engBBE1964eb","03222","ltr","True","Gentium","Bible in Basic English","978-1-5313-0221-4","Latin","2018-08-29"
"eng","eng-Brenton","English","English","archaic British","ebible.org","Brenton Septuagint Translation","Translation of the Greek Septuagint into English by Sir Lancelot Charles Lee Brenton","True","public domain","2023-09-21","http://ebible.org/eng-Brenton/","37","921","22970","0","0","0","16","196","6034","ENGBRE","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engBrent1851eb","03222","ltr","True","Gentium Plus","Brenton English Septuagint","978-1-5313-0209-2","Latin","2023-09-21"
"eng","engbsb","English","English","","ebible.org","Berean Standard Bible","The Holy Bible in English: Berean Standard Bible","True","public domain","2024-07-13","http://ebible.org/engbsb/","39","929","23145","27","260","7941","0","0","0","ENGBSB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engbsb2020eb","","ltr","True","DejaVu Serif","English Berean Standard Bible","","Latin","2024-07-13"
"eng","engDBY","English","English","archaic British","ebible.org","Darby Translation","The Holy Scriptures, a New Translation from the Original Languages by J. N. Darby","True","public domain","2019-11-15","http://ebible.org/engDBY/","39","929","23145","27","260","7954","0","0","0","ENGDBY","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engDBY1884eb","00025","ltr","True","Gentium","Darby Translation","978-1-5313-0222-1","Latin","2019-11-16"
"eng","engDRA","English","English","archaic American","ebible.org","Douay-Rheims 1899","The Holy Bible in English, Douay-Rheims American Edition of 1899, translated from the Latin Vulgate","True","public domain","2022-11-03","http://ebible.org/engDRA/","39","937","23487","27","260","7951","7","137","4373","ENGDRV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engDRA1899eb","03222","ltr","True","Gentium","Douay-Rheims 1899","978-1-5313-0223-8","Latin","2022-11-03"
"eng","engemtv","English","English","","ebible.org","English Majority Text Version","The New Testament, English Majority Text Version","True","Copyright © 2014 Dr. Paul W. Esposito","2020-12-20","http://ebible.org/engemtv/","0","0","0","27","260","7954","0","0","0","ENGEMTV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engemtveb","","ltr","True","DejaVu Serif","English Majority Text Version","","Latin","2021-11-30"
"eng","engerv","English","English","American","ebible.org","Easy-to-Read Version","The Holy Bible, Easy-to-Read Version","False","Copyright © 1987, 1999, 2006 Bible League International","2018-08-30","http://ebible.org/engerv/","39","929","22826","27","260","7901","0","0","0","ENGERV","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","engerv2006eb","00025","ltr","True","DejaVu Serif","Easy-to-Read Version","","Latin","2018-08-30"
"eng","engf35","English","English","American","ebible.org","The New Testament with Commentary","The New Testament with Commentary according to Family 35, 2nd Edition","True","Copyright © 2016 Wilbur N. Pickering, ThM, PhD","2024-07-13","http://ebible.org/engf35/","0","0","0","27","260","7953","0","0","0","ENGF35","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engf35eb","","ltr","True","DejaVu Serif","Family 35 NT","","Latin","2024-07-13"
"eng","engfbv","English","English","American","ebible.org","Free Bible Version","The New Testament and Psalms in the Free Bible Version translation in American English","True","Copyright © 2018 Dr. Jonathan Gallagher","2024-07-13","http://ebible.org/engfbv/","39","929","23145","27","260","7959","0","0","0","ENGFBV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engfbv2018eb","00025","ltr","True","DejaVu Serif","Free Bible Version","","Latin","2024-07-13"
"eng","eng-glw","English","English","American","ebible.org","God's Living Word","God's Living Word—a translation of John and John's Letters into modern English","True","Copyright © 1996 Michael Paul Johnson","2018-08-24","http://ebible.org/eng-glw/","0","0","0","4","28","1012","0","0","0","ENGGLW","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engGLW1996eb","00025","ltr","True","Gentium","God's Living Word","978-1-5313-0211-5","Latin","2018-08-24"
"eng","enggnv","English","English","Old","ebible.org","Geneva Bible 1599","The Geneva Bible in Old English of 1599","True","public domain","2024-03-16","http://ebible.org/enggnv/","39","929","23137","27","260","7953","0","0","0","ENGGNV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","enggnv1599eb","","ltr","True","DejaVu Serif","Geneva Bible 1599","","Latin","2024-03-16"
"eng","enggw","English","English","American","ebible.org","GOD'S WORD","The Holy Bible in English: GOD'S WORD translation","False","Copyright © 1995, 2003, 2013, 2014, 2019, 2020 God’s Word to the Nations Mission Society, Inc.","2023-09-19","http://ebible.org/enggw/","39","929","23141","27","260","7943","0","0","0","ENGGWG","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","enggw2020eb","","ltr","True","DejaVu Serif","English: GOD'S WORD","","Latin","2022-12-14"
"eng","engjps","English","English","American","ebible.org","JPS TaNaKH 1917","The Jewish Bible (Old Testament) in English, published by the Jewish Publication Society in 1917","True","public domain","2023-09-19","http://ebible.org/engjps/","39","929","23145","0","0","0","0","0","0","ENGJPS","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engjps1917eb","","ltr","True","DejaVu Serif","JPS TaNaKH 1917","","Latin","2021-11-30"
"eng","eng-kjv","English","English","archaic British","ebible.org","King James Version + Apocrypha","The King James Version or Authorized Version of the Holy Bible, using the standardized text of 1769, with Apocrypha/Deuterocanon","True","public domain","2023-05-10","http://ebible.org/eng-kjv/","39","929","23145","27","260","7957","14","173","5720","ENGKJA","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engKJV1769eb","03222","ltr","True","Gentium","King James Version + Apocrypha","978-1-5313-0212-2","Latin","2023-08-02"
"eng","eng-kjv2006","English","English","archaic British","ebible.org","King James (Authorized) Version","The King James Version or Authorized Version of the Holy Bible, using the standardized text of 1769, protocanon only, with Strong's numbers added.","True","public domain","2023-08-02","http://ebible.org/eng-kjv2006/","39","929","23145","27","260","7957","0","0","0","ENGKJV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engKJV2006eb","03222","ltr","True","Gentium","King James Version","978-1-5313-0213-9","Latin","2023-08-02"
"eng","engkjvcpb","English","English","","ebible.org","KJV Cambridge Paragraph Bible","The King James Version or Authorized Version of the Holy Bible, Cambridge Paragraph Bible edition","True","public domain","2020-12-20","http://ebible.org/engkjvcpb/","39","929","23145","27","260","7957","14","172","5720","ENGCPB","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engkjvcpbeb","","ltr","True","DejaVu Serif","KJV Cambridge Paragraph","","Latin","2021-11-30"
"eng","englee","English","English","archaic British","ebible.org","Isaac Leeser Tanakh","The Isaac Leeser Tanakh (Jewish Bible)","True","public domain","2020-10-14","http://ebible.org/englee/","39","929","23145","0","0","0","0","0","0","ENGLEE","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","englee1853eb","","ltr","True","DejaVu Serif","Leeser Tanakh","","Latin","2019-10-25"
"eng","englsv","English","English","American","eBible.org","Literal Standard Version","The Holy Bible in English, Literal Standard Version","True","Copyright © 2020 Covenant Press","2024-07-13","http://eBible.org/englsv/","39","929","23145","27","260","7959","0","0","0","ENGLSV","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","englsv2020eb","00025","ltr","True","DejaVu Serif","English LSV","","Latin","2024-07-13"
"eng","eng-lxx2012","English","English","American","ebible.org","LXX2012: Septuagint in American English 2012","The Septuagint with Apocrypha, translated from Greek to English by Sir Lancelot C. L. Brenton and published in 1885, with some language updates (American English)","True","public domain","2024-04-17","http://ebible.org/eng-lxx2012/","39","930","22876","0","0","0","15","175","5449","ENGLXX","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engLXX2012eb","00025","ltr","True","DejaVu Sans","LXX2012 U. S. English","978-1-5313-0214-6","Latin","2024-04-17"
"eng","englxxup","English","English","Mixed","ebible.org","Updated Brenton English Septuagint","Spelling and formatting update of the Brenton English Septuagint with Apocrypha","True","public domain","2020-07-17","http://ebible.org/englxxup/","36","908","22561","0","0","0","16","196","6034","ENGBOY","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engbrentupeb","","ltr","True","DejaVu Serif","Updated Brenton English Septuagint","","Latin","2021-11-30"
"eng","engnasb","English","English","American","eBible.org","New American Standard Bible","New American Standard Bible (1995)","False","Copyright © 1960, 1962, 1963, 1968, 1971, 1972, 1973, 1975, 1977, 1995 The Lockman Foundation, La Habra, Calif.","2018-12-13","http://eBible.org/engnasb/","39","929","23145","27","260","7958","0","0","0","ENGNAS","False","http://inscript.org/?v1=GN1_1&w1=bible&t1=local%3A","engnasbeb","00025","ltr","False","DejaVu Serif","NASB 1995","","Latin","2021-07-21"
"eng","engnet","English","English","American","ebible.org","NET Bible","NET Bible®, New English Translation (NET)","True","Copyright © 1996-2016 Biblical Studies Press, L. L. C.","2021-05-19","http://ebible.org/engnet/","39","929","23145","27","260","7957","0","0","0","ENGNET","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engNET2016eb","00025","ltr","True","Gentium Plus","NET Bible","978-1-5313-0793-6","Latin","2022-09-05"
"eng","engnna","English","English","","ebible.org","Nyangumarta English Bible","Portions of the Holy Bible in English, translated to be a companion to the Nyangumarta Bible","True","Copyright © 1980-2010 Wycliffe Bible Translators, Inc.","2020-12-20","http://ebible.org/engnna/","8","50","756","18","55","622","0","0","0","ENGNNA","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engnna2010eb","","ltr","True","DejaVu Serif","Nyangumarta English Bible","","Latin","2020-04-07"
"eng","engnoy","English","English","archaic British","ebible.org","George Noyes Bible","The Holy Bible, translated into English by George Noyes (1869)","True","public domain","2019-10-24","http://ebible.org/engnoy/","22","493","10275","27","260","7956","0","0","0","ENGNOY","True","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engnoy1869eb","","ltr","True","DejaVu Serif","Noyes Bible","","Latin","2019-10-25"
"eng","engoebcw","English","English","","ebible.org","Open English Bible (Commonwealth Spelling)","The Holy Bible, Open English Bible translation, with Commonwealth spelling","True","public domain","2024-07-13","http://ebible.org/engoebcw/","15","231","3763","27","260","7959","0","0","0","ENGOE1","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engoebcweb","03222","ltr","True","Gentium","Open English Bible (Commonwealth)","978-1-5313-0224-5","Latin","2024-07-13"
"eng","engoebus","English","English","","ebible.org","Open English Bible (U. S. spelling)","The Holy Bible, Open English Bible translation, U. S. spelling edition","True","public domain","2024-07-13","http://ebible.org/engoebus/","15","231","3763","27","260","7959","0","0","0","ENGOEB","False","http://eBible.org/study/?v1=GN1_1&w1=bible&t1=local%3A","engoebuseb","00025","ltr","True","Gentium","Open English Bible (US)","978-1-5313-0225-2","Latin","2024-07-13"
