src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
at the first god made the heaven and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
and the earth was waste and without form; and it was dark on the face of the deep: and the spirit of god was moving on the face of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa rai-haha ne jꞌajꞌi mèu-mèu ètu dedha-liru. Aa Roh Ama Lamatua ètu dedha-liru ètu dedha-liru.","Aa rai-haha ne jꞌajꞌi mèu-mèu, aa maroga ètu rohu marèma, aa Roh Ama Lamatua reo ètu dedha-liru.",,eng,nfa,English,Dhao,0.8282,0.1472,1.8013
"and god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Hudꞌi laa!"" Èle èèna ka, heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka heka.","Èle èèna ka, Ama Lamatua peka, ""Hudꞌi saraa!"" Aa saraa.",,eng,nfa,English,Dhao,4.7406,2.2663,7.8667
"and god, looking on the light, saw that it was good: and god made a division between the light and the dark,","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe-leru, ka ladhe-leru ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌajꞌèra èci dènge èci, èci dènge èci.","Èle èèna ka, Ama Lamatua ladhe-leru, ka ladhe-leru ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌajꞌèra samaa dènge maroga.",,eng,nfa,English,Dhao,-0.0958,1.6371,1.4478
"naming the light, day, and the dark, night. and there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Ama Lamatua hagꞌe nare lii padhai Na, peka na, ""Dhèu."" Hèia Na hagꞌe nare lii padhai Na, ""Dhèu."" Hèia Na hagꞌe nare hari, aa Na hagꞌe nare hari.","Na hag'e nare samaa, lod'o, aa maroga, mèda. Aa mèda èci, aa lod'o èci, lod'o ka-èci.",,eng,nfa,English,Dhao,13.9007,19.0137,19.2414
"and god said, let there be a solid arch stretching over the waters, parting the waters from the waters. and god made the arch for a division between the waters which were under the arch and those which were over it: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Sèmi neꞌe, jaꞌa neo pajꞌujꞌu èèna, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi."" Èle èèna ka, Ama Lamatua pajꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi, sèna ka jꞌajꞌi cagꞌagꞌa ètu dedha èi.","Aa Ama Lamatua peka, ""Hudi j'aj'i hahusu ètu dedha èi, sèna ka paj'aj'i hag'e èi ngèti èi."" Aa Ama Lamatua paj'aj'i hahusu sèna ka j'aj'i hag'e ètu teng'a èi sèra ètu ngia hahusu aa sèra ètu dedha nèngu. Aa j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,4.5701,1.7146,2.1237
"and god gave the arch the name of heaven. and there was evening and there was morning, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aae rai-haha ne, ngara Na, 'Dhèu Aae'. Èle èèna ka, madꞌae. Èle èèna ka, bèli-camèdꞌa. Èle èèna ka, bèli-camèdꞌa.","Aa Ama Lamatua pajꞌujꞌu hahusu ne, ngara Na, 'Liru'. Èle èèna ka, madꞌae. Èle èèna ka, bèli-camèdꞌa. Lod'o karua.",,eng,nfa,English,Dhao,1.0584,6.9914,5.8956
"and god said, let the waters under the heaven come together in one place, and let the dry land be seen: and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci. Èle èèna ka.""","Aa Ama Lamatua peka, ""Bèli-camèdꞌa èi dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa bèli-camèdꞌa rai mango tèru."" Aa jꞌajꞌi sèmi neꞌe.",,eng,nfa,English,Dhao,-0.2592,-9.2685,-7.522
and god gave the dry land the name of earth; and the waters together in their place were named seas: and god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu Rai-haha'. Èle èèna ka, Ama Lamatua ladhe-leru.","Èle èèna ka, Ama Lamatua pangare rai-haha ne 'Rai-haha'. Èle èèna ka, ue ne pangare 'Dhasi'. Èle èèna ka, Ama Lamatua ladhe-leru.",,eng,nfa,English,Dhao,-0.3464,-0.5826,-0.8868
"and god said, let grass come up on the earth, and plants producing seed, and fruit-trees giving fruit, in which is their seed, after their sort: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi. Aa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi aaꞌi-aaꞌi."" Hèia jꞌajꞌi sèmi èèna kahèi.","Aa Ama Lamatua peka na, ""Hudi j'u'u j'aj'i ètu rai-haha, aa ana-aj'u pua hini, aa aj'u hua pua hua, ètu rèngu hini, sèmi rèngu rupa."" Aa j'aj'i sèmi èèna kahèi.",,eng,nfa,English,Dhao,7.9479,3.1926,4.7413
"and grass came up on the earth, and every plant producing seed of its sort, and every tree producing fruit, in which is its seed, of its sort: and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, aaꞌi-aaꞌi ètu rai-haha. Aa aaꞌi-aaꞌi ètu dꞌara rai-haha. Aa aaꞌi-aaꞌi ètu dꞌara rai-haha. Aa aaꞌi-aaꞌi ètu dꞌara rai-haha. Aa aaꞌi-aaꞌi ètu dꞌara rai-haha. Aa aaꞌi-aaꞌi ètu dꞌara rai-haha. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi.","Aa j'u'u lari ètu rai-haha, aa aaꞌi-aaꞌi ana-aj'u pahu'a hini sèmi j'aj'i-na, aa aaꞌi-aaꞌi aj'u pahu'a hua, ètu d'ara-na hini-na, sèmi j'aj'i-na: aa Ama Lamatua ladhe-leru, de maboka.",,eng,nfa,English,Dhao,3.2218,8.4768,6.8456
"and there was evening and there was morning, the third day.","ne'e ne, lod'o ka tèlu kèna.","Èle èèna ka, bèli-camèdꞌa madꞌae. Èle èèna ka, bèli-camèdꞌa.","Aa èle èèna ka, bèli-camèdꞌa madꞌae, aa èle èèna ka, bèli-camèdꞌa, lod'o ka-tèlu.",,eng,nfa,English,Dhao,7.5397,21.4658,15.4344
"and god said, let there be lights in the arch of heaven, for a division between the day and the night, and let them be for signs, and for marking the changes of the year, and for days and for years: and let them be for lights in the arch of heaven to give light on the earth: and it was so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, ""Hudꞌi laa! Ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci lodꞌo dènge mèda. Ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci lodꞌo dènge lodꞌo, lodꞌo dènge lodꞌo. Ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci dènge rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.","Aa Ama Lamatua peka, ""Hud'i laa! Ladhe abhu saraa ètu dedha-liru, sèna ka paꞌèci lodꞌo dènge mèda. Aa hud'i nèngu-nèngu j'aj'i dhana, aa sèna ka paꞌèci uba tèu, aa sèna ka j'aj'i lod'o dènge tèu. Aa hud'i nèngu-nèngu j'aj'i saraa ètu dedha-liru sèna ka hia saraa ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,10.7044,3.5423,2.5556
"and god made the two great lights: the greater light to be the ruler of the day, and the smaller light to be the ruler of the night: and he made the stars.","ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi.","Èle èèna ka, Ama Lamatua pajꞌajꞌi labhu dua dhu kapai. Lamatua pajꞌajꞌi labhu dhu kapai, sèna ka paredha lodꞌo, aa labhu dhu kapai, sèna ka paredha lodꞌo. Aa Lamatua pajꞌajꞌi hari labhu dhu kapai, sèna ka paredha lodꞌo. Aa Lamatua pajꞌajꞌi hari labhu dhu kapai, sèna ka paredha lodꞌo. Aa Lamatua pajꞌajꞌi hari labhu dhu kapai, sèna ka paredha lodꞌo.","Èle èèna ka, Ama Lamatua pajꞌajꞌi labhu dua dhu kapai: labhu dhu kapai sèna ka paredha lodꞌo, aa labhu dhu kici sèna ka paredha mèda. Aa Ama Lamatua pajꞌajꞌi hari hua hètu.",,eng,nfa,English,Dhao,3.3782,3.6122,5.819
"and god put them in the arch of heaven, to give light on the earth;","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha.","Èle èèna ka, Ama Lamatua pajꞌujꞌu rai-haha ne ètu dedha-liru, sèna ka jꞌajꞌi saraa ètu rai-haha ne.","Èle èèna ka, Ama Lamatua pajꞌujꞌu ètu dedha-liru, sèna ka jꞌajꞌi saraa ètu rai-haha ne.",,eng,nfa,English,Dhao,2.8222,-1.0473,0.0119
"to have rule over the day and the night, and for a division between the light and the dark: and god saw that it was good.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","sèna ka paredha lodꞌo dènge lodꞌo, sèna ka pamaꞌète aaꞌi mèu-mèu. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi mèu-mèu.","sèna ka paredha lodꞌo dènge mèda, sèna ka pamaꞌète ètu samaa dènge maroga. Èle èèna ka, Ama Lamatua ladhe-leru èèna.",,eng,nfa,English,Dhao,0.8746,4.3114,4.3042
"and there was evening and there was morning, the fourth day.","ne'e ne, lod'o ka èpa kèna.","Èle èèna ka, bèli-camèdꞌa madꞌae. Èle èèna ka, bèli-camèdꞌa lodꞌo ka èpa.","Èle èèna ka madꞌae aa èle èèna ka bèli-camèdꞌa, lodꞌo ka èpa.",,eng,nfa,English,Dhao,2.7811,3.6268,3.3555
"and god said, let the waters be full of living things, and let birds be in flight over the earth under the arch of heaven.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Sèmi neꞌe! Bèli-camèdꞌa dhèu aaꞌi-aaꞌi bisa mamuri ètu dꞌara èi. Bèli-camèdꞌa manu-bhui bisa pakèdꞌi ètu rai-haha ètu dedha-liru.""","Èle èèna ka, Ama Lamatua peka, ""Hudi èi pènu dènge nèia-nèia mamuri, aa hudi manu-bhui pakèdꞌi ètu rai-haha ètu ngèru hahusu dedha-liru.""",,eng,nfa,English,Dhao,-4.0872,-5.8765,-4.9764
"and god made great sea-beasts, and every sort of living and moving thing with which the waters were full, and every sort of winged bird: and god saw that it was good.","ka na tao ka i'a aa'i-aa'i dènge badha kapai dhu mamuri ètu d'ara èi. na paj'aj'i kahèi manu-bhui aa'i-aa'i. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu dꞌara dhasi, dènge badha aaꞌi-aaꞌi ètu dꞌara dhasi, dènge badha aaꞌi-aaꞌi ètu dꞌara dhasi. Aa Ama Lamatua pajꞌajꞌi manu-bhui ètu dꞌara dhasi, aaꞌi-aaꞌi ètu dꞌara dhasi. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi.","Aa Ama Lamatua pajꞌajꞌi badha dhasi ae, dènge badha aaꞌi-aaꞌi ètu dꞌara dhasi pènu, dènge manu-bhui aaꞌi-aaꞌi. Aa Ama Lamatua ladhe-leru, de lèke.",,eng,nfa,English,Dhao,4.2021,-2.5425,-1.0916
"and god gave them his blessing, saying, be fertile and have increase, making all the waters of the seas full, and let the birds be increased in the earth.","ka na padhai lii ho sèna ka hia berkat mi aa'i-aa'i dhu mamuri, peka na, i'a se, hud'i laa bèba-kacanga sèna ka papènu èi ètu mia-mia. aa manu-bhui, asa tabha kahèi.","Èle èèna ka, Ama Lamatua hagꞌe nare lii manèngi-mangajꞌi aaꞌi-aaꞌi ra. Ka Na peka dènge si, aku Nèngu na, ""Bèli-camèdꞌa, hua-hètu aaꞌi-aaꞌi ra jꞌajꞌi aaꞌi-aaꞌi ètu dꞌara dhasi, aa manu-bhui aaꞌi-aaꞌi ra jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha.""","Èle èèna ka, Ama Lamatua hagꞌe nare lii manèngi-mangajꞌi aaꞌi-aaꞌi ra. Ka Na peka dènge si, aku Nèngu na, ""Bèli-camèdꞌa, hua-hètu aaꞌi-aaꞌi ra, jꞌajꞌi pènu aaꞌi-aaꞌi dhasi, aa manu-bhui aaꞌi-aaꞌi ra jꞌajꞌi aaꞌi-aaꞌi ètu rai-haha.""",,eng,nfa,English,Dhao,0.1554,0.5369,0.4202
"and there was evening and there was morning, the fifth day.","ne'e ne, lod'o ka lèmi kèna.","Èle èèna ka, bèli-camèdꞌa madꞌae. Èle èèna ka, bèli-camèdꞌa bèli-camèdꞌa.","aa èle èèna ka, bèli-camèdꞌa, aa èle èèna ka, bèli-camèdꞌa, lod'o mad'ae.",,eng,nfa,English,Dhao,5.8992,12.1539,10.3037
"and god said, let the earth give birth to all sorts of living things, cattle and all things moving on the earth, and beasts of the earth after their sort: and it was so. and god made the beast of the earth after its sort, and the cattle after their sort, and everything moving on the face of the earth after its sort: and god saw that it was good.","ka ama lamatua peka hari, na, hud'i abhu ku rupa-rupa badha dhu mamuri ètu rai-dedha. sèmi: badha-manu dhu ani, badha hui, dènge badha dhu rod'o, èci-èci ka dènge rupa na. ropa padhai lii nare sèmi ne'e, badha aa'i-aa'i ra j'aj'i dènge ka. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi sèra tao rupa-rupa badha aaꞌi-aaꞌi, nuka sèmi badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, badha aaꞌi-aaꞌi, dènge badha aaꞌi-aaꞌi. Èle èèna ka, Ama Lamatua ladhe-leru aaꞌi-aaꞌi.","Èle èèna ka, Ama Lamatua peka na, ""Hudi rai kora iisi rupa-rupa badha mèdhi aaꞌi-aaꞌi, nuka sèmi binatang ternak, dènge badha mèdhi ngee-ngèe ètu rai, dènge binatang buas ètu rai nuka sèmi j'ara-j'ara nèngu."" De j'aj'i sèmi èèna. Èle èèna ka, Ama Lamatua tao binatang buas ètu rai nuka sèmi j'ara-j'ara nèngu, dènge binatang ternak nuka sèmi j'ara-j'ara nèngu, dènge badha mèdhi aaꞌi-aaꞌi ngee-ngèe ètu katanga madha rai nuka sèmi j'ara-j'ara nèngu. Dènge Ama Lamatua ladhe-leru na, èèna mèu.",,eng,nfa,English,Dhao,2.95,3.7684,2.4676
"and god said, let us make man in our image, like us: and let him have rule over the fish of the sea and over the birds of the air and over the cattle and over all the earth and over every living thing which goes flat on the earth.","ka ama lamatua peka hari, aku nèngu na, hua iia, mai ta paj'aj'i dhèu, madhutu rupa èdhi. hud'i laa ra leru dènge ator i'a aa'i-aa'i ètu d'ara dhasi, manu-bhui aa'i-aa'i ètu dedha-liru, badha-manu dhu ani, dènge badha leo aa'i-aa'i ra dhu mamuri ètu rai-haha ne.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Ladhe sèmi èèna, èdhi tao dhèu èci dènge èdhi, nuka sèmi èdhi. Rèngu hudꞌi paredha iꞌa-iꞌa ètu dꞌara dhasi, manu-bhui ètu dedha-liru, dènge badha karuku, dènge aaꞌi-aaꞌi dhu mamuri ètu rai-haha ne, dènge aaꞌi-aaꞌi dhu mamuri ètu rai-haha ne.""","Aa Ama Lamatua peka na, ""Hudi èdhi tao dhèu èci dènge èdhi, nuka sèmi èdhi. Aa hudi Nèngu paredha iꞌa-iꞌa ètu dꞌara dhasi, manu-bhui ètu dedha-liru, dènge badha karuku, dènge aaꞌi rai-haha ne, dènge aaꞌi-aaꞌi dhu mamuri dhu noo-noo mera ètu rai-haha ne.""",,eng,nfa,English,Dhao,2.2044,-3.9714,-2.9287
"and god made man in his image, in the image of god he made him: male and female he made them.","hèia na paj'aj'i dhèu rai-haha ne madhutu rupa na. na paj'aj'i si, dhèu mone dènge dhèu bhèni.","Èle èèna ka, Ama Lamatua pajꞌajꞌi dhèu rai-haha, madhutu dadꞌèi Na. Ama Lamatua pajꞌajꞌi dhèu rai-haha, dhèu mone dènge dhèu bhèni.","Èle èèna ka, Ama Lamatua pajꞌajꞌi dhèu rai-haha, madhutu dadꞌèi Na. Madhutu dadꞌèi Ama Lamatua, ne pajꞌajꞌi nèngu. Dhèu mone dènge dhèu bhèni, ne pajꞌajꞌi nèngu.",,eng,nfa,English,Dhao,-10.346,-4.3977,-6.5941
"and god gave them his blessing and said to them, be fertile and have increase, and make the earth full and be masters of it; be rulers over the fish of the sea and over the birds of the air and over every living thing moving on the earth.","ka na padhai lii ho sèna ka hia berkat mi rèngu, aku nèngu na, miu hud'i bèba-kacanga ku, sèna ka pea papènu rai-haha ne, ho mi ator ne. ja'a hia miu koasa, sèna ka mi ator i'a, manu-bhui, dènge badha-manu aa'i-aa'i ra ètu rai-haha ne.","Èle èèna ka, Ama Lamatua bꞌala si. Hèia Ama Lamatua peka dènge dua ra, aku Nèngu na, ""Bèli-camèdꞌa, miu aaꞌi-aaꞌi mi jꞌajꞌi dhèu aaꞌi-aaꞌi ètu rai-haha ne. Bèli-camèdꞌa miu jꞌajꞌi dhèu aaꞌi-aaꞌi ètu rai-haha ne. Bèli-camèdꞌa miu jꞌajꞌi dhèu aaꞌi-aaꞌi ètu rai-haha ne. Bèli-camèdꞌa miu jꞌajꞌi dhèu aaꞌi-aaꞌi ètu rai-haha ne. Bèli-camèdꞌa miu jꞌajꞌi dhèu aaꞌi-aaꞌi ètu rai-haha ne. Bèli-camèdꞌa miu jꞌajꞌi dhèu aaꞌi-aaꞌi dhu mamuri ètu rai-haha ne.""","Èle èèna ka, Ama Lamatua bꞌala si. Hèia Ama Lamatua peka dènge dua ra, aku Nèngu na, ""Bèli-camèdꞌa, miu jꞌajꞌi dhèu aaꞌi-aaꞌi, aa tao rai-haha ne pènu, aa miu paredha nèngu. Miu paredha i'a ètu dhasi, aa manu-bhui ètu langi, aa sèba-sèba dhu mamuri ètu rai-haha ne.""",,eng,nfa,English,Dhao,9.465,8.948,8.4495
