verse,text
MAT 1:1,"Kitab silsilah Yesus Kristus, anak Daud, anak Abraham."
MAT 1:2,"Abraham adalah ayah dari Ishak, Ishak adalah ayah dari Yakub. Yakub adalah ayah dari Yehuda dan saudara-saudaranya."
MAT 1:3,"Yehuda adalah ayah dari Peres dan Zerah, dari Tamar. Peres adalah ayah dari Hezron. Hezron adalah ayah dari Ram."
MAT 1:4,Ram adalah ayah dari Aminadab. Aminadab adalah ayah dari Nahason. Nahason adalah ayah dari Salmon.
MAT 1:5,"Salmon adalah ayah dari Boas, dari Rahab. Boas adalah ayah dari Obed, dari Rut. Obed adalah ayah dari Isai."
MAT 1:6,"Isai adalah ayah dari Raja Daud. Daud adalah ayah dari Salomo, dari bekas istri Uria."
MAT 1:7,Salomo adalah ayah dari Rehabeam. Rehabeam adalah ayah dari Abia. Abia adalah ayah dari Asa.
MAT 1:8,Asa adalah ayah dari Yosafat. Yosafat adalah ayah dari Yoram. Yoram adalah ayah dari Uzia.
MAT 1:9,Uzia adalah ayah dari Yotam. Yotam adalah ayah dari Ahas. Ahas adalah ayah dari Hizkia.
MAT 1:10,Hizkia adalah ayah dari Manasye. Manasye adalah ayah dari Amon. Amon adalah ayah dari Yosia.
MAT 1:11,"Yosia adalah ayah dari Yekhonya dan saudara-saudaranya, pada masa pembuangan ke Babel."
MAT 1:12,"Setelah pembuangan ke Babel, Yekhonya adalah ayah dari Sealtiel. Sealtiel adalah ayah dari Zerubabel."
MAT 1:13,Zerubabel adalah ayah dari Abihud. Abihud adalah ayah dari Elyakim. Elyakim adalah ayah dari Azor.
MAT 1:14,Azor adalah ayah dari Zadok. Zadok adalah ayah dari Akhim. Akhim adalah ayah dari Eliud.
MAT 1:15,Eliud adalah ayah dari Eleazar. Eleazar adalah ayah dari Matan. Matan adalah ayah dari Yakub.
MAT 1:16,"Yakub adalah ayah dari Yusuf, suami Maria. Maria melahirkan Yesus, yang disebut Kristus."
MAT 1:17,"Jadi, semua keturunan dari Abraham sampai Daud ada empat belas keturunan, dan dari Daud sampai pembuangan ke Babel ada empat belas keturunan, dan dari pembuangan ke Babel sampai Kristus ada empat belas keturunan."
MAT 1:18,"Sekarang, kelahiran Kristus Yesus adalah seperti berikut. Ketika Maria, ibu-Nya sudah bertunangan dengan Yusuf, sebelum mereka hidup bersama, dia ternyata mengandung dari Roh Kudus."
MAT 1:19,"Namun, Yusuf, suaminya, adalah orang yang benar dan tidak mau mempermalukan Maria di muka umum, sehingga dia bermaksud untuk membebaskan Maria secara diam-diam."
MAT 1:20,"Akan tetapi, ketika Yusuf sedang mempertimbangkan hal ini, lihat, malaikat Tuhan tampak kepadanya dalam mimpi dan berkata, “Yusuf, anak Daud, jangan takut untuk mengambil Maria sebagai istrimu karena Anak yang dikandungnya adalah dari Roh Kudus."
MAT 1:21,Dia akan melahirkan seorang Anak laki-laki dan engkau akan menamai Dia Yesus karena Dia akan menyelamatkan umat-Nya dari dosa-dosa mereka.”
MAT 1:22,"Semua hal ini terjadi untuk menggenapi yang difirmankan oleh Tuhan melalui nabi-Nya,"
MAT 1:23,"“Lihatlah, seorang perawan akan mengandung dan akan melahirkan seorang anak laki-laki. Mereka akan menyebut nama-Nya Imanuel,” yang artinya: “Allah beserta kita”."
MAT 1:24,"Ketika Yusuf bangun dari tidurnya, dia melakukan seperti yang malaikat Tuhan perintahkan kepadanya, dan dia mengambil istri baginya"
MAT 1:25,"tetapi tidak bersetubuh dengan Maria sampai dia melahirkan Anak laki-lakinya. Dan, Yusuf menamai-Nya, Yesus."
MAT 2:1,"Sekarang, setelah Yesus lahir di Betlehem, di Yudea, pada zaman Raja Herodes, lihat, orang-orang Majus dari timur datang ke Yerusalem."
MAT 2:2,"Mereka bertanya, “Di manakah Dia, Raja orang Yahudi yang dilahirkan itu? Sebab, kami telah melihat bintang-Nya di timur dan kami datang untuk menyembah-Nya.”"
MAT 2:3,"Ketika Raja Herodes mendengar hal ini, gelisahlah dia dan seluruh Yerusalem bersamanya."
MAT 2:4,"Lalu, dia mengumpulkan semua imam kepala dan ahli-ahli Taurat bangsa itu. Dia bertanya kepada mereka di mana Kristus dilahirkan."
MAT 2:5,"Mereka menjawab, “Di Betlehem, wilayah Yudea, karena beginilah yang ditulis oleh nabi:"
MAT 2:6,"‘Tetapi engkau, hai Betlehem Efrata, di tanah Yehuda, engkau bukanlah yang terkecil di antara penguasa Yehuda, karena darimu akan bangkit bagi-Ku, seorang yang akan memerintah Israel.’”"
MAT 2:7,"Kemudian, Herodes diam-diam memanggil orang-orang Majus itu, meminta kepastian dari mereka tentang waktu bersinarnya bintang itu."
MAT 2:8,"Lalu, dia menyuruh mereka ke Betlehem dan berkata, “Pergi dan selidikilah dengan teliti tentang Anak itu. Dan, kalau kamu sudah menemukan-Nya, beritahukanlah kepadaku supaya aku juga bisa datang dan menyembah-Nya.”"
MAT 2:9,"Setelah mendengarkan raja, mereka pergi. Dan, lihat, bintang yang mereka lihat di timur itu menuntun mereka sampai tiba dan berhenti di atas tempat Anak itu berada."
MAT 2:10,"Ketika melihat bintang itu, mereka bersukacita dengan sukacita yang sangat besar."
MAT 2:11,"Setelah masuk ke dalam rumah, mereka menemukan Anak itu bersama Maria, ibu-Nya. Lalu, mereka tersungkur dan menyembah-Nya. Kemudian, mereka membuka tempat-tempat harta mereka dan mempersembahkan hadiah-hadiah kepada-Nya, yaitu emas, kemenyan, dan mur."
MAT 2:12,"Dan, sesudah diperingatkan dalam mimpi agar jangan kembali kepada Herodes, mereka kembali ke negerinya melalui jalan lain."
MAT 2:13,"Setelah orang-orang Majus itu pergi, lihat, malaikat Tuhan tampak kepada Yusuf dalam mimpi dan berkata, “Bangunlah! Bawa Anak itu bersama ibu-Nya dan larilah ke Mesir. Tinggallah di sana sampai Aku berbicara kepadamu karena Herodes ingin mencari Anak itu untuk membinasakan-Nya.”"
MAT 2:14,"Kemudian, Yusuf bangun dan membawa Anak itu dengan ibu-Nya pada waktu malam untuk pergi ke Mesir,"
MAT 2:15,dan tinggal di sana sampai Herodes mati supaya digenapilah yang difirmankan Tuhan melalui nabi: “Dan dari Mesir Kupanggil Anak-Ku.”
MAT 2:16,"Kemudian, ketika Herodes tahu bahwa dia sudah diperdaya oleh orang-orang Majus, dia sangat murka dan memerintahkan untuk membunuh semua anak laki-laki di Betlehem dan seluruh wilayah di sekitarnya, yang berumur dua tahun ke bawah, sesuai dengan waktu yang sudah ia pastikan dari orang-orang Majus."
MAT 2:17,"Maka, genaplah yang disampaikan oleh Nabi Yeremia:"
MAT 2:18,"“Suatu suara terdengar di Rama, tangisan dan ratapan yang sangat sedih. Rahel menangisi anak-anaknya, dan tidak mau dihibur karena mereka sudah tiada.”"
MAT 2:19,"Namun, ketika Herodes mati, lihat, malaikat Tuhan menampakkan diri dalam mimpi kepada Yusuf di Mesir,"
MAT 2:20,"dan berkata, “Bangunlah, bawa Anak itu dengan ibu-Nya dan pergilah ke tanah Israel karena orang-orang yang berusaha membunuh nyawa Anak itu sudah mati.”"
MAT 2:21,"Lalu, dia bangun dan membawa Anak itu beserta ibu-Nya dan kembali ke tanah Israel."
MAT 2:22,"Akan tetapi, ketika dia mendengar bahwa Arkhelaus memerintah di Yudea menggantikan Herodes, ayahnya, Yusuf takut pergi ke sana. Setelah diperingatkan dalam mimpi, dia pergi ke wilayah Galilea."
MAT 2:23,"Dia tiba dan tinggal di sebuah kota yang bernama Nazaret supaya genaplah yang disampaikan para nabi, “Dia akan disebut ‘Orang Nazaret’.”"
MAT 3:1,"Pada hari-hari itu, muncullah Yohanes Pembaptis, berkhotbah di padang belantara Yudea."
MAT 3:2,"Dia berkata, “Bertobatlah karena Kerajaan Surga sudah dekat.”"
MAT 3:3,"Sebab, dialah yang diucapkan Nabi Yesaya ketika berkata, “Ada suara berseru-seru: ‘Persiapkan jalan di padang belantara bagi TUHAN! Ratakan jalan di padang gurun bagi Allah kita!.’”"
MAT 3:4,"Dan, Yohanes sendiri mengenakan pakaiannya dari bulu unta dan sabuk kulit di sekeliling pinggangnya. Makanannya adalah belalang-belalang dan madu hutan."
