source_word,target_word,confidence_score
untukku,tèdhu,2.0849483687152087e-44
difirmankan,kota,2.2812968879012856e-44
Dengarlah,kota,2.3791519287835535e-44
diperintahkan,mamuri,2.432073271509856e-44
melawan,kota,2.5440163993386506e-44
memohon,Yusuf,2.5440163993386506e-44
tuanya,Yusuf,2.572155058626539e-44
tahun-tahun,Hebron,2.603206857502623e-44
Semua,mamuri,2.603206857502623e-44
100,mamuri,2.603206857502623e-44
bangkit,Yusuf,2.63463352266455e-44
mungkin,Dina,2.63463352266455e-44
menyusui,ta,2.66643957960641e-44
asing,ae-ae,2.698629608455363e-44
bahunya,èru,2.7312082446311876e-44
liar,pakajꞌèu,2.8683704806206007e-44
murka,kota,2.946871478186843e-44
padanya,patitu,2.946871478186843e-44
lakukanlah,ai,3.024494867951651e-44
kerja,rae,3.067135584657135e-44
dombamu,ana-èpu,3.067135584657135e-44
kesalahan,mamuri,3.1103774697561993e-44
kuburkanlah,Mamre,3.1542289987967555e-44
hewan,mamuri,3.1986987668189254e-44
Bukan,Yusuf,3.1986987668189254e-44
Mesir.,mamuri,3.2437954900395145e-44
memakai,kota,3.2895280075606894e-44
menantunya,kota,3.2895280075606894e-44
karung-karung,doi,3.2895280075606894e-44
budak,doi,3.2895280075606894e-44
berlaku,ae-ae,3.3392428568941734e-44
barang-barang,ae-ae,3.3392428568941734e-44
itu.,tatea,3.3392428568941734e-44
akibat,Yusuf,3.389709049957995e-44
mengirimkan,ae-ae,3.389709049957995e-44
api,mamuri,3.4409379418585e-44
8,Aꞌari,3.4409379418585e-44
termuda,tèka,3.492941059312488e-44
hambaku,na,3.545730103240778e-44
menerima,mamuri,3.6029180686108877e-44
rumahku,ae-ae,3.6029180686108877e-44
padaku,sakasii,3.6029180686108877e-44
dikembalikan,doi,3.661028400683415e-44
sesungguhnya,ae-ae,3.7126432592631415e-44
cukup,nèi,3.720075976020836e-44
dilakukan,Potifar,3.76047053454355e-44
hadapanku,toke,3.7812101040186165e-44
berikanlah,lèke,3.7812101040186165e-44
kamulah,kahèi,3.903384868589205e-44
hebat,lèke,3.9770649270930247e-44
membinasakannya,do,3.9770649270930247e-44
Letakkanlah,mi,3.9770649270930247e-44
menanggalkan,sebhe,3.9770649270930247e-44
kejandaannya,sebhe,3.9770649270930247e-44
panas,Mamre,4.118314969584026e-44
tinggallah,nèi,4.118314969584026e-44
sejak,mamuri,4.1926965365245295e-44
bumi.,re,4.2697022397865703e-44
tanda,Dènge,4.2697022397865703e-44
400,nèi,4.2697022397865703e-44
berseberangan,meter,4.2697022397865703e-44
matimu,nèi,4.2697022397865703e-44
menolak,kahèi,4.2697022397865703e-44
keturunannya,kahèi,4.3489919896821604e-44
menyunat,cangasu,4.3489919896821604e-44
bintang,sebhe,4.3869932859382555e-44
tinggalkan,nèi,4.431526431945334e-44
paginya,pidhu,4.431526431945334e-44
kebiasaan,pidhu,4.431526431945334e-44
Genapilah,pidhu,4.431526431945334e-44
7,pidhu,4.431526431945334e-44
asalkan,pidhu,4.431526431945334e-44
Lagi,Mema,4.45373955062449e-44
periksalah,kahèi,4.51653041480169e-44
menjadikannya,na,4.516982090426589e-44
bersalah,kahèi,4.605006548456181e-44
kantong,Bèli,4.696624652801896e-44
Utuslah,do,4.696624652801896e-44
hakim,kai,4.791981938626008e-44
hamba-Mu,mamako,4.791981938626008e-44
laki-lakiku,kota,4.791981938626008e-44
berpaling,hèia,4.890742300883372e-44
rempah-rempah,re,4.890742300883372e-44
balsam,re,4.890742300883372e-44
mur,re,4.890742300883372e-44
Lakukanlah,baku,4.975093138480915e-44
selamat,nèi,4.993535079645246e-44
mengikat,hèia,4.993535079645246e-44
kabar,Hebron,4.993535079645246e-44
menyampaikan,nèi,4.993535079645246e-44
generasi,kahèi,5.100018115271596e-44
bertambah-tambah,manu-bhui,5.100018115271596e-44
kawanannya,do,5.100018115271596e-44
berilah,èru,5.100018115271596e-44
rakyat,nèi,5.100018115271596e-44
kembalilah,ka,5.178648380087165e-44
menempatkannya,mamuri,5.211376851316794e-44
gembala,Panginu,5.211376851316794e-44
difirmankan-Nya,cangasu,5.211376851316794e-44
bersamaku.,cangasu,5.211376851316794e-44
Dahulu,cangasu,5.211376851316794e-44
Ayahnya,Hebron,5.211376851316794e-44
mendapati,do,5.326764891667773e-44
depanmu,baku,5.326764891667773e-44
taruhlah,lamu,5.326764891667773e-44
berpesan,Mamre,5.326764891667773e-44
unta-untamu,èru,5.446886122594147e-44
paksa,nèi,5.446886122594147e-44
Enaim,sebhe,5.446886122594147e-44
bukti,kahèi,5.572501702176795e-44
barang,kahèi,5.572501702176795e-44
saudaraku,lii,5.572501702176795e-44
menguburnya,sebhe,5.572501702176795e-44
keserupaan,mamuri,5.70329507836482e-44
menuntutnya,do,5.70329507836482e-44
Izinkanlah,nèi,5.70329507836482e-44
telinga,Bèli,5.70329507836482e-44
saudara-saudaraku,do,5.70329507836482e-44
mengenakan,tatea,5.70329507836482e-44
samudra,pidhu,5.840077642719673e-44
sapinya,nèi,5.840077642719673e-44
pikirnya,kahèi,5.840077642719673e-44
Bahkan,Nèti,5.840077642719673e-44
hendak,kahèi,5.840077642719673e-44
istri-istrinya,sabꞌa,5.840077642719673e-44
membalas,kota,5.840077642719673e-44
Tiga,lèke,5.983131491811e-44
diperolehnya,sabꞌa,5.983131491811e-44
kata-Nya,baku,5.983131491811e-44
Begini,hèia,5.983131491811e-44
menyelamatkan,nèi,6.132141839267185e-44
tampaklah,hèia,6.132141839267185e-44
tongkat,tatea,6.132141839267185e-44
zaman,lèke,6.288635350306943e-44
kira-kira,re,6.288635350306943e-44
barat,re,6.288635350306943e-44
dibelinya,Mamre,6.288635350306943e-44
menyertai,ae,6.288635350306943e-44
pahaku,Ca,6.288635350306943e-44
kawananku,dua,6.288635350306943e-44
bermurah,do,6.288635350306943e-44
hingga,salae,6.300595115651657e-44
Silakan,baku,6.452347975260372e-44
jarak,hèia,6.452347975260372e-44
agar,miu,6.480152809104158e-44
payah,lèke,6.623633535052521e-44
hadapan-Ku,mamuri,6.623633535052521e-44
waris,nèi,6.623633535052521e-44
