verse,source_text,target_text,pred_text
GEN 1:1,in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha."
GEN 1:2,"the earth was formless and empty, and darkness covered the surface of the deep. the spirit of god moved over the surface of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Ropa tadèngi lii padhai Ama Lamatua, dhèu aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa rai-haha ne jꞌajꞌi mèu-mèu. Aa rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu."
GEN 1:3,"god said, let there be light! and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Bèli-camèdꞌa, sèna ka jꞌajꞌi mèu-mèu!"" Hèia jꞌajꞌi mèu-mèu."
GEN 1:4,"god saw that the light was good, and he separated the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua pamaꞌète aaꞌi-aaꞌi nèti dꞌara maroga."
GEN 1:5,"god called the light day, and he called the darkness night. so there was evening, and then the morning, making day one.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo. Aa dꞌai mèka lodꞌo, Ama Lamatua pangee, na, dꞌai mèka lodꞌo."
GEN 1:6-7,"god said, let there be an expanse in the middle of the waters to divide the waters. so god made an expanse to divide the waters that were above from the waters that were below. and that's what happened.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Beꞌa risi ètu talora aae èi, sèna ka babège eele èi."" Hèia Ama Lamatua tao ètu talora aae èi, sèna ka babège eele èi nèti èi. Hèia jꞌajꞌi sèmi èèna kahèi."
GEN 1:8,"god called the expanse, sky. so there was evening, and then the morning, making day two.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra. Hèia Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra."
GEN 1:9,"god said, let the waters below the sky collect together in one place so that the land may appear. and so it was.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi."
GEN 1:10,god called the land earth and the waters seas. god saw that it was good.,"ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha', dènge èi èi èèna, 'Dhèu rai-haha.' Hèia Ama Lamatua ladhe sèmi èèna, aa ladhe sèmi èèna, beꞌa kahèi."
GEN 1:11,"god said, let the earth produce vegetation-plants that produce seeds and trees that produce seeded fruit-each one according to its own kind. and that's what happened.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha. Aa ajꞌu aaꞌi-aaꞌi sèra hia hua-hela ètu rai-haha."" Hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra."
