word,freq_count,target_text,source_text
abram,71,"Lodꞌo umur Tera dꞌai pidhu nguru tèu risi, na abhu ana mone, dhèu tèlu: Abram, Nahor, dènge Haran.","Ketika Terah hidup selama 70 tahun, Abram, Nahor, dan Haran lahir baginya."
laban,62,"Ana mone Ribka, ngara na Laban. Ropa Laban ladhe nèdhi mèdha hualaa se, aa na tadèngi lii lolo ana hèni na, ka rai asa liꞌu laꞌe. Laꞌe soru dhèu sabꞌa Abraham dhu titu era dènge onta ra ètu madha èi.","Ribka mempunyai seorang saudara laki-laki bernama Laban, dan Laban berlari keluar untuk menemui hamba Abraham itu di dekat mata air. Hal itu dilakukannya segera setelah dia melihat anting-anting dan gelang yang dikenakan pada tangan adiknya, serta mendengar perkataan Ribka: “Begitulah yang dikatakan orang itu kepadaku.” Laban menemui hamba Abraham itu dan mendapatinya berdiri di sebelah unta-untanya di dekat mata air."
lea,36,"Laban ne, dhu dènge ana bhèni dhèu dua. Dhu uru, ngara na Lea. Aa ari na, ngara na Rahel.",Laban mempunyai dua anak perempuan. Yang sulung bernama Lea dan yang lebih muda bernama Rahel.
abimelekh,27,"Hèia na peka dènge dhèu ètu sèra, aku nèngu na, “Sara ne, ana hèni jaꞌa.” Nèti èèna ka, Abimelek dhèu aae Gerar, pua dhèu lasi lii dꞌai Sara. Ka nèti ne mai asa dꞌara èmu dhèu aae.","Abraham berkata tentang Sara, istrinya, “Dia adalah adikku,” sehingga Abimelekh, raja Gerar, menyuruh orang untuk mengambil Sara."
het,22,"Ana uuru Kanaꞌan, nuka, Sidon. Kanaꞌan jꞌajꞌi bèi-baki nèti dhèu Het,","Kanaan adalah ayah Sidon, anak sulungnya, dan Het,"
ismael,22,"Èu dhu dènge babia. Nèbhu heka, èu mora iisi ana mone ca dhèu. Èèna na mu pangare ne Ismael (dhu sasoa na ‘Lamatua tadèngi’), lula LAMATUA tadèngi le lii roma iisi èu.","Lalu, Malaikat TUHAN itu berkata lagi kepadanya, “Dengar, kamu sedang mengandung dan akan melahirkan anak laki-laki. Kamu akan menamainya Ismael sebab TUHAN telah mendengar tentang penderitaanmu."
adik,22,"Hèia ra hia Ribka dènge bhèni dhu leru ne karèi nèti ana iiki ka, ho lasi palere dènge dhèu sabꞌa Abraham sèra. Ka ra hia Ribka mèngi-nale, aku rèngu na, “Jiꞌi sanao-maena sèna ka Ama Lamatua hia èu mora iisi ana ae-ae, ho ana-èpu mu dꞌai riho-kehi. Aa jiꞌi sanao kahèi, sèna ka ana-èpu èu sèra segi aaꞌi musu rèngu sèra!”","Jadi, mereka mengizinkan Ribka dan pengasuhnya pergi bersama hamba Abraham dan orang-orangnya. Mereka memberkati Ribka dan berkata kepadanya, “Adik perempuan kami, biarlah kamu menjadi berpuluh-puluh ribu; dan kiranya keturunanmu menduduki pintu gerbang negeri-negeri yang memusuhi mereka.”"
sarai,18,"Abram madhèdi dènge Sarai. Nahor leo dènge ana bhèni Haran, ngara na Milka. Haran abhu ana mone èci kahèi, ngara na Yiska.","Abram dan Nahor mengambil istri. Istri Abram bernama Sarai dan istri Nahor bernama Milka, anak Haran, ayah Milka dan Yiska."
jenisnya,17,"Ka Ama Lamatua lii hari, peka na, “Rai hudꞌi pamamuri ku rupa-rupa ana aajꞌu. Sèna ka abhu ajꞌu dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka ajꞌu-ajꞌu se, hua-hela madhutu rupa rèngu.” Ropa padhai lii nare sèmi neꞌe, jꞌajꞌi dènge ka ana aajꞌu aaꞌi-aaꞌi ra.","Allah berfirman, “Biarlah bumi menumbuhkan rerumputan, tumbuh-tumbuhan berbiji, dan pohon buah yang berbuah menurut jenisnya dan berbiji di dalamnya, di atas bumi.” Lalu, jadilah demikian."
tendanya,13,"Ca tèka, na ninu èi anggor, ka na mahu titu kèna. Hèia na puru eele mèdha-papake nèti ua na. Ka na jꞌunu lega-loli dènge boe mèdha-papake ètu dꞌara paleo na.","Pada suatu hari, Nuh minum anggur dan mabuk, lalu dia telanjang di dalam tendanya."
