english_version,mismatch_type,verse_reference,description
Brenton,eng_has_content_dhao_missing,GEN 32:33,"English has content, Dhao is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:10,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:11,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:12,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:13,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:14,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:15,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:16,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:17,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:18,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:19,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:2,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:21,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:22,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:23,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:24,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:25,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:26,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:27,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:28,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:29,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:3,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:30,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:31,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:32,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:33,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:4,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:5,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:6,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:7,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:8,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 10:9,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:1,"Dhao has content, English is empty"
Brenton,dhao_has_content_eng_missing,1CO 11:10,"Dhao has content, English is empty"
