verse,source_text,target_text
GEN 1:1,in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha."
GEN 1:2,"now the earth was formless and void, and darkness was over the surface of the deep. and the spirit of god was hovering over the surface of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna."
GEN 1:3,"and god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka."
GEN 1:4,"and god saw that the light was good, and he separated the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na."
GEN 1:5,"god called the light day, and the darkness he called night. and there was evening, and there was morning-the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna."
GEN 1:6-7,"and god said, let there be an expanse between the waters, to separate the waters from the waters. so god made the expanse and separated the waters beneath it from the waters above. and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua."
GEN 1:8,"god called the expanse sky. and there was evening, and there was morning-the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna."
GEN 1:9,"and god said, let the waters under the sky be gathered into one place, so that the dry land may appear. and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango."
GEN 1:10,"god called the dry land earth, and the gathering of waters he called seas. and god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:11,"then god said, let the earth bring forth vegetation: seed-bearing plants and fruit trees, each bearing fruit with seed according to its kind. and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra."
GEN 1:12,the earth produced vegetation: seed-bearing plants according to their kinds and trees bearing fruit with seed according to their kinds. and god saw that it was good.,"ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:13,"and there was evening, and there was morning-the third day.","ne'e ne, lod'o ka tèlu kèna."
GEN 1:14-15,"and god said, let there be lights in the expanse of the sky to distinguish between the day and the night, and let them be signs to mark the seasons and days and years. and let them serve as lights in the expanse of the sky to shine upon the earth. and it was so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka."
GEN 1:16,god made two great lights: the greater light to rule the day and the lesser light to rule the night. and he made the stars as well.,"ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi."
GEN 1:17,"god set these lights in the expanse of the sky to shine upon the earth,","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha."
GEN 1:18,"to preside over the day and the night, and to separate the light from the darkness. and god saw that it was good.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:19,"and there was evening, and there was morning-the fourth day.","ne'e ne, lod'o ka èpa kèna."
GEN 1:20,"and god said, let the waters teem with living creatures, and let birds fly above the earth in the open expanse of the sky.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne."
GEN 1:21,"so god created the great sea creatures and every living thing that moves, with which the waters teemed according to their kinds, and every bird of flight after its kind. and god saw that it was good.","ka na tao ka i'a aa'i-aa'i dènge badha kapai dhu mamuri ètu d'ara èi. na paj'aj'i kahèi manu-bhui aa'i-aa'i. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
