source_word,target_word,freq_count,pos,page_number
adik,ari,22,noun,1
merayap,rod'o,11,verb,27
bermimpi,tanila,10,noun,21
bermimpi,nii,10,verb,21
permukaan,madha,9,noun,21
permukaan,rèhu,9,noun,21
permukaan,rohu,9,noun,21
pangkal,kolo-kapua,8,idiom,23
kurus,modha,7,adjective,17
tumpukan,udhu,7,noun,35
menamakan,ngara;,6,noun,22
menamakan,kolongara.,6,noun,22
sesudahmu,nare,6,verb,32
sesudahmu,ka,6,complementizer,32
sesudahmu,ele,6,particle,32
sesudahmu,le,6,particle,32
bela,sarii,5,verb,4
beranak,ana,5,noun,1
berbulu,rèu,5,noun,6
memberkatiku,mamèngi,5,noun,4
penerang,saraa,5,verb,34
penerang,pasale,5,verb,34
surut,dhasi mara,5,noun,32
berbiji,lamusi,4,noun,5
gelang,kanau.,4,noun,9
kawanannya,anga,4,noun,14
kawanannya,angalai,4,noun,14
paha,haree,4,noun,23
benang,loa hèngu,3,noun,4
bercerita,lii lolo,3,noun,7
bercerita,lolo,3,noun,7
bercerita,nanuku,3,noun,7
bercerita,palolo,3,verb,7
dahan,kalai,3,noun,7
jual,pahia,3,verb,13
jual,pahie,3,verb,13
kakak,a'a,3,noun,14
menaiki,ca'e.,3,verb,22
menamakannya,ngara;,3,noun,22
menamakannya,kolongara.,3,noun,22
mengambilkan,nare,3,verb,1
merangkul,liku,3,verb,27
seperlima,lèmi,3,numeral,18
tertua,heka,3,adjective,35
bahu,kabela-kao.,2,noun,3
berlututlah,urutuu,2,noun,19
berlututlah,patitu,2,verb,19
beruban,ohu,2,noun,36
dimakannya,na'a,2,verb,19
kedatanganku,mai,2,verb,8
kepemilikan,unu,2,verb,21
lahirkan,nara iisi,2,verb,17
memasukkanku,maso,2,verb,20
membelah,masèke,2,verb,4
membelah,bèka,2,verb,4
membelah,pare,2,verb,4
memerintahkannya,paredha,2,noun,25
memerintahkannya,paredha,2,verb,25
mendahuluinya,uru,2,adverb,7
mendahuluinya,uuru,2,adverb,7
menduduki,madhèdi,2,verb,8
mengering,mango,2,adjective,16
mengering,mèti,2,adjective,16
menjadikanku,j'aj'i,2,verb,12
menjadikanku,j'aj'i,2,conjunction,12
menyayangi,sasue,2,noun,29
merumput,j'u'u,2,noun,28
pemanah,palangu lii,2,verb,23
pemanah,kataki,2,noun,23
pisau,tud'i,2,noun,26
rebusan,nasu,2,verb,27
rerumputan,j'u'u,2,noun,28
termuda,ngèru,2,adjective,21
tumbuhan,muri,2,verb,35
alirannya,hae,1,verb,1
alirannya,lale,1,verb,1
beperkara,lii langu,1,noun,25
beradik,ari,1,noun,1
berasap,sèbu,1,noun,2
bercukur,lusu,1,verb,7
berdahan,kalai,1,noun,7
berjalannya,j'ara,1,noun,12
berjalannya,kako,1,verb,12
berjanjilah,moa,1,verb,13
berjanjilah,pajaji,1,verb,13
berjanjilah,padhadha,1,verb,13
bertiga,tèlu,1,numeral,34
beterbangan,lela,1,verb,34
dipanggang,paga,1,verb,23
hukumanku,aree,1,verb,11
hukumanku,huku,1,verb,11
kebutaan,bèdhu,1,verb,6
kebutaan,poke,1,verb,6
kediamannya,ugu-ge'e boe,1,idiom,8
kedudukanku,madhèdi,1,verb,8
kedudukanmu,madhèdi,1,verb,8
keheranan,malaa,1,verb,11
keheranan,malaa-maloha,1,idiom,11
kehidupanku,muri,1,verb,11
kekeliruan,tasala,1,verb,15
kemarahannya,kacèla,1,noun,19
kemarahannya,kaheo,1,noun,19
kemarahannya,haleo,1,verb,19
kemarahannya,jèke,1,verb,19
kemarahannya,tèka dara,1,verb,19
kemarahannya,hino,1,verb,19
kemarahannya,nasa,1,verb,19
kemarahannya,paj'èka,1,verb,19
kematianku,madhe,1,verb,20
kemudaannya,ngèru,1,adjective,21
kepergian,dhiu,1,verb,25
kepergian,kako,1,verb,25
keringat,èi kabhèsu,1,noun,16
keringat,kabhèsu,1,noun,16
kesadaranku,mase'a,1,adjective,28
kesalahanku,sigo,1,noun,28
kesalahanku,sala,1,verb,28
kesalahanku,sale,1,verb,28
kesulitanku,carui,1,verb,32
kolong,ro'a,1,noun,16
lempar,core,1,verb,18
lempar,pèci,1,verb,18
lewati,re,1,preposition,18
lewati,sisu,1,verb,18
luas,taleo,1,adjective,18
masak,mami,1,verb,19
masak,pana-nasu,1,verb,19
masak,madhasa,1,adjective,19
melawanku,lab'a,1,verb,18
melawanku,sisu,1,verb,18
meluaskan,taleo,1,adjective,18
melumpuhkan,karuku,1,verb,19
melupakannya,bhabhèlu,1,noun,19
melupakannya,bhèlu,1,verb,19
memanggang,paga,1,verb,23
memasangkan,dhasi joro,1,noun,23
memasangnya,dhasi joro,1,noun,23
membawakan,nèti.,1,verb,3
membelahnya,masèke,1,verb,4
membelahnya,bèka,1,verb,4
membelahnya,pare,1,verb,4
membelikanmu,hèli,1,verb,4
membelikanmu,pahèli,1,verb,4
membelimu,hèli,1,verb,4
membelimu,pahèli,1,verb,4
membelinya,hèli,1,verb,4
membelinya,pahèli,1,verb,4
meminumkannya,ninu,1,verb,21
mempersembahkannya,mangaj'i,1,verb,30
memutih,pudhi,1,adjective,27
mengintip,ma'u,1,verb,12
mengintip,patigi,1,verb,12
