src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"forsooth the earth was idle and void, and darknesses were on the face of depth; and the spirit of the lord was borne on the waters or the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Rai-haha nèngu mola aa aa'i, aa maroga ètu katanga madha marèma; aa Manadhu Lamatua mora iisi ètu èi.",,eng,nfa,English,Dhao,2.9307,3.8596,4.5945
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Hudꞌi laa!""","Aa Ama Lamatua peka, aku Nèngu na, ""Hud'i saraa!"" aa saraa j'aj'i.",,eng,nfa,English,Dhao,17.2239,10.7419,10.4862
"and god saw the light, that it was good, and he parted the light from darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua ma'ète saraa ngèti maroga.",,eng,nfa,English,Dhao,0.9218,1.4808,1.234
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Dènge nèngu paroa samaa, lod'o, dènge maroga, mèda. Dènge nihia dènge madae j'aj'i èci lod'o.",,eng,nfa,English,Dhao,8.3484,15.7654,14.336
"and god said, the firmament be made in the midst of waters, and part waters from waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Paj'aj'i dedha-liru ètu d'ara èi, sèna ka ma'ète èi ngèti èi."" Hèia Ama Lamatua paj'aj'i dedha-liru, dènge ma'ète èi dhu ètu haha dedha-liru, ngèti èi dhu ètu dedha dedha-liru; hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,-0.0223,2.5392,2.3391
"and god called the firmament, heaven. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Aa Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, jꞌajꞌi hari ka dua.","Aa Ama Lamatua paroa dedha-liru, liru. Aa mèda dènge madae j'aj'i ka-dua lod'o.",,eng,nfa,English,Dhao,4.9571,3.4807,1.8891
"forsooth god said, the waters, that be under heaven, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, ""Èi dhu ètu haha liru kaboko ètu era èci, dènge era dhu mango bhodho."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,2.9092,-0.4568,-1.7583
"and god called the dry place, earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha.""","Èle èèna ka, Ama Lamatua pangee rai mango, na, rai; dènge nèngu pangee kaboko èi, na, dhasi. Dènge Ama Lamatua mèdhi te iia.",,eng,nfa,English,Dhao,4.3544,4.471,6.4509
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Ètu rai-haha ne, abhu aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Aa Ama Lamatua aku, 'Rai hia j'u'u mangèru, aa tao hini, aa aj'u tao hua sèmi hini nèngu, dhu hini nèngu ètu dara nèngu, ètu rai;' Hèia Ama Lamatua tao sèmi èèna kahèi.",,eng,nfa,English,Dhao,1.2642,0.9349,1.4916
