"src_text","tgt_text","pred_tgt_text","post_edited_tgt_txt","src_lang","tgt_lang","src_lang_name","tgt_lang_name","spbleu_improvement","chrf3_improvement","chrfpp_improvement"
"in the beginning god made of nought heaven and earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi liru dènge rai-haha.","eng","nfa","English","Dhao","0.0","0.0","0.0"
"forsooth the earth was idle and void, and darknesses were on the face of depth; and the spirit of the lord was borne on the waters or the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu. Lodꞌo èèna, aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu.","Te rai-haha ne j'aj'i mèu-mèu, aa lod'o kabhui ètu dedha dhu'i-dhu'i; aa Hèna Lamatua n-èpa ètu dedha wai.","eng","nfa","English","Dhao","16.1065","9.5179","9.7077"
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Hudꞌi laa!""","Èle èèna ka, Ama Lamatua aku na, ""Hudꞌi laa!"" dènge hud'i tao.","eng","nfa","English","Dhao","2.5133","-4.5075","-2.4952"
"and god saw the light, that it was good, and he parted the light from darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo saraa dènge malem.","eng","nfa","English","Dhao","-0.4761","-1.7199","-1.2412"
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi. Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Dènge nèngu paroa cahaya j'aj'i lod'o, dènge kèd'i nèngu paroa j'aj'i malam. Dènge sore dènge pagi j'aj'i ca lod'o.","eng","nfa","English","Dhao","2.9438","8.8021","6.1968"
"and god said, the firmament be made in the midst of waters, and part waters from waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi ètu dedha-liru, ètu dꞌara èi, sèna ka jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Beꞌa risi dedha-liru ètu dꞌara èi, sèna ka pa-j'aj'i èi dhu ètu dhimu dènge èi dhu ètu dedha."" Hèia Ama Lamatua pajꞌajꞌi ètu dedha-liru, hèia pa-j'aj'i èi dhu ètu dhimu dedha-liru asa èi dhu ètu dedha dedha-liru. Hèia jꞌajꞌi sèmi èèna.","eng","nfa","English","Dhao","-1.4235","0.6592","0.3845"
"and god called the firmament, heaven. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Aa Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, jꞌajꞌi hari ka dua.","Ka Ama Lamatua paroa dedha-liru, dedha-liru. Ka lod'o haa dènge lod'o dhimu, j'aj'i hari ka dua.","eng","nfa","English","Dhao","4.3729","4.7421","5.0178"
"forsooth god said, the waters, that be under heaven, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Ae dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi ètu era dhu bhelu-katubꞌa."" Hèia jꞌajꞌi sèmi èèna.","eng","nfa","English","Dhao","0.7611","-1.0328","-0.5889"
"and god called the dry place, earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha.""","Dènge Ama Lamatua pangee era karasa ne, 'Rai-haha'; dènge nèngu pangee ae dhu kumpul ne, 'Dhasi'. Dènge Ama Lamatua n-èdhi na be'a.","eng","nfa","English","Dhao","2.5901","1.9282","1.8348"
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Ètu rai-haha ne, abhu aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela. Aa aaꞌi-aaꞌi dhu hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Ha aku, rai-haha pa-tumbu tumbu-tumbuan dhu hia wini, dènge ana aj'u apel dhu hia hua sèsuai dènge j'ara na, dhu wini na ètu dara na, ètu rai-haha. Hèia Ama Lamatua tao sèmi èèna kahèi.","eng","nfa","English","Dhao","-0.3968","3.6594","4.3908"
