verse,source_text,target_text
GEN 1:1,in the beginning god created the heauen and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha."
GEN 1:2,"and the earth was without forme and void, and darkenesse was vpon the deepe, and the spirit of god mooued vpon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna."
GEN 1:3,"then god said, let there be light: and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka."
GEN 1:4,"and god saw the light that it was good, and god separated the light from the darkenes.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na."
GEN 1:5,"and god called the light, day, and the darkenes, he called night. so the euening and the morning were the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna."
GEN 1:6-7,"againe god said, let there be a firmament in the mids of the waters: and let it separate the waters from the waters. then god made the firmament, and separated the waters, which were vnder the firmament, from the waters which were aboue the firmament: and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua."
GEN 1:8,and god called the firmament heauen. so the euening and the morning were the second day.,"ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna."
GEN 1:9,"god said againe, let the waters vnder the heauen be gathered into one place, and let the dry land appeare. and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango."
GEN 1:10,"and god called the dry land, earth, and he called the gathering together of the waters, seas: and god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:11,"then god said, let the earth bud forth the bud of the herbe, that seedeth seed, the fruitfull tree, which beareth fruite according to his kinde, which hath his seede in it selfe vpon the earth: and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra."
GEN 1:12,"and the earth brought foorth the bud of the herbe, that seedeth seede according to his kind, also the tree that beareth fruit, which hath his seed in it selfe according to his kinde: and god saw that it was good.","ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:13,so the euening and the morning were the third day.,"ne'e ne, lod'o ka tèlu kèna."
GEN 1:14-15,"and god said, let there be lights in the firmament of the heauen, to separate the day from the night, and let them be for signes, and for seasons, and for dayes and yeeres. and let them be for lights in the firmament of the heauen to giue light vpon the earth: and it was so.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka."
GEN 1:16,"god then made two great lights: the greater light to rule the day, and the lesse light to rule the night: he made also the starres.","ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi."
GEN 1:17,"and god set them in the firmament of the heauen, to shine vpon the earth,","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha."
GEN 1:18,"and to rule in the day, and in the night, and to separate the light from the darkenesse: and god saw that it was good.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
GEN 1:19,so the euening and the morning were the fourth day.,"ne'e ne, lod'o ka èpa kèna."
GEN 1:20,"afterward god said, let the waters bring foorth in abundance euery creeping thing that hath life: and let the foule flie vpon the earth in the open firmament of the heauen.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne."
GEN 1:21,"then god created the great whales, and euery thing liuing and mouing, which the waters brought foorth in abundance according to their kinde, and euery fethered foule according to his kinde: and god sawe that it was good.","ka na tao ka i'a aa'i-aa'i dènge badha kapai dhu mamuri ètu d'ara èi. na paj'aj'i kahèi manu-bhui aa'i-aa'i. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a."
