src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Karèi nèti uru ka, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,-3.5246,-3.3113,-3.1454
the earth was formless and empty. darkness was on the surface of the deep and god's spirit was hovering over the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.",Dhèu aaꞌi-aaꞌi ètu rai-haha ne dènge boe mèdha-panyau. Ètu rai-haha ne ètu dꞌara maroga. Aa Roh Ama Lamatua ètu dedha-liru.,Rai-haha ne dènge boe mèdha-panyau. Maroga ètu dedha marèma. Aa Roh Ama Lamatua ètu dedha èi.,,eng,nfa,English,Dhao,0.1717,-3.4434,-0.7067
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa."" Hèia Lamatua peka, ""Hudꞌi laa!""","Ama Lamatua peka, ""Hudꞌi saraa."" Hèia j'aj'i saraa.",,eng,nfa,English,Dhao,11.9973,2.8111,4.119
"god saw the light, and saw that it was good. god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padhai lii dènge dhèu aaꞌi-aaꞌi sèra. Hèia Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga. Èle èèna ka, Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga.","Ama Lamatua rèdhi saraa, aa rèdhi na be'a. Ama Lamatua patao-palaha saraa ngèti maroga.",,eng,nfa,English,Dhao,3.9342,-1.628,1.7953
"god called the light day, and the darkness he called night. there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, sèna ka ra jꞌajꞌi mèu-mèu. Hèia Ama Lamatua pajꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa jꞌajꞌi mèu-mèu. Nèti èèna ka, nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu.","Ama Lamatua paroa saraa ne lod'o, aa maroga ne nèngu paroa mèda. Hèia j'aj'i nihia, aa j'aj'i madae, nuka lod'o ka-èci.",,eng,nfa,English,Dhao,8.6241,25.4774,23.7654
"god said, let there be an expanse in the middle of the waters, and let it divide the waters from the waters. god made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Ladhe abhu ledhe èci ètu dedha-liru, sèna ka paꞌèci èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka paꞌèci èci dènge leledhe èci, èci dènge leledhe èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, aku Nèngu na, ""Ladhe abhu liru èci ètu talora aae èi, sèna ka paꞌèci èi nèti èi."" Hèia Ama Lamatua pajꞌajꞌi liru èci, ka paꞌèci èi dhu ètu haha liru nèti èi dhu ètu dedha liru. Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,0.8447,-2.6489,-1.0236
"god called the expanse sky. there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, bèli-camèdꞌa lèpa hari, aa bèli-camèdꞌa bèli-camèdꞌa, jꞌajꞌi hari ka dua.","Èle èèna ka, Ama Lamatua paroa liru. Lod'o cèna dènge madae, j'aj'i hari ka dua.",,eng,nfa,English,Dhao,1.6672,9.4528,7.5677
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, aku Nèngu na, ""Pe èi dhu ètu haha liru kaboko asa era èci, aa pe rai mango bhodho."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,4.9671,2.2004,2.1661
"god called the dry land earth, and the gathering together of the waters he called seas. god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi.","Ama Lamatua paroa rai mango ne, rai-haha. Aa pakaboko èi sèra, na paroa dhasi. Ama Lamatua ladhe na be'a.",,eng,nfa,English,Dhao,3.028,3.368,6.6161
"god said, let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne, nuka sèmi èèna."" Hèia jꞌajꞌi sèmi èèna, hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, peka na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌ","Ama Lamatua peka, ""Pe rai-haha hia j'u'u, ana-aj'u dhu hua hini, aa aj'u hua dhu hua madhutu rupa ra, dènge hini ra ètu d'ara na, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,9.9166,2.3509,6.2583
