english_version,eng_content_dhao_missing,dhao_content_eng_missing,eng_content_dhao_range,dhao_content_eng_range,total_mismatches
Brenton,1,7655,113,0,7769
asv,0,18,417,0,435
engBBE,0,2,417,0,419
engDBY,0,5,417,0,422
engDRA,0,9,416,0,425
engPEV,0,2472,226,359,3057
engULB,0,16,417,0,433
engWycliffe,0,4015,251,0,4266
engaoi,0,6202,141,102,6445
engasvbt,0,9,417,0,426
engbarkly,0,7653,48,146,7847
engbsb,0,18,417,0,435
engemtv,0,1427,304,0,1731
engf35,0,1428,304,0,1732
engfbv,0,17,417,0,434
enggnv,0,5,417,0,422
engjps,0,7653,113,0,7766
engkjvcpb,0,2,417,0,419
englee,0,7653,113,0,7766
englsv,0,0,417,0,417
englxxup,1,7654,113,0,7768
engmsb,0,6,417,0,423
engnet,0,18,417,0,435
engnna,0,7697,55,114,7866
engnoy,0,1440,304,0,1744
engoebcw,0,1438,304,0,1742
engoebus,0,1438,304,0,1742
engojb,1,0,417,0,418
engoke,1,7653,113,0,7767
engourb,0,4012,251,0,4263
engtcent,0,1428,304,0,1732
engtnt,0,1424,304,0,1728
engwebp,0,9,417,0,426
engwebpb,0,9,417,0,426
engwebster,0,2,417,0,419
engwebu,0,9,417,0,426
engwmb,0,9,417,0,426
engwmbb,0,9,417,0,426
engwyc2017,0,1,417,0,418
engwyc2018,0,1,417,0,418
engylt,0,2,417,0,419
glw,0,8084,24,0,8108
kjv,0,2,417,0,419
kjv2006,0,2,417,0,419
lxx2012,0,7657,113,1,7771
rv,0,18,417,0,435
t4t,0,0,387,83,470
uk_lxx2012,0,7657,113,1,7771
web,0,9,417,0,426
web_c,0,9,417,0,426
webbe,0,9,417,0,426
