src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"in the beginning, god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
the earth was formless and empty. darkness was on the surface of the deep and god's spirit was hovering over the surface of the waters.,"lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.",Dhèu aaꞌi-aaꞌi ètu rai-haha ne dènge boe mèdha-panyau. Ètu rai-haha ne ètu dꞌara maroga. Aa Roh Ama Lamatua ètu dedha-liru.,Rai-haha ne boe mèdha-panyau aa mola. Maroga ètu katanga marèma. Aa Roh Ama Lamatua ètu dedha katanga wai.,,eng,nfa,English,Dhao,-4.0075,-3.1436,-1.6354
"god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudꞌi laa."" Hèia Lamatua peka, ""Hudꞌi laa!""","Èle èèna ka, Ama Lamatua peka, ""Hud'i laa."" Hèia Hud'i laa.",,eng,nfa,English,Dhao,1.1865,-3.7811,-1.9999
"god saw the light, and saw that it was good. god divided the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padhai lii dènge dhèu aaꞌi-aaꞌi sèra. Hèia Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga. Èle èèna ka, Ama Lamatua padꞌelo jꞌara èci dènge dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi, sèna ka jꞌajꞌi dhèu aaꞌi-aaꞌi ètu dꞌara maroga.","Ama Lamatua ita samaa, aa ita ka mèu. Ama Lamatua pabagi samaa ngèti maroga.",,eng,nfa,English,Dhao,-1.3391,-11.9567,-7.7949
"god called the light day, and the darkness he called night. there was evening and there was morning, the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra, sèna ka ra jꞌajꞌi mèu-mèu. Hèia Ama Lamatua pajꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Aa jꞌajꞌi mèu-mèu. Nèti èèna ka, nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu. Nèngu jꞌajꞌi mèu-mèu.","Ama Lamatua pajꞌujꞌu samaa lod'o, aa maroga nèngu pajꞌujꞌu mèda. Hèia jꞌajꞌi maroga, aa jꞌajꞌi samaa, lod'o ka-èci.",,eng,nfa,English,Dhao,9.0796,18.4348,17.2128
"god said, let there be an expanse in the middle of the waters, and let it divide the waters from the waters. god made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse; and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Ladhe abhu ledhe èci ètu dedha-liru, sèna ka paꞌèci èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka paꞌèci èci dènge leledhe èci, èci dènge leledhe èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Ama Lamatua peka, aku Nèngu na, ""Ladhe abhu ledhe èci ètu talora oe, sèna ka paꞌèci oe ngèti oe."" Hèia Ama Lamatua pajꞌajꞌi ledhe èci, ka paꞌèci oe ètu baba ledhe ngèti oe ètu dedha ledhe. Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,-0.9705,-3.6739,-3.1786
"god called the expanse sky. there was evening and there was morning, a second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, bèli-camèdꞌa lèpa hari, aa bèli-camèdꞌa bèli-camèdꞌa, jꞌajꞌi hari ka dua.","Horo Parahi lèpa bèli-camèdꞌa liru. aa bèli-camèdꞌa bèli-camèdꞌa, jꞌajꞌi lod'o ka dua.",,eng,nfa,English,Dhao,6.9438,8.1045,6.8174
"god said, let the waters under the sky be gathered together to one place, and let the dry land appear; and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge Ama Lamatua, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi ètu era èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Ama Lamatua peka, ""Sèna ka ai aa'i dhu ètu dedha-liru jꞌajꞌi ètu era èci, aa sèna ka rai-haha bhodho."" Hèia jꞌajꞌi sèmi èèna.",,eng,nfa,English,Dhao,-1.7441,-4.3548,-5.2353
"god called the dry land earth, and the gathering together of the waters he called seas. god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua hagꞌe nare le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi. Nèti èèna ka, Ama Lamatua ladhe-leru aaꞌi le rai-haha ne, ho jꞌajꞌi dhèu aaꞌi-aaꞌi.","Èle èèna ka, Ama Lamatua hagꞌe nare le rai mèti ne, 'rai-haha'. Aa èj'i nare kumpul ne, hagꞌe nare 'tasi'. Ama Lamatua ladhe-leru, èèna mèu-mèu.",,eng,nfa,English,Dhao,1.3688,-0.6093,1.5604
"god said, let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth; and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne. Aa ajꞌu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela ètu rai-haha ne, nuka sèmi èèna."" Hèia jꞌajꞌi sèmi èèna, hèia Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, peka na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia jꞌuꞌu-jꞌuꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌu-jꞌ","Ama Lamatua peka, ""Rai-haha ne, hia j'u'u, aa j'u'u hia hini, aa aj'u hia hua sèmi nèngu punya rupa, dènge hini nèngu ètu nèngu, ètu rai-haha ne."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,5.3668,-3.4995,0.092
