src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
"long, long ago god created the heavens and the earth.","uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"when he began to create the earth, it was shapeless and completely desolate/chaotic. darkness covered the deep water that surrounded the earth. and the spirit of god was hovering over the water.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Lodꞌo Ama Lamatua pajꞌajꞌi rai-haha ne, dꞌara maroga ètu dedha rai-haha ne, aa dꞌara maroga ètu dedha rai-haha ne. Aa Roh Ama Lamatua ètu dedha rai-haha ne.","Lodꞌo Ama Lamatua pajꞌajꞌi rai-haha ne, rai-haha ne, d'ara na maroga aa pusi-pahae boe. Maroga sarimu èi marèma dhu sarimu rai-haha ne. Aa Roh Ama Lamatua pea ètu dedha èi ne.",,eng,nfa,English,Dhao,4.5562,4.5472,4.8813
"god said, i want light to shine! and light shone.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Jaꞌa manèngi-mangajꞌi mèngi-nale.""","Ama Lamatua peka, aku Nèngu na, ""Jaꞌa manèngi-mangajꞌi saraa heo!"" Aa saraa kaha'a.",,eng,nfa,English,Dhao,1.4886,7.1339,6.5117
"god was pleased with the light. then he made the light to shine in some places, and in other places there was still darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua padꞌelo dꞌara hua iia Na. Hèia Ama Lamatua pajꞌajꞌi saraa ètu rai-haha ne. Te ngaa rai-haha ne jꞌajꞌi maroga toke dꞌai mia-mia.","Èle èèna ka, Ama Lamatua hua iia dènge saraa ne. Hèia Na paj'aj'i saraa ho heo ètu ca-ca rai-haha, aa ètu rai-haha leo, maroga pea.",,eng,nfa,English,Dhao,2.3538,4.3848,5.1283
"he gave to the light the name ‘day', and he gave to the darkness the name ‘night'. after that, there was an evening which was followed by a morning. he called that whole period of time ‘the first day'.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Ama Lamatua paroa mèdha-panyau ne, ""Dhèu"" aa pèri-pèri mèdha-panyau ne, ""Bèli-camèdꞌa"". Nèti èèna ka, bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa. Bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa. Nèti èèna ka, Ama Lamatua paroa mèdha-panyau ne, ""Dhèu Aae"" aa paroa mèdha-panyau ne, peka na, ""Bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa jꞌajꞌi bèli-camèdꞌa.","Ama Lamatua paroa saraa ne, 'Dhèu', aa na paroa pèri-pèri ne, 'Bèli-camèd'a'. Nèti èèna ka, abhu bèli-camèd'a dhu madhutu dènge lod'o oe. Ama Lamatua paroa lod'o èèna aa'i-aa'i ne, 'Dhèu Partama'.",,eng,nfa,English,Dhao,3.6775,14.2508,13.1138
"then god said, i command that there be an empty space like a huge dome to separate the water that is above it from the water on the earth that is below it! and that is what happened. god gave to the space the name ‘sky'.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka dènge ne, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa peka dènge Ama Lamatua, aku Nèngu na, 'Lii-Lii', sèna ka jꞌajꞌi èci dènge èci, nuka èi dhu ètu dedha-liru dènge èi dhu ètu rai-haha ne."" Nèti èèna ka, Ama Lamatua paroa èèna, peka na, ""Lii-Lii ètu dedha-liru èèna, nuka èi dhu ètu dedha-liru dènge èi dhu ètu rai-haha ne.""","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Ja'a peka na, j'aj'i era mèu sèmi liru kapua, sèna ka pacèri èi dhu ètu dedha-liru nèti èi dhu ètu rai-haha!"" Èèna ka dhu j'aj'i sèmi èèna. Ama Lamatua pangare era èèna, 'Lii-Lii'.",,eng,nfa,English,Dhao,5.6353,-0.5025,2.389
"then there was another evening, which was followed by another morning. he called that period of time ‘the second day'.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Ka lodꞌo èèna jꞌajꞌi hari, ka lodꞌo èèna jꞌajꞌi hari.","Ka abhu lod'o cèna hari, ka lod'o rea hari. Na paroa lod'o èèna, 'lod'o kadua'.",,eng,nfa,English,Dhao,3.8814,16.7312,13.7239
"then god said, i want the water that is below the sky to come together, and dry ground to appear and rise above the water. and that is what happened.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka dènge ne, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka èi dhu ètu dedha-liru jꞌajꞌi èci dènge èci, aa jꞌajꞌi rai dhu kapodꞌe-kabèli ètu dedha-liru."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka dènge ne, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa manèngi sèna ka èi dhu ètu dedha-liru jꞌajꞌi èci dènge èci, aa rai dhu kapodꞌe-kabèli cèu ètu dedha èi."" Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,0.1749,0.3915,0.349
"god gave to the ground the name ‘earth', and he gave to the water that came together the name ‘oceans'. god was pleased with the earth and the oceans.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Dhèu rai-haha.' Aa èi dhu pakaboko èèna, Na pangare rai-haha ne, 'Dhèu rai-haha.' Èle èèna ka, Ama Lamatua padꞌelo dꞌara hua iia Na mi rai-haha ne dènge dhasi.","Èle èèna ka, Ama Lamatua pangare rai-haha ne, 'Rai-haha.' Aa èi dhu pakaboko èèna, Na pangare ne, 'Dhasi.' Èle èèna ka, Ama Lamatua padꞌelo dꞌara hua iia Na mi rai-haha ne dènge dhasi.",,eng,nfa,English,Dhao,0.632,0.1022,0.5167
"then god said, i want the earth to produce plants, including plants that will produce seeds and trees that will produce fruit. each kind of tree will bear its own kind of fruit.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne hia hua-hela. Aa ajꞌu aaꞌi-aaꞌi dhu hia hua-hela, nuka sèmi rèngu. Aa ajꞌu aaꞌi-aaꞌi dhu hia hua-hela, nuka sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Aku neo rai-haha ne hia tumbuan, dènge tumbuan dhu hia hini, dènge aj'u dhu hia hua. Aj'u sèmi ngaa, hua na sèmi èèna kahèi.""",,eng,nfa,English,Dhao,-0.4839,-0.3764,0.152
then plants grew on the earth; each kind of plant began to produce its own kind of seed.,"ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, aaꞌi-aaꞌi dhu tèbꞌa ètu rai-haha. Aa aaꞌi-aaꞌi dhu tèbꞌa aaꞌi-aaꞌi ètu dꞌara rai-haha. Aa aaꞌi-aaꞌi dhu tèbꞌa aaꞌi-aaꞌi dhu tèbꞌa aaꞌi-aaꞌi ètu dꞌara rai-haha ne.","Èle èèna ka, aaꞌi-aaꞌi dhu tèbꞌa ètu rai-haha. Aa aaꞌi-aaꞌi j'ara tèbꞌa mulai hia hini na dhu madhutu j'ara na mesa na.",,eng,nfa,English,Dhao,3.8174,7.0599,7.3497
then there was another evening which was followed by another morning. god called that period of time ‘the third day'.,"ne'e ne, lod'o ka tèlu kèna.","Èle èèna ka, dꞌai bèli-camèdꞌa. Èle èèna ka, dꞌai bèli-camèdꞌa.","Èle èèna ka, d'ai bèli-camèd'a mèda, hèia d'ai bèli-camèd'a lod'o rea. Ama Lamatua paroa lod'o èèna, ‘Lod'o Camèd'a'.",,eng,nfa,English,Dhao,1.4469,7.036,3.7762
"then god said, i want a sun, a moon, and many stars to shine in the sky. the sun will shine in the daytime and the moon and stars will shine during the nighttime. by the changes in their appearance they will indicate the various seasons or, the times for special celebrations, and will enable people to know when days and years begin. i want them also to be like lights in the sky that will shine on the earth. and that is what happened.","hèia ama lamatua lii hari, aku nèngu na, re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka.","Hèia Ama Lamatua peka hari, aku Nèngu na, ""Sèmi neꞌe: lodꞌo, hèru, dènge mèdha-panyau ètu dedha-liru. Bèli-camèdꞌa, rèngu jꞌajꞌi mèdha-panyau ètu dedha-liru, sèna ka jꞌajꞌi mèdha-panyau aaꞌi-aaꞌi ra, sèna ka jꞌajꞌi mèdha-panyau ètu dedha-liru."" Hèia jꞌajꞌi sèmi èèna kahèi.","Hèia Ama Lamatua peka, ""Aku neo lod'o, hèru, dènge hua-hètu ae-ae ho heo ètu dedha-liru. Lod'o ne heo ètu lod'o saraa, aa hèru dènge hua-hètu se heo ètu maroga. Dènge ub'a-ub'a rupa ra, rèngu pad'elo rupa-rupa lod'o èj'i, do lod'o-lod'o kapai, aa tao dhèu re'a lod'o dènge tèu mulai. Aku neo rèngu kahèi j'aj'i sèmi mèdha-panyau ètu dedha-liru dhu heo ètu rai-haha."" Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,2.0588,6.9769,5.3312
"god made two of them that were like big lights. the bigger one, the sun, shines during the day and the smaller one, the moon, shines during the night. he also made the stars.","ka na tao ka mèdha kapai dua dhu pasaraa rai-haha. dhu kapai risi, pasaraa re mèu; aa dhu ako ana iiki, pasaraa re mèda. aa na tao hua-hètu kahèi.","Èle èèna ka, Ama Lamatua pajꞌajꞌi sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua, sordadꞌu dua.","Ama Lamatua paj'aj'i saraa kapai dua. Dhu kapai risi, nuka madha lod'o, heo lo'a-lo'a ètu lod'o. Aa dhu ciki risi, nuka hèru, heo lo'a-lo'a ètu mèda. Na paj'aj'i hua-hètu kahèi.",,eng,nfa,English,Dhao,13.4464,26.805,25.7582
"god set all of them in the sky to shine on the earth,","na tèke mèdha dhu saraa sèra ètu dedha-liru, sèna ka loti mai asa rai-haha.","Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra ètu dedha-liru, sèna ka ra jꞌajꞌi mèu-mèu ètu rai-haha.","Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ra ètu dedha-liru, sèna ka ra jꞌajꞌi mèu-mèu ètu rai-haha.",,eng,nfa,English,Dhao,0.0,0.0,0.0
"to rule the day and the night, and to separate the light of the daytime from the darkness of the nighttime. god was pleased with these things he had made.","ka mèdha se, pasaraa ka re mèu, aa pasaraa re mèda. dènge j'ara ne'e, na hag'e eele saraa nèti maroga. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu, sèna ka rèdꞌu aaꞌi mèu-mèu. Aa Lamatua pajꞌujꞌu aaꞌi mèu-mèu, sèna ka rèdꞌu aaꞌi mèu-mèu.""","Ho paredha saraa dènge maroga, aa ho pacèri saraa nèti maroga. Ama Lamatua oto dènge aa'i mèu-mèu dhu na tao le.",,eng,nfa,English,Dhao,7.8825,12.8884,13.1919
then there was another evening which was followed by another morning. he called that period of time ‘the fourth day'.,"ne'e ne, lod'o ka èpa kèna.",Ka lodꞌo èèna jꞌajꞌi hari. Ka lodꞌo èèna jꞌajꞌi hari.,"Ka mèda hari dènge hake hari j'aj'i. Na pangare lod'o èèna, ‘lod'o ka èpa'.",,eng,nfa,English,Dhao,12.2482,29.325,22.1069
"then god said, i want many creatures to live in all the oceans, and i also want birds to fly in the sky above the earth.","hèia ama lamatua padhai lii hari, peka na, hud'i abhu ku ae-ae dhu mamuri ètu d'ara èi. dènge hud'i abhu ku rupa-rupa manu-bhui dhu lela ètu dedha rai-haha ne.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ra, aku Nèngu na, ""Jaꞌa manèngi sèna ka badha aaꞌi-aaꞌi ra mamuri ètu dꞌara dhasi, aa manu-bhui aaꞌi-aaꞌi ra pakèdꞌi ètu dedha-liru. Jaꞌa manèngi sèna ka badha aaꞌi-aaꞌi ra mamuri ètu dꞌara dhasi, aa manu-bhui aaꞌi-aaꞌi ra pakèdꞌi ètu dedha-liru.","Èle èèna ka, Ama Lamatua peka na, ""Jaꞌa manèngi sèna ka badha aaꞌi-aaꞌi ra mamuri ètu dꞌara dhasi, aa manu-bhui aaꞌi-aaꞌi ra pakèdꞌi ètu dedha-liru.""",,eng,nfa,English,Dhao,7.585,-2.0249,0.6472
"so god created huge sea creatures and every other kind of creature that moves in the water, and caused them to live in all the oceans. he also created many kinds of birds. god was pleased with all those creatures.","ka na tao ka i'a aa'i-aa'i dènge badha kapai dhu mamuri ètu d'ara èi. na paj'aj'i kahèi manu-bhui aa'i-aa'i. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Hèia Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu dꞌara dhasi, dènge badha aaꞌi-aaꞌi dhu pakajꞌèu ètu dꞌara dhasi. Aa Ama Lamatua pajꞌajꞌi manu-bhui ètu dꞌara dhasi, dènge badha aaꞌi-aaꞌi dhu rupa-rupa.","Hèia Ama Lamatua paj'aj'i badha aae ètu d'ara dhasi, dènge rupa-rupa badha leo dhu pakaj'èu ètu d'ara dhasi. Ka na tao si mamuri ètu d'ara dhasi aa'i-aa'i. Nèngu paj'aj'i kahèi rupa-rupa manu-bhui. Ama Lamatua oto dènge badha aa'i-aa'i sèra.",,eng,nfa,English,Dhao,20.3727,18.79,17.1226
"god blessed them. he said, produce offspring and become very numerous. i want the creatures in the water to live in all the oceans, and birds also to become very numerous. and that is what happened.","ka na padhai lii ho sèna ka hia berkat mi aa'i-aa'i dhu mamuri, peka na, i'a se, hud'i laa bèba-kacanga sèna ka papènu èi ètu mia-mia. aa manu-bhui, asa tabha kahèi.","Èle èèna ka, Ama Lamatua bꞌala si. Hèia Na peka dènge si, aku Nèngu na, ""Miu hudꞌi jꞌajꞌi dhèu ae-ae, sèna ka badha aaꞌi-aaꞌi ètu dꞌara dhasi, dènge manu-bhui ètu dꞌara dhasi."" Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua bꞌala si. Hèia Na peka dènge si, aku Nèngu na, ""Miu hudꞌi mamuri hua iia, sèna ka jꞌajꞌi ae-ae. Ja'a neo badha aaꞌi-aaꞌi ètu dꞌara dhasi hudꞌi pea ètu dhasi aaꞌi-aaꞌi, dènge manu-bhui kahèi hudꞌi jꞌajꞌi ae-ae."" Hèia jꞌajꞌi sèmi èèna kahèi.",,eng,nfa,English,Dhao,-1.2406,2.6883,1.193
then there was another evening that was followed by another morning. he called that period of time ‘the fifth day'.,"ne'e ne, lod'o ka lèmi kèna.","Bèli-camèdꞌa èèna, bèli-camèdꞌa bèli-camèdꞌa.","Hèia abhu lod'o cèna bèli, dènge lod'o rea bèli. Na pangare lod'o èèna, ‘lod'o ka lèmi'.",,eng,nfa,English,Dhao,10.2131,30.6317,19.8014
"then god said, i want various kinds of creatures to appear on the earth. there will be many kinds of ◄livestock/domestic animals►, creatures that scurry across the ground, and large wild animals. and that is what happened. god made all kinds of wild animals and ◄livestock/domestic animals► and all kinds of creatures that scurry across the ground. god was pleased with all these creatures.","ka ama lamatua peka hari, na, hud'i abhu ku rupa-rupa badha dhu mamuri ètu rai-dedha. sèmi: badha-manu dhu ani, badha hui, dènge badha dhu rod'o, èci-èci ka dènge rupa na. ropa padhai lii nare sèmi ne'e, badha aa'i-aa'i ra j'aj'i dènge ka. ropa nèdhi aa'i-aa'i se, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu rai-haha. Bèli-camèdꞌa Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu rai-haha. Bèli-camèdꞌa Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu rai-haha. Bèli-camèdꞌa Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu rai-haha. Bèli-camèdꞌa Ama Lamatua pajꞌajꞌi badha aaꞌi-aaꞌi ètu rai-haha.","Èle èèna ka, Ama Lamatua peka na, ""Ja'a d'èi rupa-rupa badha cèu mai ètu rai-haha. Abhu badha dhu dhèu j'aga ae-ae, badha dhu rod'o-kakara ae-ae, dènge badha hui dhu kapai ae-ae."" Èèna ka dhu j'aj'i. Ama Lamatua paj'aj'i badha hui aa'i-aa'i, dènge badha dhu dhèu j'aga aa'i-aa'i, dènge badha dhu rod'o-kakara aa'i-aa'i. Ama Lamatua oto dènge badha aa'i-aa'i se'e.",,eng,nfa,English,Dhao,20.6517,24.9289,23.2424
