verse,source_text,target_text,pred_text
GEN 1:1,"In the beginning, God created the heavens and the earth.","Uru-uru tèka, Ama Lamatua paj'aj'i dedha-liru dènge rai-haha.","Lod'o Ama Lamatua paj'aj'i rai-haha dènge dedha-liru,"
GEN 1:2,The earth was formless and empty. Darkness was on the surface of the deep and God's Spirit was hovering over the surface of the waters.,"Lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. Dhu abhu, èi. Aa maroga aatu-aatu saguru nare ne. Ka Roh Lamatua lela ètu dedha èi èèna.","Lod'o èèna, abhu boe ngaa-ngaa ètu rai-haha, aa maroga titu kèna ètu rai-haha ne. Aa Roh Ama Lamatua dhu Mola-Mèci kako palème ètu rai-haha ne kahèi."
GEN 1:3,"God said, Let there be light, and there was light.","Hèia Ama Lamatua peka, Hud'i ku dènge saraa. Ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka na, Hud'i dènge ku saraa! Hèia saraa èèna j'aj'i kahèi."
GEN 1:4,"God saw the light, and saw that it was good. God divided the light from the darkness.","Ropa nèdhi saraa ne, d'ara Na karej'e, lula ngaa dhu Na ad'u, mema be'a. Hèia Na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Ka Ama Lamatua ladhe, na, saraa èèna be'a. Hèia Na hag'e eele saraa ne nèti maroga sèra."
GEN 1:5,"God called the light day, and the darkness he called night. There was evening and there was morning, the first day.","Ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. Ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pangare saraa ne,  lod'o'. Aa maroga ne, Nèngu pangare na mèu'. Hèia j'aj'i mèda. Ka mad'ae aae kèna. J'aj'i ka lod'o ka èci."
GEN 1:6-7,"God said, Let there be an expanse in the middle of the waters, and let it divide the waters from the waters. God made the expanse, and divided the waters which were under the expanse from the waters which were above the expanse, and it was so.","Hèia Ama Lamatua lii hari, Na peka, Hud'i dènge ku era talele, sèna ka hag'e eele èi. Nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. Ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Hèia Ama Lamatua peka na, Ladhe èèna na, j'aj'i liru palème ètu talora aae èi, ho pala-bagi èi nèti èi. Ka Lamatua paj'aj'i liru. Hèia Na pala-bagi èi dhu ètu rai-haha ne, nèti èi dhu ètu dedha-liru. Èle èèna ka, j'aj'i sèmi èèna kahèi."
GEN 1:8,"God called the expanse sky. There was evening and there was morning, a second day.","Ka Na pangare èi re dedha na, ‘liru'. Ne'e ne, lod'o ka dua kèna.","Hèia Ama Lamatua paroa liru j'aj'i liru. Ka lod'o cèna, aa mad'ae aae kahèi. Lèke dènge lod'o ka dua."
GEN 1:9,"God said, Let the waters under the sky be gathered together to one place, and let the dry land appear, and it was so.","Hèia Ama Lamatua peka hari, aku Nèngu na, Èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. Ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Hèia Ama Lamatua peka na, Hud'i laa èi dhu ètu rai-haha ne, pakaboko ho j'aj'i mi era èci. J'aj'i ka sèmi èèna kahèi."
GEN 1:10,"God called the dry land earth, and the gathering together of the waters he called seas. God saw that it was good.","Ka era rai mango, Na pangare na ‘rai-dedha', aa era èi dhu kaboko èèna, Na pangare na ‘dhasi'. Ropa nèdhi aa'i-aa'i ne, d'ara Na karej'e, lula ngaa dhu Na ad'u, mema be'a.","Hèia Ama Lamatua paroa rai-haha ne, rai-haha'. Aa dhu pakaboko ètu d'ara èi sèra, Na pangare na, d'ara dhasi'. Ka Lamatua ladhe, na, èèna be'a."
GEN 1:11,"God said, Let the earth yield grass, herbs yielding seeds, and fruit trees bearing fruit after their kind, with their seeds in it, on the earth, and it was so.","Ka Ama Lamatua lii hari, peka na, Rai hud'i pamamuri ku rupa-rupa ana aaj'u. Sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. Sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. Ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Hèia Ama Lamatua peka na, Hia ètu rai-haha j'u'u dhu hia ana iiki-iiki, aj'u-aj'u dhu hia hua-hela madhutu raropa ra. Aa aj'u-aj'u dhu hia hua-hela madhutu raropa ra. Èle èèna ka, aa'i-aa'i ètu rai-haha j'aj'i sèmi èèna kahèi."
GEN 1:12,"The earth yielded grass, herbs yielding seed after their kind, and trees bearing fruit, with their seeds in it, after their kind, and God saw that it was good.","Ètu dedha-rai, ana aaj'u se hua-hela ka madhutu rupa rèngu. Ropa nèdhi aa'i-aa'i se, d'ara Na karej'e, lula ngaa dhu Na ad'u, mema be'a.","Hèia rai-haha hia j'u'u dhu muri, aj'u-aj'u dhu muri, dènge hua-hela dhu muri. Ka Ama Lamatua ladhe na, be'a sèmi èèna."
GEN 1:13,"There was evening and there was morning, a third day.","Ne'e ne, lod'o ka tèlu kèna.","Ka lod'o cèna, hèia mad'ae aae ka tèlu."
GEN 1:14-15,"God said, Let there be lights in the expanse of the sky to divide the day from the night, and let them be for signs to mark seasons, days, and years, and let them be for lights in the expanse of the sky to give light on the earth, and it was so.","Hèia Ama Lamatua lii hari, aku Nèngu na, Re bèka dedha, hud'i abhu ku mèdha dhu saraa, ho pasaraa rai-haha ne. Hud'i abhu mèdha dhu pasaraa re mèu, aa abhu kahèi dhu pasaraa re mèda. Rèngu aa'i-aa'i se, j'aj'i tadha, ho sèna ka bisa ige lod'o, hèru, dènge tèu. Ropa padhai lii nare sèmi ne'e, mèdha dhu heo aa'i-aa'i ra j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka hari, aku Nèngu na, Miu hud'i tao ku saraa ètu dedha-liru, ho pasaraa lod'o dènge mèda. Sèna ka tadha-tadha j'aj'i tadha, sèna ka j'aj'i tadha-tadha lod'o-lod'o, dènge tèu-tèu. Èle èèna ka, Lamatua tao saraa ètu dedha-liru, ho pasaraa rai-haha."
