src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,translated_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god created the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua paj'aj'i dedha-liru dènge rai-haha.",,eng,nfa,English,Dhao,15.1033,11.8137,11.4992
"now the earth was formless and void, and darkness was over the surface of the deep. and the spirit of god was hovering over the surface of the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Èle èèna ka, rai-haha ne dènge boe rai-haha. Ètu dedha-liru èèna, ètu dedha-liru. Aa ètu dedha-liru èèna, ètu dedha-liru. Aa ètu dedha-liru èèna, ètu dedha-liru. Aa ètu dedha-liru èèna, ètu dedha-liru èèna, ètu dedha-liru. Aa ètu dedha-liru èèna, ètu dedha-liru èèna, ètu dedha-liru. Aa ètu dedha-liru èèna, ètu dedha-liru ètu dedha-liru. Ètu dedha-liru èèna, ètu dedha-liru ètu dedha-liru.","Èle èèna ka, rai-haha ne mola dènge boe rupa. Aa maroga ètu dedha marèma. Aa manadu Ama Lamatua kako ètu dedha èi.",,eng,nfa,English,Dhao,9.2158,8.9447,12.208
"and god said, let there be light, and there was light.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi, aku Nèngu na, ""Bèli-camèdꞌa dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu."" Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hudi j'aj'i saraa!"" Aa saraa j'aj'i.",,eng,nfa,English,Dhao,19.0089,10.3511,10.7824
"and god saw that the light was good, and he separated the light from the darkness.","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne beꞌa. Ka Ama Lamatua padꞌelo jꞌara, sèna ka jꞌajꞌi mèdha-panyau nèti dꞌara maroga.","Èle èèna ka, Ama Lamatua ladhe nèdhi, na, saraa ne be'a. Ka Ama Lamatua ma'ète saraa nèti d'ara maroga.",,eng,nfa,English,Dhao,3.9993,0.4457,1.0709
"god called the light day, and the darkness he called night. and there was evening, and there was morning-the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Ka Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Ka Lamatua pajꞌujꞌu aaꞌi mèu-mèu, ka Na pajꞌujꞌu aaꞌi mèu-mèu. Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Ka Lamatua pajꞌujꞌu aaꞌi mèu-mèu. Èle èèna ka, bèli-camèdꞌa.","Ama Lamatua paroa saraa ne, lod'o, aa maroga ne, nèngu paroa mèda. Aa j'aj'i lod'o nihia, aa j'aj'i madae, nuka lod'o ka-èci.",,eng,nfa,English,Dhao,12.6149,29.3349,28.236
"and god said, let there be an expanse between the waters, to separate the waters from the waters. so god made the expanse and separated the waters beneath it from the waters above. and it was so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua paredha dhèu aae, aku Nèngu na, ""Sèmi neꞌe! Jaꞌa neo tao èci èèna ka, sèna ka pacèri èi dènge èi."" Hèia Ama Lamatua tao èci èèna ka, sèna ka pacèri èi dhu ètu dꞌara èi, dènge èi dhu ètu dedha. Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua paredha, peka na, ""J'aj'i la liru ètu talora èi, sèna ka pacèri èi dènge èi."" Hèia Ama Lamatua tao liru èèna, aa pacèri èi dhu ètu d'ara na dènge èi dhu ètu dedha na. Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,2.5722,1.444,2.2353
"god called the expanse sky. and there was evening, and there was morning-the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, dhèu aaꞌi-aaꞌi tadèngi lii padhai Ama Lamatua, peka na, ""Dhèu aaꞌi-aaꞌi ètu dedha-liru."" Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi mèu-mèu. Èle èèna ka, bèli-camèdꞌa. Èle èèna ka, bèli-camèdꞌa. Èle èèna ka, lodꞌo ka dua.","Ama Lamatua paroa dedha-liru. Aa bèli-camèd'a, aa bèli mad'ae aae - lod'o ka-dua.",,eng,nfa,English,Dhao,7.0458,0.3327,0.7262
"and god said, let the waters under the sky be gathered into one place, so that the dry land may appear. and it was so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua paredha dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi dhu ètu dedha-liru jꞌajꞌi èci, sèna ka jꞌajꞌi rai-haha."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua paredha, aku Nèngu na, ""Èi dhu ètu haha liru, hud'i kaboko asa era èci, sèna ka rai mango bhodho."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,11.6051,10.102,10.4937
"god called the dry land earth, and the gathering of waters he called seas. and god saw that it was good.","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Hèia Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, ""Dhèu aae ne, rai-haha."" Hèia Ama Lamatua pangee, ""Dhèu aae ne, rai-haha.""","Ama Lamatua paroa rai mango ne, rai-haha. Aa nèngu paroa pakaboko èj'i ne, dhasi. Aa Ama Lamatua rèdhi na be'a.",,eng,nfa,English,Dhao,5.7318,4.0983,4.6146
"then god said, let the earth bring forth vegetation: seed-bearing plants and fruit trees, each bearing fruit with seed according to its kind. and it was so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi ètu rai-haha ne, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Hia rai-haha ne, hia hua-hela, nuka ana-aj'u dhu hua hini, dènge aj'u dhu hua, èci-èci dhu hua dènge hini madhutu j'ara na."" Hèia j'aj'i sèmi èèna.",,eng,nfa,English,Dhao,11.2022,6.2302,7.7715
