src_text,tgt_text,pred_tgt_text,post_edited_tgt_txt,src_lang,tgt_lang,src_lang_name,tgt_lang_name,spbleu_improvement,chrf3_improvement,chrfpp_improvement
in the beginning god made of nought heaven and earth. in the beginning god made out of nothing the heavens and the earth.,"uru-uru tèka, ama lamatua paj'aj'i dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha.","Uru-uru sèra, Ama Lamatua pajꞌajꞌi dedha-liru dènge rai-haha ngèti boe ngaa-ngaa.",eng,nfa,English,Dhao,-13.3433,-2.7763,-5.4569
"forsooth the earth was idle and void, and darknesses were on the face of the depth; and the spirit of the lord was borne on the waters or and the spirit of god was borne upon the waters.","lod'o rai-haha j'aj'i mèka, aa'i-aa'i dhae mèci mèka. dhu abhu, èi. aa maroga aatu-aatu saguru nare ne. ka roh lamatua lela ètu dedha èi èèna.","Te ngaa aaꞌi-aaꞌi ètu rai-haha ne jꞌajꞌi mèu-mèu, aa jꞌajꞌi mèu-mèu. Ètu rai-haha ne jꞌajꞌi mèu-mèu. Roh Lamatua ètu dꞌara èi, aa Roh Lamatua ètu dꞌara èi, jꞌajꞌi mèu-mèu.","Te ngaa rai-haha ne aaꞌi-aaꞌi dènge mèu-mèu, dènge kabhui ètu dedha èi-èpa, aa Roh Lamatua ètu dedha èi.",eng,nfa,English,Dhao,9.4791,2.437,3.7446
"and god said, light be made, and the light was made.","hèia ama lamatua peka, hud'i ku dènge saraa. ropa peka nare sèmi ne'e, ka saraa j'aj'i dènge ka.","Èle èèna ka, Ama Lamatua peka dènge dhèu aaꞌi-aaꞌi sèra, aku Nèngu na, ""Hudꞌi laa!"" Èle èèna ka, dhèu aaꞌi-aaꞌi jꞌajꞌi dhèu aaꞌi-aaꞌi.","Èle èèna ka, Ama Lamatua aku na, ""Hudꞌi laa!"" Èle èèna ka, hud'i j'aj'i.",eng,nfa,English,Dhao,15.448,-1.4158,1.1639
"and god saw the light, that it was good, and he parted the light from the darknesses;","ropa nèdhi saraa ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a. hèia na hag'e eele saraa nèti maroga, sèna ka èci-èci ka dènge taa na.","Èle èèna ka, Ama Lamatua ladhe mèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo jꞌara èci dènge saraa.","Èle èèna ka, Ama Lamatua ladhe mèdhi, na, saraa ne beꞌa. Hèia Ama Lamatua padꞌelo mèdhi nèti dhimu.",eng,nfa,English,Dhao,-0.7903,-5.0234,-4.1782
"and he called the light, day, and the darknesses, night. and the eventide and the morrowtide was made, one day or the first day.","ka pangare saraa ne ‘mèu', aa maroga na ‘mèda'. ne'e ne, lod'o ka èci kèna.","Èle èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu. Nèti èèna ka, Ama Lamatua hagꞌe nare aaꞌi mèu-mèu.","Dènge nèngu paroa cahaya ne'e lod'o, dènge kèd'u ne'e wengi. Dènge abhu sore dènge abhu pagi, èèna ka ca lod'o, atawa lod'o uru.",eng,nfa,English,Dhao,4.9803,9.7173,10.4084
"and god said, the firmament be made in the midst of the waters, and part the waters from the waters. and god made the firmament, and parted the waters that were under the firmament, from the waters that were on the firmament or from these that were above the firmament; and it was done so.","hèia ama lamatua lii hari, na peka, hud'i dènge ku era talele, sèna ka hag'e eele èi. nèti èèna ka, èi re dedha, aa abhu kahèi èi re haha. ropa peka nare sèmi èèna, hèia èi b'agi dènge mi dua.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe! Ladhe ètu dedha-liru, èèna jꞌajꞌi èci dènge èci."" Hèia Ama Lamatua pajꞌajꞌi èci dènge èci, sèna ka jꞌajꞌi èci dènge èci. Hèia jꞌajꞌi sèmi èèna kahèi.","Èle èèna ka, Ama Lamatua peka, ""Ladhe j'aj'i dedha-liru ètu talora ae, sèna ka pa-sèra ae nèti ae."" Hèia Ama Lamatua paj'aj'i dedha-liru, hèia pa-sèra ae dhu ètu èpa dedha-liru, nèti ae dhu ètu dedha dedha-liru. Hèia j'aj'i sèmi èèna kahèi.",eng,nfa,English,Dhao,-0.4217,0.8312,0.3767
"and god called the firmament, the heavens. and the eventide and the morrowtide was made, the second day.","ka na pangare èi re dedha na, ‘liru'. ne'e ne, lod'o ka dua kèna.","Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Ka Na pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru, aa jꞌajꞌi aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, Ama Lamatua pajꞌujꞌu aaꞌi-aaꞌi ètu dedha-liru. Èle èèna ka, Lamatua pajꞌajꞌi aaꞌi-aaꞌi ètu dedha-liru.","Ka Ama Lamatua paroa dedha-liru, ngara na dedha-liru. Ka j'aj'i lod'o haa dènge lod'o dhimu, lod'o karua.",eng,nfa,English,Dhao,6.7782,12.6865,12.1957
"forsooth god said, the waters, that be under the heavens, be gathered into one place, and a dry place appear; and it was done so.","hèia ama lamatua peka hari, aku nèngu na, èi re haha hud'i pakaboko ku mi ca era, sèna ka abhu rai kamango. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka rai mango.","Èle èèna ka, Ama Lamatua peka, aku Nèngu na, ""Sèmi neꞌe, sèna ka èi dhu ètu dedha-liru jꞌajꞌi ètu dꞌara èci, aa jꞌajꞌi ètu dꞌara èci."" Hèia jꞌajꞌi sèmi èèna.","Èle èèna ka, Ama Lamatua peka, ""Sèna ka èi dhu ètu dedha-liru jꞌajꞌi ètu dꞌara èci, aa rai marai pa-tadha."" Hèia jꞌajꞌi sèmi èèna.",eng,nfa,English,Dhao,-4.263,-2.7981,-3.9601
"and god called the dry place, the earth; and he called the gatherings together of waters, the seas. and god saw that it was good;","ka era rai mango, na pangare na ‘rai-dedha'; aa era èi dhu kaboko èèna, na pangare na ‘dhasi'. ropa nèdhi aa'i-aa'i ne, d'ara na karej'e, lula ngaa dhu na ad'u, mema be'a.","Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, rai-haha."" Èle èèna ka, Ama Lamatua pangee, na, ""Dhèu aae ne, dhasi.""","Èle èèna ka, Ama Lamatua pangee, na, 'Era dhu karasa ne, rai-haha.' Èle èèna ka, Ama Lamatua pangee, na, 'Kumpulan ae ne, dhasi.' Èle èèna ka, Ama Lamatua la-ladhe na be'a.",eng,nfa,English,Dhao,3.5575,7.9249,6.7661
"and said, the earth bring forth green herb, and making seed, and an apple tree making fruit by his kind, whose seed be in itself, on the earth; and it was done so. and said, let the earth bring forth green herbs, which make seed after their kind, and trees making fruit after their kind, whose seed be in them, all over the earth; and it was done so.","ka ama lamatua lii hari, peka na, rai hud'i pamamuri ku rupa-rupa ana aaj'u. sèna ka abhu aj'u dhu hua, dhu dènge lamusi, aa dhu dènge rèu mangèru. sèna ka aj'u-aj'u se, hua-hela madhutu rupa rèngu. ropa padhai lii nare sèmi ne'e, j'aj'i dènge ka ana aaj'u aa'i-aa'i ra.","Èle èèna ka, Ama Lamatua peka kahèi, aku Nèngu na, ""Dhèu aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela. Aa aaꞌi-aaꞌi ètu rai-haha ne, hia hua-hela."" Hèia Ama Lamatua tao sèmi èèna kahèi.","Ama Lamatua peka, ""Rai-haha pa-hua-hela hela, dènge pa-tao isi, dènge ana aj'u apel pa-hua dènge j'ara na, dhu isi na ètu nètu, ètu rai-haha."" Hèia tao sèmi èèna kahèi. Ama Lamatua peka kahèi, ""Rai-haha pa-hua-hela hela, dhu pa-tao isi dènge j'ara rèngu, dènge ana aj'u pa-hua dènge j'ara rèngu, dhu isi na ètu rèngu, aa'i ètu rai-haha."" Hèia tao sèmi èèna kahèi.",eng,nfa,English,Dhao,0.7458,10.601,8.3016
